alpha_u,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,0,0.0352,15.2817,0.8717,0.2464,0.0227,0.0404,0.0346,0.0348,0.0013,0.0113,0.0226,,,
0.4,0.01,0.0352,15.2817,0.8717,0.2464,0.0227,0.0404,0.0346,0.0348,0.0013,0.0113,0.0226,,,
0.4,0.05,0.0352,15.2817,0.8717,0.2464,0.0227,0.0404,0.0346,0.0348,0.0013,0.0113,0.0226,,,
0.4,0.1,0.0348,14.8774,0.8646,0.2548,0.0218,0.0398,0.0342,0.0342,0.0013,0.011,0.0225,,,
0.6,0.01,0.0348,14.8774,0.8646,0.2548,0.0218,0.0398,0.0342,0.0341,0.0013,0.011,0.0225,,,
0.6,0.05,0.0347,14.6763,0.8623,0.2571,0.0216,0.0397,0.0341,0.034,0.0015,0.0108,0.0224,,,
0.6,0.1,0.0346,14.6763,0.8623,0.2571,0.0216,0.0397,0.0341,0.0338,0.0015,0.0107,0.0224,,,
0.8,0.01,0.0342,14.4495,0.8636,0.2552,0.022,0.0391,0.0338,0.032,0.0016,0.0102,0.0224,,,
0.8,0.05,0.034,14.4495,0.8636,0.2552,0.022,0.0389,0.0337,0.0317,0.0017,0.0101,0.0223,,,
0.8,0.1,0.0336,14.378,0.8651,0.2533,0.0224,0.0387,0.0333,0.0309,0.0018,0.0097,0.0222,,,
1.0,0.01,0.0292,14.1879,0.878,0.2375,0.0247,0.0324,0.0289,0.0278,0.0033,0.007,0.0188,,,
1.0,0.05,0.0292,14.1879,0.878,0.2375,0.0247,0.0324,0.0289,0.0278,0.0033,0.007,0.0188,,,
1.0,0.1,0.0292,14.1879,0.878,0.2375,0.0247,0.0324,0.0289,0.0278,0.0033,0.007,0.0188,,,
