alpha_u,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,0,0.0352,15.2817,0.8717,0.2464,0.0227,0.0352,0.0352,0.0348,0.0013,0.0113,0.0226,0.0316,0.0316,0.0678
0.1,0,0.0348,13.8079,0.868,0.2494,0.0234,0.0348,0.0348,0.0351,0.0013,0.0113,0.0223,0.0314,0.0314,0.0657
0.15,0,0.0349,13.2396,0.8663,0.2509,0.0236,0.0348,0.0348,0.0351,0.0013,0.0114,0.0222,0.0314,0.0314,0.0661
0.2,0,0.035,12.7883,0.8649,0.252,0.0237,0.0349,0.0349,0.0357,0.0013,0.0114,0.0223,0.0316,0.0316,0.0655
0.3,0,0.0349,12.0858,0.8622,0.2544,0.0239,0.0349,0.0349,0.0357,0.0013,0.0115,0.0222,0.0316,0.0316,0.0653
0.4,0,0.0351,11.5806,0.8601,0.2562,0.0241,0.035,0.035,0.0358,0.0013,0.0115,0.0223,0.0317,0.0317,0.0653
0.5,0,0.0353,11.1756,0.8583,0.2577,0.0242,0.0352,0.0352,0.0358,0.0013,0.0115,0.0225,0.0319,0.0319,0.0654
0.7,0,0.0353,10.6474,0.8557,0.2599,0.0245,0.0352,0.0352,0.0357,0.0013,0.0117,0.0223,0.032,0.032,0.0647
1,0,0.0353,10.1432,0.8529,0.2623,0.0242,0.0352,0.0352,0.0358,0.0013,0.0118,0.0222,0.032,0.032,0.0647
1.5,0,0.0354,9.6732,0.8501,0.2647,0.0244,0.0354,0.0354,0.0355,0.0013,0.0119,0.0222,0.032,0.032,0.0655
2.0,0,0.0352,9.3726,0.8481,0.2664,0.0243,0.0351,0.0351,0.0355,0.0013,0.0119,0.022,0.0318,0.0318,0.0653
