alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,,0,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.1,,0.01,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.1,,0.05,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.1,,0.1,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.3,,0.01,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.3,,0.05,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.3,,0.1,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.5,,0.01,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.5,,0.05,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.5,,0.1,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.7,,0.01,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.7,,0.05,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.7,,0.1,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.9,,0.01,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.9,,0.05,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.9,,0.1,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
