,mean,sd
0,-0.5286622,0.80260926
1,-1.2898393,1.0236034
2,-0.40949678,0.8376393
3,-0.8529939,1.0183573
4,-1.0638952,0.91016823
5,-0.9913548,0.9660802
6,-0.766193,0.81088656
7,0.33023825,0.22967069
8,-0.9568475,0.9214976
9,-1.3760049,1.2086546
10,-0.34366336,0.84165806
11,-1.2398058,0.99547076
12,-0.71210957,0.76813596
13,-1.2983668,0.83554345
14,-0.43363994,0.7663669
15,-0.8834178,0.8687595
16,-0.6778422,0.80310494
17,-0.36270797,0.63561267
18,-0.62978053,0.83946675
19,-1.056781,0.9279248
20,-1.2678288,1.0121548
21,-0.76830447,0.83950627
22,-1.0419208,0.9407323
23,-0.4823858,0.9354552
24,-0.49849024,0.73826265
25,-0.5259518,0.7465929
26,-0.90923595,0.8998051
27,0.32180083,0.24619707
28,-0.7162169,0.80619144
29,-0.80340856,0.92083
30,-0.84939057,0.8468835
31,0.43546674,0.20648521
32,-0.61582917,0.79810536
33,0.44052443,0.20228992
34,-0.7936773,0.81205183
35,-0.6919011,0.826706
36,-0.75487614,0.9474588
37,-0.5394704,0.7958198
38,-0.6996664,0.79701525
39,-0.7814422,0.9392276
40,-0.27240944,0.711469
41,-1.1394774,0.8676987
42,-0.8651533,0.9046992
43,-1.0364492,0.8729761
44,-0.7363521,0.85378677
45,0.5470701,0.19911931
46,-0.5372442,0.77377576
47,-1.2155768,1.0946411
48,-0.6189071,0.7987137
49,-1.7135226,1.1237111
50,-1.6955428,1.0293827
51,-0.76440644,0.8881707
52,-1.0832369,1.0146914
53,-0.57265496,0.6929393
54,-0.48134667,0.87538886
55,-0.8632649,0.8398474
56,0.41923133,0.21977988
57,-0.6252756,0.7576419
58,-0.591659,0.72005904
59,-0.8243442,0.89169776
60,-1.9058245,1.232818
61,-0.74424577,0.7960543
62,0.43185732,0.21253793
63,-1.130133,1.0042394
64,-0.74131143,0.8643714
65,-1.1403903,0.91069525
66,-0.771545,0.86832225
67,-0.47296345,0.73297673
68,-0.560275,0.82600707
69,-0.9744608,0.8978472
70,0.36206007,0.24969462
71,-0.26208985,0.69772184
72,-1.459748,1.0703057
73,-0.80007267,0.95509034
74,-0.75569606,0.87139463
75,-0.8914512,0.84158814
76,0.2723086,0.25836998
77,-0.5673099,0.7590802
78,-0.92091054,0.99625427
79,-0.28897297,0.7181207
80,0.45971534,0.2194785
81,-0.9181034,0.9056544
82,-1.0814703,1.0605203
83,-0.7085933,0.90856117
84,-0.84629536,0.82519907
85,-0.86444783,0.8250373
86,-1.0358211,1.0053545
87,-0.33193088,0.7184197
88,0.41453862,0.21998912
89,0.33411753,0.25952652
90,-0.6508008,0.86006796
91,0.377555,0.21989273
92,-1.3553932,1.0680588
93,-0.5320405,0.7475724
94,-1.1742556,0.92158
95,-0.5256169,0.7152427
96,-0.7658688,0.9155162
97,0.5198828,0.18834312
98,-1.1654732,1.0138065
99,0.37927797,0.22940964
100,-1.0111114,0.8387429
101,-0.8350155,0.91594493
102,-1.0325592,1.0339346
103,-0.6956795,0.81149995
104,-0.67880595,0.8204606
105,-0.4255032,0.68411267
106,-0.65361595,0.83142346
107,-1.3707025,1.1506609
108,-1.027076,1.0195905
109,-0.89093626,1.0368176
110,-0.65555537,0.9148701
111,-0.59712625,0.8534178
112,-0.29506347,0.6935833
113,-0.5679624,0.7621979
114,-0.96191746,1.0060431
115,-0.5665008,0.7550747
116,-1.7025219,1.1830996
117,-0.43387893,0.80559915
118,-0.8593381,0.7335
119,-1.099344,1.035263
120,-0.5325992,0.71805507
121,-0.7255354,0.97139114
122,-1.6910276,1.1065369
123,-0.53868866,0.9139172
124,-0.9463374,0.80582595
125,0.19935425,0.26337433
126,-0.43318844,0.9147989
127,-1.2606337,1.149681
128,-1.2283607,0.9476744
129,-0.752086,0.9475105
130,-0.72355735,0.83333933
131,-0.7732733,0.8541639
132,-1.3226233,1.0158417
133,-0.43361193,0.85498875
134,-1.0097288,0.99602306
135,-0.9551032,1.0241307
136,-1.2372491,1.1238738
137,-0.7223628,0.8093105
138,-1.0069579,0.9139103
139,-1.1112776,0.96941465
140,-1.2715158,1.0122737
141,-0.56164354,0.81700355
142,-0.83703965,1.040459
143,-1.515413,1.0852498
144,-0.761214,0.7364922
145,-0.54750293,0.8752691
146,0.36468697,0.23774497
147,-0.54173183,0.87622494
148,-0.7599986,0.7564429
149,-1.3040743,1.1235689
150,-0.83137953,0.9074161
151,-1.0366528,0.97522765
152,-0.9278782,0.83669204
