,mean,sd
0,-0.8929369,0.7954924
1,-1.0131733,0.9851949
2,-0.9711306,0.8716338
3,-0.98786014,0.95151377
4,-0.7471204,0.9717776
5,-1.2887462,0.9666816
6,-0.28690544,0.87456214
7,0.29184172,0.24667448
8,-0.7102588,0.89793456
9,-1.6116023,1.0897133
10,-0.7015567,0.85005814
11,-1.8243889,0.9579065
12,-0.6769569,0.8035758
13,-1.4439124,0.85701704
14,-0.7602512,0.7869511
15,-0.47681943,0.8657601
16,-0.6091048,0.8548613
17,-0.28096372,0.6711387
18,-0.36096075,0.9020549
19,-0.60327,0.9442588
20,-1.3619357,1.0096742
21,-0.5036035,0.8609001
22,-0.6599813,0.9572247
23,-0.83108336,0.9264763
24,-0.6304199,0.7538035
25,-0.87113005,0.7427347
26,-0.8098062,0.90759623
27,0.2822416,0.27853483
28,-0.90783,0.8722703
29,-0.74649507,0.9294568
30,-0.75624555,0.9160794
31,0.5092527,0.2174715
32,-0.4282727,0.84444034
33,0.5375307,0.21621346
34,-0.5177898,0.80492467
35,-0.81543493,0.8179228
36,-1.392001,0.98261803
37,-0.79089016,0.83934
38,-0.82218415,0.8069207
39,-0.9376472,0.9456357
40,-0.54564184,0.7663989
41,-0.52022535,0.93392897
42,-1.2873217,0.8651571
43,-0.5444928,0.87561846
44,-1.0141298,0.87504214
45,0.5410757,0.21442254
46,-0.729244,0.7786993
47,-0.63783944,1.1124793
48,-0.73114824,0.79577696
49,-2.6614103,1.1484824
50,-1.1230317,1.0685383
51,-1.0215502,0.9255674
52,-1.2974223,0.96620667
53,-0.31126323,0.71990263
54,-0.71695906,0.90283567
55,-0.5471846,0.87536246
56,0.5148921,0.22646739
57,-0.47917038,0.81734365
58,-0.31573045,0.7690665
59,-0.651885,0.8846509
60,-1.2279377,1.2036593
61,-0.92442715,0.77129364
62,0.2945004,0.23004532
63,-0.82335436,0.9845974
64,-0.67655146,0.8727343
65,-0.6540328,0.9003141
66,-0.7823294,0.8840251
67,-0.6398883,0.7352829
68,-0.8268613,0.8430226
69,-0.46848136,0.966595
70,0.34914407,0.27710232
71,-0.6591742,0.7435394
72,-1.123717,1.1258094
73,-0.82295394,1.0164615
74,-0.6408517,0.8895681
75,-1.0873023,0.7960275
76,0.33877718,0.2738076
77,-0.60614,0.76692915
78,-1.4788315,0.9729897
79,-0.58269864,0.76066464
80,0.43106303,0.23870715
81,-1.5686791,0.8959419
82,-0.5988088,1.0515212
83,-0.6928346,0.9658384
84,-0.8999199,0.8715596
85,-0.74488866,0.8602089
86,-0.8080774,0.99664605
87,-0.96732634,0.76117975
88,0.44602212,0.23423003
89,0.37683702,0.27957842
90,-1.3071715,0.89008445
91,0.44908157,0.23190281
92,-1.4462932,1.020861
93,-0.3202433,0.7425048
94,-0.957347,0.86845344
95,-0.73092526,0.7372427
96,-1.3179512,0.92452276
97,0.52011174,0.20406935
98,-1.2809964,1.0109565
99,0.34583938,0.24313886
100,-0.3576674,0.9230951
101,-1.3968287,0.93884444
102,-1.117399,1.0025351
103,-0.64827347,0.8107018
104,-0.72862697,0.87220496
105,-0.3805305,0.72389215
106,-0.6084313,0.8304746
107,-1.3744103,1.1265535
108,-0.83084065,0.97976184
109,-0.9167192,1.0392874
110,-0.92521816,0.98736614
111,-0.67280364,0.8935865
112,-0.81666136,0.7744845
113,-0.4262183,0.7825883
114,-1.00567,1.0327785
115,-0.7096239,0.79304284
116,-0.93445355,1.19108
117,-0.8774802,0.8368493
118,-0.56586844,0.7566658
119,-1.3050523,0.9663461
120,-0.692488,0.7161722
121,-1.2859087,0.99975383
122,-0.7515523,1.1420429
123,-0.76742023,0.9131821
124,-1.0020064,0.8347042
125,0.2940655,0.259844
126,-0.9018818,0.9408407
127,-1.1831999,1.1014419
128,-0.47140047,1.0710514
129,-1.4707749,0.9459998
130,-0.8220393,0.84743536
131,-1.0378534,0.8742225
132,-1.290894,1.0020628
133,-0.80311644,0.82541835
134,-0.487528,0.9902509
135,-1.018706,1.0375229
136,-1.5220016,1.0644135
137,-0.38330692,0.8855438
138,-0.60616875,0.9505401
139,-0.9108977,0.97342694
140,-1.6354405,0.9667476
141,-0.8205832,0.8430874
142,-1.287907,0.9857293
143,-1.216092,1.0911622
144,-0.25697905,0.780411
145,-1.387788,0.8710501
146,0.4203569,0.25556248
147,-1.0884253,0.90246886
148,-0.3607333,0.8092025
149,-1.0940475,1.0963922
150,-0.6052396,0.9260409
151,-0.6670341,1.074179
152,-1.0339054,0.8278292
153,-0.06651505,0.7359763
154,-0.682382,0.7733435
155,-0.6970296,0.91783535
156,-1.2266357,1.0120786
157,-0.6858876,0.91907907
158,-0.5193665,0.75295097
159,-0.99481654,0.8952416
160,-0.7707988,1.0209701
161,-0.7104832,0.83544946
162,-1.1125036,1.0007366
163,-0.9023305,0.94431096
164,-0.99581426,1.1616495
165,-0.91799027,0.88584626
166,0.5613759,0.21831134
167,-0.6968973,0.8839319
168,-0.6898211,0.6912344
169,-1.3406789,0.8639248
170,-0.40361705,0.8605371
171,-0.9944507,0.69846773
172,-0.69195276,0.9051633
173,0.40217698,0.2727771
174,-1.0785611,0.9336313
175,-1.1123037,0.9189514
176,-1.554838,1.0243154
177,-1.1912643,0.9208741
178,-0.40088055,0.8906182
179,-0.50092745,0.8514168
180,-1.1087341,0.24086681
181,-0.67197216,0.83413446
182,-0.8225652,0.8192406
183,-0.7203669,0.95555717
184,-0.62528396,0.75639325
185,0.3898834,0.26187357
186,-0.5499547,0.8411309
187,-0.23132138,1.0118568
188,-0.801626,0.74586856
189,-0.47292396,0.90920204
190,-1.049973,0.7992535
191,-1.5247228,0.9607138
192,-0.36145705,0.7560955
193,-0.68489635,0.7559322
194,-0.89650655,0.7693307
195,0.36603752,0.26632592
196,-0.43887165,0.8033262
197,-1.1960738,0.92195874
198,-1.1433069,0.8493647
199,-0.9390459,1.0872855
200,-0.49420488,0.75525117
201,-0.5363097,0.80576557
202,-0.94503576,1.0360527
203,-1.2262181,1.001836
204,-1.1686466,0.8853273
205,-0.64259976,0.84071743
206,-0.049598563,0.8923892
207,-0.8179431,0.9345978
208,-1.1192818,1.007033
209,-0.7340541,0.82134914
210,-0.21826632,0.8139734
211,-0.8389165,0.7802957
212,-0.9984997,0.93809813
213,-0.7517427,0.7117383
214,-1.4077266,1.1293545
215,-0.737963,1.1003684
216,-1.1532907,1.0117902
217,-0.7521581,0.9270263
218,-1.2691909,0.89867514
219,-0.5717706,0.85621506
220,-0.88505626,1.0620193
221,-0.64288753,0.8052764
222,-1.3684746,1.0483226
223,-1.0386705,0.8273293
224,-0.90382,0.783102
225,0.570227,0.3036471
226,-0.9786625,1.0081791
227,-1.3693037,0.99826944
228,-1.10896,0.97812575
229,-0.59735584,0.769412
230,-0.78402174,0.9395439
231,-1.2855957,0.89863366
232,-0.78477603,0.7429238
233,-1.0033675,0.9357095
234,-1.2983023,0.96306455
235,-0.8435121,0.9765806
236,-1.4192587,1.0534607
237,-1.2708143,0.9010114
238,-1.297811,0.89470905
239,-0.2363352,0.9625897
240,-0.76685405,0.90987504
241,-1.6626885,1.0240365
242,-1.6712129,1.0379751
243,-1.3368876,0.76854146
244,-0.466551,0.8596301
245,-0.41557264,0.9699325
246,-1.5450323,0.9250209
247,-0.78014266,0.77142245
248,-0.6196099,0.9095804
249,-1.0025458,0.910819
250,-0.7634954,0.7770737
251,-1.3736045,0.9656893
252,-0.94645715,0.97448003
253,-0.8841577,0.9806809
254,-0.88581073,0.9552199
255,-0.65972644,1.0879744
256,-0.8639352,1.0803633
257,-0.59130484,0.8557883
258,0.3179606,0.29052767
259,-0.89441735,0.86228824
260,-0.6228312,1.0540594
261,-1.4099013,0.87169874
262,-1.271265,0.9014774
263,-0.5547393,0.8735897
264,-0.51713246,1.1470261
265,-0.39085817,0.8644922
266,0.458691,0.24158077
267,-0.6108219,0.9629979
268,-1.2038299,1.1280922
269,-0.599358,0.8931538
270,-1.052851,0.9510289
271,0.3529382,0.23484187
272,-0.7544679,0.9608387
273,-0.5633774,0.99189234
274,-1.7164439,0.93614805
275,-0.82467645,0.874882
276,-1.022114,0.8164219
277,-1.0864946,0.87143046
278,-0.39829156,0.87769544
279,0.3869686,0.24771471
280,-0.55323666,0.77996004
281,-0.6325022,0.8015833
282,-1.3205293,0.99149793
283,-0.53383845,0.7738117
284,-1.0005398,0.928595
285,-0.76501125,0.779138
286,-1.2701366,0.88923097
287,-1.6597524,0.8964902
288,-0.67369086,0.8825527
289,-0.49779284,0.91514385
290,-0.82887065,0.9545095
291,-1.3518623,1.100999
292,-0.71303236,0.9768327
293,-1.1704096,0.91018146
294,-0.83977205,0.77113575
295,-1.2000053,0.94527024
296,-0.75138223,0.8044012
297,-1.4936786,1.0850334
298,0.37291387,0.26313475
299,-0.61610657,0.8629987
300,-0.4783335,0.8851958
301,-0.55625063,0.89499074
302,-0.861639,0.81849843
303,-1.3580518,1.0227317
304,-1.3038185,0.952334
305,0.26908335,0.2934958
306,-1.0229027,0.9359275
307,-0.6529873,0.8978431
308,-1.1638664,1.1230543
309,-1.2405567,0.9418764
310,-0.9100325,0.82489127
311,-1.9918629,1.1835085
312,-0.7666509,0.859105
313,0.2144061,0.273283
314,-1.4055393,0.8937247
315,-0.9985039,0.790418
316,-1.6029011,0.8884802
317,-0.63949925,0.80013317
318,0.30061668,0.25140774
319,-2.2370234,0.95354855
320,-0.60924274,0.9162644
321,0.30526066,0.25543055
322,-1.2754058,1.032479
323,-0.4841199,0.79902655
324,-1.0890143,1.0119296
325,-0.5996886,0.79685336
326,0.4366024,0.23724714
327,-1.2350724,1.0107827
328,-1.4456466,1.1166898
329,-1.145298,0.9211506
330,0.43458727,0.22324741
331,0.39460164,0.2501602
332,-0.8459129,0.8386258
333,-1.2906921,0.85522085
334,-0.9954611,0.8682592
335,-0.5026086,0.8101584
336,-0.32939515,0.76687884
337,-0.95336837,1.0098029
338,-1.1713302,0.9175837
339,-0.5188272,0.87288034
340,-0.87465423,0.9357493
341,-1.2502726,1.0243515
342,-0.7904766,0.7583387
343,-1.2606788,0.7629178
344,-1.1041975,0.8610407
345,-1.1152927,0.91447765
346,-0.31190956,0.7710806
347,-0.3593613,0.86911386
348,-0.368049,0.71474886
349,0.43093616,0.23977712
350,-1.7823391,1.0084649
351,-0.47851977,0.81902033
352,-0.42490575,0.9044514
353,-0.67456394,0.9623275
354,0.24469212,0.27242762
355,-0.8624507,0.90964967
356,-0.8075048,0.8388571
357,-0.8000899,1.0674481
358,0.47435707,0.22063081
359,-0.9211717,0.96461016
360,-0.39133462,0.6411819
361,-1.0764459,0.75941485
362,-0.60694176,0.7785648
363,-0.93292385,0.80465084
364,0.35280985,0.24582429
365,-0.70533866,0.8522478
366,-1.4659529,0.93238455
367,-0.02463878,0.59604377
368,-1.4661324,0.9178223
369,-0.77015346,0.85462034
370,-0.56704026,0.8085416
371,-0.14641838,0.9976787
372,-1.6310378,1.0685211
373,-0.89205235,0.77043754
374,-0.45492652,0.7036158
375,-1.2629619,1.0875114
376,-0.8174738,0.9149061
377,-0.67603767,0.9818807
378,-0.93122053,1.0177493
379,-0.757694,0.8566661
380,-0.522619,0.923667
381,-0.48390743,0.89065135
382,-0.49647325,0.8450598
383,-1.1718991,1.1736455
384,-0.58289415,0.8035242
385,-0.9604812,0.9225453
386,-0.90666586,0.877284
387,-0.973119,0.87392896
388,-1.3728328,0.9716835
389,0.28301203,0.24338245
390,-0.59490556,0.85546404
391,-0.5852017,0.95720464
392,-0.94320107,0.8890213
393,0.5260484,0.2693344
394,-0.85190374,0.9720375
395,-0.7589175,0.94264406
396,-0.94715756,0.98792136
397,0.36635563,0.24551833
398,-1.1263249,0.89472204
399,-0.8937264,0.8468997
400,-0.9085758,0.7118288
401,-1.447386,0.86393726
402,-0.9031928,0.88468206
403,-0.6487074,0.84205645
404,0.48272893,0.2265377
405,-0.40063274,0.84253633
406,-0.7154426,0.97857445
407,-1.0117096,0.84302795
408,-0.40404254,0.8143382
409,-1.1411988,0.83114797
410,0.3177426,0.27121612
411,-1.5361475,1.0648537
412,-0.88304484,0.8689087
413,-0.92493445,0.8308971
414,-0.7813223,0.91297996
415,-1.5993259,0.96664506
416,-0.300364,0.94798136
417,-0.41495255,0.8590035
418,-1.2525034,0.97426605
419,-0.7108423,0.8815524
420,-0.88152033,0.91484773
421,-1.2879106,1.0172005
422,-0.76049227,0.8433597
423,-1.3830175,1.0213248
424,-1.6440371,0.9824921
425,-1.5337813,0.8945956
426,-1.1008722,1.0230052
427,-0.7485867,0.96328104
428,-0.9159889,0.8645626
429,-0.8817198,1.0237145
430,-0.9285325,0.790154
431,-0.6490832,0.93130696
432,-1.5640329,0.9394091
433,-0.8539857,0.84732604
434,-0.7031531,0.8492855
