neuron,mean,sd
0,-0.042203452438116074,0.017376529052853584
1,-0.05325307324528694,0.019864147529006004
2,-0.06456347554922104,0.022643456235527992
3,-0.1623060554265976,0.061328016221523285
4,-0.12936903536319733,0.07527775317430496
5,-0.06307084113359451,0.018988441675901413
6,-0.0507039837539196,0.017535528168082237
7,-0.04813278093934059,0.017912620678544044
8,-0.0641569048166275,0.019166303798556328
9,-0.04906217008829117,0.019225604832172394
10,-0.039035845547914505,0.018697045743465424
11,-0.14263740181922913,0.07235895097255707
12,-0.14203645288944244,0.06727738678455353
13,-0.06559967994689941,0.02638978883624077
14,-0.1359948366880417,0.056200478225946426
15,-0.04136380925774574,0.018664352595806122
16,-0.12542441487312317,0.053172413259744644
17,-0.0579497255384922,0.020520875230431557
18,-0.07643251866102219,0.048135701566934586
19,-0.07344160974025726,0.02288253977894783
20,-0.03847517818212509,0.019132232293486595
21,-0.1418289691209793,0.07151997089385986
22,-0.23587995767593384,0.08507101982831955
23,-0.14846760034561157,0.04737846553325653
24,-0.17843826115131378,0.06540816277265549
25,-0.06667102128267288,0.020713824778795242
26,-0.07280535995960236,0.022532869130373
27,-0.11094652116298676,0.048926446586847305
28,-0.08083197474479675,0.024647001177072525
29,-0.17522715032100677,0.055076323449611664
30,-0.12317173928022385,0.053361788392066956
31,-0.15559172630310059,0.06785432249307632
32,-0.17130157351493835,0.08806072920560837
33,-0.13183730840682983,0.06475786119699478
34,-0.107049860060215,0.051370322704315186
35,-0.059638552367687225,0.019920310005545616
36,-0.13628828525543213,0.06818737834692001
37,-0.05978281795978546,0.02100704051554203
38,-0.28024864196777344,0.08260805904865265
39,-0.05223650485277176,0.01671518012881279
40,-0.07324077934026718,0.01964147761464119
41,-0.054251302033662796,0.01762271858751774
42,-0.04912256821990013,0.019002780318260193
43,-0.04438813775777817,0.018082913011312485
44,-0.07038909196853638,0.020444853231310844
45,-0.06478797644376755,0.019373858347535133
46,-0.10296328365802765,0.06325139850378036
47,-0.04815351963043213,0.017457613721489906
48,-0.04841209203004837,0.019749915227293968
49,-0.04805169999599457,0.020177265629172325
50,-0.23991043865680695,0.051256630569696426
51,-0.04200609400868416,0.016234176233410835
52,-0.11521095782518387,0.07205446064472198
53,-0.10869808495044708,0.057827938348054886
54,-0.03479328379034996,0.013822264038026333
55,-0.05375473573803902,0.019359411671757698
56,-0.12921541929244995,0.0709792748093605
57,-0.05007477104663849,0.017292916774749756
58,-0.045477475970983505,0.01770109497010708
59,-0.20389437675476074,0.062076136469841
60,-0.14231841266155243,0.07052747905254364
61,-0.05856797471642494,0.01943235471844673
62,-0.04341540113091469,0.018842803314328194
63,-0.18038517236709595,0.0711667463183403
64,-0.14972777664661407,0.0749700516462326
65,-0.15683461725711823,0.07864145934581757
66,-0.22330251336097717,0.05540073662996292
67,-0.047288551926612854,0.018219562247395515
68,-0.05264674872159958,0.016611171886324883
69,-0.11991378664970398,0.07523325830698013
70,-0.15096358954906464,0.07701694965362549
71,-0.14073143899440765,0.07726304233074188
72,-0.055755287408828735,0.021175652742385864
73,-0.04819795489311218,0.01964452490210533
74,-0.1701156049966812,0.060880910605192184
75,-0.17146575450897217,0.06422636657953262
76,-0.05489619821310043,0.01719748042523861
77,-0.17015592753887177,0.07696013897657394
78,-0.051566243171691895,0.018647680059075356
79,-0.04207625612616539,0.02572067640721798
80,-0.11796439439058304,0.07636665552854538
81,-0.06748535484075546,0.01942424662411213
82,-0.05825329199433327,0.02160140685737133
83,-0.14926114678382874,0.05739665776491165
84,-0.040952011942863464,0.01861170120537281
85,-0.05549437925219536,0.018339766189455986
86,-0.1190226674079895,0.06469191610813141
87,-0.049429234117269516,0.018345503136515617
88,-0.15715055167675018,0.08568794280290604
89,-0.10028573870658875,0.04720136895775795
90,-0.040474265813827515,0.01538850087672472
91,-0.04986380413174629,0.0200048815459013
92,-0.15270327031612396,0.09920835494995117
93,-0.05924341827630997,0.022874480113387108
94,-0.04385238140821457,0.017681492492556572
95,-0.05615651607513428,0.0216513704508543
96,-0.04990997165441513,0.016802649945020676
97,-0.05901496857404709,0.02093089371919632
98,-0.05674450099468231,0.019465385004878044
99,-0.05912008881568909,0.022130919620394707
100,-0.04639391973614693,0.01735088787972927
101,-0.12010417878627777,0.06436999142169952
102,-0.20497335493564606,0.05764377862215042
103,-0.18340599536895752,0.05321759730577469
104,-0.1890869289636612,0.07272442430257797
105,-0.05162965506315231,0.01675424724817276
106,-0.16183629631996155,0.05820092186331749
107,-0.09872546046972275,0.046693943440914154
108,-0.1401582956314087,0.07635007053613663
109,-0.09012193977832794,0.04858142137527466
110,-0.04996450990438461,0.018783461302518845
111,-0.051035281270742416,0.01966976933181286
112,-0.051753297448158264,0.018739065155386925
113,-0.04933856055140495,0.01978301629424095
114,-0.05992528051137924,0.019057059660553932
115,-0.051300302147865295,0.020808467641472816
116,-0.12013096362352371,0.06427165120840073
117,-0.15781377255916595,0.07111777365207672
118,-0.05102501064538956,0.019714228808879852
119,-0.045825500041246414,0.0168027114123106
120,-0.04818316176533699,0.016025062650442123
121,-0.0510210320353508,0.021535523235797882
122,-0.058654915541410446,0.018454672768712044
123,-0.05745259299874306,0.020121591165661812
124,-0.07571344077587128,0.022718079388141632
125,-0.19370977580547333,0.06839460879564285
126,-0.15560734272003174,0.07373984158039093
127,-0.05609403923153877,0.02037055976688862
128,-0.10651452839374542,0.050637125968933105
129,-0.0628778338432312,0.03543705865740776
130,-0.17089346051216125,0.08112501353025436
131,-0.1386205106973648,0.07333825528621674
132,-0.04902029037475586,0.01819666288793087
133,-0.14423228800296783,0.039634719491004944
134,-0.04910775274038315,0.018192440271377563
135,-0.13710519671440125,0.07297100871801376
136,-0.11286178231239319,0.059896089136600494
137,-0.048449259251356125,0.016407929360866547
138,-0.05336331948637962,0.020250672474503517
139,-0.05101129040122032,0.018233180046081543
140,-0.18781758844852448,0.07672254741191864
141,-0.0916026160120964,0.06439901888370514
142,-0.1209377571940422,0.05957736447453499
143,-0.16291764378547668,0.07984498888254166
144,-0.048516031354665756,0.015186259523034096
145,-0.16349858045578003,0.050210047513246536
146,-0.05356202647089958,0.01999390684068203
147,-0.32374894618988037,0.09471701085567474
148,-0.06259200721979141,0.022645151242613792
149,-0.04809994250535965,0.017395222559571266
150,-0.13601279258728027,0.08109050244092941
151,-0.04380117729306221,0.019517432898283005
152,-0.04697804152965546,0.017518077045679092
153,-0.04184164106845856,0.020160160958766937
154,-0.04361315444111824,0.016426442191004753
155,-0.12143917381763458,0.0738457590341568
156,-0.15043778717517853,0.07460913807153702
157,-0.14674818515777588,0.062088605016469955
158,-0.06830507516860962,0.020613349974155426
159,-0.06559433043003082,0.0257659200578928
160,-0.06960379332304001,0.019510995596647263
161,-0.12145958095788956,0.07763700187206268
162,-0.04831468686461449,0.02095434069633484
163,-0.049421653151512146,0.01804107055068016
164,-0.03645452857017517,0.015072339214384556
165,-0.05855478346347809,0.0192733034491539
166,-0.1261347234249115,0.06033088266849518
167,-0.05008378252387047,0.021084090694785118
168,-0.04748670756816864,0.016650820150971413
169,-0.0464528389275074,0.021821726113557816
170,-0.1365668773651123,0.053833991289138794
171,-0.1557357758283615,0.06736847758293152
172,-0.1895834505558014,0.07516550272703171
173,-0.09834025800228119,0.05960406735539436
174,-0.06861653178930283,0.02151753567159176
175,-0.10434462130069733,0.05107799917459488
176,-0.06961115449666977,0.02427360787987709
177,-0.236404687166214,0.07228713482618332
178,-0.1572931408882141,0.058699801564216614
179,-0.13017898797988892,0.07353188097476959
180,-0.05902721732854843,0.01821339689195156
181,-0.07382071018218994,0.04682043194770813
182,-0.03544572740793228,0.016134491190314293
183,-0.26414015889167786,0.07379492372274399
184,-0.05506553128361702,0.018780838698148727
185,-0.15314669907093048,0.06751057505607605
186,-0.12634935975074768,0.08014609664678574
187,-0.13234715163707733,0.07964255660772324
188,-0.15892137587070465,0.0762430801987648
189,-0.06007596105337143,0.020477203652262688
190,-0.12265190482139587,0.0814821869134903
191,-0.11349266767501831,0.06495116651058197
192,-0.09887406975030899,0.04124657064676285
193,-0.05029190704226494,0.018523791804909706
194,-0.13979937136173248,0.06671322882175446
195,-0.3260006308555603,0.07837894558906555
196,-0.13474750518798828,0.05906279757618904
197,-0.21404258906841278,0.0793510153889656
198,-0.11224254965782166,0.06183583661913872
199,-0.05850850045681,0.016747549176216125
200,-0.09122256934642792,0.04348871484398842
201,-0.055778928101062775,0.019429093226790428
202,-0.05737387016415596,0.020066536962985992
203,-0.16688737273216248,0.07066124677658081
204,-0.12068676203489304,0.07894626259803772
205,-0.1264316737651825,0.06434173136949539
206,-0.0636114701628685,0.01580077037215233
207,-0.22807356715202332,0.061642490327358246
208,-0.04236072301864624,0.017015524208545685
209,-0.048676829785108566,0.021676551550626755
210,-0.1996953785419464,0.07509119808673859
211,-0.06967216730117798,0.01911235973238945
212,-0.0617777444422245,0.04409225657582283
213,-0.0561332069337368,0.023601332679390907
214,-0.04949476942420006,0.01714135892689228
215,-0.05118538811802864,0.021669190376996994
216,-0.04907923564314842,0.020277926698327065
217,-0.04485734924674034,0.01536631304770708
218,-0.07553625106811523,0.022877715528011322
219,-0.06379127502441406,0.020481260493397713
220,-0.15301331877708435,0.05002953112125397
221,-0.045833926647901535,0.014774996787309647
222,-0.2801961898803711,0.07045847177505493
223,-0.058934517204761505,0.025231458246707916
224,-0.13750691711902618,0.061356302350759506
225,-0.0461522713303566,0.01970796287059784
226,-0.049109138548374176,0.018036330118775368
227,-0.060694772750139236,0.024788714945316315
228,-0.16027794778347015,0.0852077305316925
229,-0.22169129550457,0.05990860238671303
230,-0.14103738963603973,0.09384835511445999
231,-0.05429837852716446,0.02053755521774292
232,-0.04368405416607857,0.019149405881762505
233,-0.10669268667697906,0.06510662287473679
234,-0.13335931301116943,0.07969873398542404
235,-0.055658549070358276,0.017511028796434402
236,-0.1087934598326683,0.05684087425470352
237,-0.050602350383996964,0.018682390451431274
238,-0.06754471361637115,0.02167665585875511
239,-0.14988665282726288,0.0715055987238884
240,-0.138080894947052,0.07548143714666367
241,-0.051564060151576996,0.02208622545003891
242,-0.1698889583349228,0.06378636509180069
243,-0.0458984449505806,0.019149521365761757
244,-0.18610002100467682,0.08258494734764099
245,-0.06479276716709137,0.020075296983122826
246,-0.06098625436425209,0.017925510182976723
247,-0.05405505374073982,0.02100793644785881
248,-0.042389120906591415,0.021216506138443947
249,-0.1843651980161667,0.07710949331521988
250,-0.06227758154273033,0.023056909441947937
251,-0.046052832156419754,0.0175668653100729
252,-0.12597668170928955,0.06553155928850174
253,-0.04755019396543503,0.018959270790219307
254,-0.06685814261436462,0.022348660975694656
255,-0.16879627108573914,0.0778183713555336
256,-0.046299923211336136,0.014209933578968048
257,-0.03473784402012825,0.018289241939783096
258,-0.20266036689281464,0.06819727271795273
259,-0.1319120228290558,0.04703325033187866
260,-0.10713070631027222,0.05992569774389267
261,-0.1241108775138855,0.06770699471235275
262,-0.05548752471804619,0.018752720206975937
263,-0.13118724524974823,0.05348479747772217
264,-0.045771826058626175,0.01731891930103302
265,-0.2033177614212036,0.070777527987957
266,-0.18024076521396637,0.08329658210277557
267,-0.11202232539653778,0.053514428436756134
268,-0.11950000375509262,0.0731702446937561
269,-0.055539317429065704,0.0226020198315382
270,-0.060107436031103134,0.021057110279798508
271,-0.05638471245765686,0.02312936633825302
272,-0.04890510439872742,0.019428107887506485
273,-0.0981062725186348,0.049626078456640244
274,-0.05205926671624184,0.018025817349553108
275,-0.05912281945347786,0.016245726495981216
276,-0.1612447053194046,0.08604591339826584
277,-0.060771774500608444,0.01722172647714615
278,-0.14376388490200043,0.05274788290262222
279,-0.04439409449696541,0.01862810179591179
280,-0.04767100512981415,0.01846369355916977
281,-0.11731784045696259,0.0609273687005043
282,-0.05186125636100769,0.019404839724302292
283,-0.08864738047122955,0.04481320455670357
284,-0.07864034920930862,0.02270488627254963
285,-0.05775516852736473,0.021796483546495438
286,-0.1449497640132904,0.07774800807237625
287,-0.07120657712221146,0.02628885582089424
288,-0.046423252671957016,0.01875271275639534
289,-0.05026344954967499,0.0174286887049675
290,-0.05190879479050636,0.022669972851872444
291,-0.13420456647872925,0.06804506480693817
292,-0.17925727367401123,0.06444137543439865
293,-0.053907349705696106,0.016841838136315346
294,-0.10035078972578049,0.04489269107580185
295,-0.04511367529630661,0.02079067751765251
296,-0.06423626095056534,0.01799413189291954
297,-0.12081851065158844,0.06365208327770233
298,-0.11713963747024536,0.06344471871852875
299,-0.19070753455162048,0.0775519609451294
300,-0.25647732615470886,0.08453544974327087
301,-0.07233447581529617,0.019592007622122765
