item_id,paired_id
0,0
1,207
2,858
3,858
4,858
5,712
6,858
7,433
8,311
9,84
10,98
11,222
12,858
13,207
14,51
15,858
16,858
17,858
18,712
19,858
20,858
21,59
22,479
23,489
24,858
25,858
26,84
27,479
28,858
29,185
30,98
31,185
32,858
33,858
34,311
35,98
36,207
37,71
38,84
39,39
40,858
41,858
42,98
43,479
44,858
45,207
46,185
47,858
48,479
49,712
50,858
51,51
52,858
53,321
54,858
55,712
56,858
57,311
58,479
59,59
60,479
61,321
62,321
63,699
64,64
65,699
66,479
67,326
68,699
69,737
70,70
71,71
72,858
73,187
74,479
75,187
76,858
77,187
78,222
79,326
80,222
81,185
82,311
83,155
84,84
85,737
86,222
87,858
88,858
89,745
90,59
91,829
92,248
93,98
94,858
95,816
96,712
97,311
98,98
99,321
100,858
101,71
102,70
103,222
104,311
105,70
106,858
107,187
108,71
109,216
110,858
111,858
112,858
113,113
114,858
115,222
116,858
117,858
118,185
119,119
120,59
121,84
122,222
123,321
124,858
125,858
126,858
127,127
128,187
129,222
130,858
131,858
132,674
133,489
134,712
135,59
136,479
137,137
138,139
139,139
140,829
141,141
142,142
143,858
144,366
145,71
146,222
147,433
148,321
149,858
150,155
151,222
152,479
153,59
154,84
155,155
156,59
157,858
158,858
159,155
160,479
161,568
162,858
163,858
164,164
165,165
166,59
167,175
168,168
169,169
170,170
171,171
172,265
173,173
174,174
175,175
176,176
177,516
178,858
179,858
180,858
181,188
182,858
183,502
184,858
185,185
186,187
187,187
188,188
189,326
190,190
191,192
192,192
193,193
194,194
195,195
196,196
197,197
198,70
199,199
200,858
201,858
202,284
203,858
204,222
205,858
206,71
207,207
208,858
209,155
210,119
211,211
212,165
213,858
214,59
215,165
216,216
217,858
218,858
219,219
220,220
221,155
222,222
223,433
224,222
225,858
226,222
227,222
228,858
229,479
230,291
231,858
232,479
233,216
234,318
235,98
236,858
237,858
238,207
239,311
240,216
241,858
242,858
243,155
244,311
245,858
246,858
247,222
248,248
249,858
250,858
251,222
252,858
253,253
254,858
255,155
256,326
257,479
258,479
259,259
260,260
261,261
262,297
263,433
264,264
265,265
266,174
267,267
268,268
269,284
270,270
271,287
272,433
273,168
274,274
275,275
276,398
277,259
278,278
279,291
280,280
281,632
282,282
283,780
284,284
285,285
286,858
287,287
288,780
289,840
290,433
291,291
292,292
293,433
294,297
295,295
296,433
297,297
298,433
299,712
300,434
301,301
302,302
303,699
304,858
305,609
306,430
307,307
308,821
309,379
310,310
311,311
312,311
313,858
314,222
315,326
316,84
317,858
318,318
319,321
320,489
321,321
322,155
323,858
324,311
325,325
326,326
327,858
328,858
329,479
330,858
331,311
332,571
333,98
334,858
335,858
336,858
337,858
338,858
339,858
340,858
341,745
342,216
343,821
344,479
345,155
346,858
347,59
348,568
349,568
350,187
351,858
352,858
353,568
354,354
355,858
356,356
357,501
358,745
359,858
360,311
361,858
362,398
363,363
364,364
365,522
366,366
367,858
368,858
369,858
370,325
371,187
372,858
373,858
374,858
375,326
376,858
377,502
378,398
379,379
380,501
381,858
382,427
383,98
384,858
385,222
386,858
387,712
388,502
389,259
390,259
391,538
392,433
393,858
394,291
395,858
396,396
397,398
398,398
399,398
400,400
401,401
402,712
403,403
404,502
405,405
406,406
407,841
408,859
409,745
410,398
411,479
412,858
413,858
414,414
415,737
416,858
417,84
418,418
419,858
420,98
421,479
422,84
423,479
424,424
425,222
426,403
427,427
428,722
429,429
430,430
431,433
432,824
433,433
434,434
435,435
436,858
437,479
438,858
439,858
440,71
441,737
442,858
443,858
444,858
445,165
446,568
447,575
448,59
449,155
450,858
451,84
452,858
453,489
454,479
455,456
456,456
457,858
458,479
459,750
460,568
461,858
462,479
463,858
464,858
465,479
466,858
467,858
468,222
469,858
470,479
471,479
472,858
473,858
474,479
475,216
476,479
477,84
478,858
479,479
480,222
481,188
482,479
483,858
484,222
485,858
486,858
487,858
488,479
489,489
490,858
491,155
492,479
493,248
494,187
495,858
496,479
497,858
498,568
499,248
500,187
501,501
502,502
503,222
504,568
505,858
506,568
507,190
508,222
509,84
510,222
511,311
512,858
513,403
514,858
515,515
516,516
517,858
518,858
519,519
520,520
521,522
522,522
523,858
524,502
525,858
526,216
527,185
528,222
529,858
530,858
531,502
532,522
533,433
534,501
535,571
536,536
537,571
538,538
539,501
540,570
541,538
542,398
543,543
544,829
545,568
546,546
547,547
548,548
549,568
550,568
551,427
552,552
553,553
554,858
555,555
556,556
557,571
558,568
559,565
560,560
561,622
562,858
563,858
564,568
565,565
566,566
567,568
568,568
569,568
570,570
571,571
572,575
573,852
574,568
575,575
576,568
577,433
578,575
579,579
580,858
581,858
582,858
583,858
584,858
585,858
586,858
587,575
588,805
589,858
590,568
591,670
592,858
593,568
594,568
595,821
596,287
597,398
598,502
599,268
600,600
601,501
602,600
603,858
604,600
605,605
606,398
607,858
608,858
609,609
610,858
611,568
612,502
613,568
614,560
615,821
616,858
617,770
618,570
619,571
620,712
621,575
622,622
623,623
624,827
625,858
626,858
627,568
628,403
629,629
630,568
631,858
632,632
633,522
634,858
635,479
636,479
637,479
638,222
639,326
640,71
641,858
642,858
643,568
644,546
645,648
646,858
647,647
648,648
649,858
650,858
651,651
652,780
653,489
654,699
655,858
656,479
657,248
658,522
659,479
660,479
661,858
662,750
663,858
664,568
665,699
666,858
667,609
668,668
669,669
670,670
671,155
672,187
673,858
674,674
675,750
676,479
677,674
678,858
679,679
680,679
681,737
682,479
683,699
684,858
685,398
686,568
687,858
688,222
689,858
690,575
691,699
692,858
693,185
694,311
695,858
696,858
697,155
698,98
699,699
700,479
701,829
702,318
703,366
704,479
705,709
706,829
707,848
708,858
709,709
710,433
711,711
712,712
713,137
714,714
715,858
716,427
717,770
718,311
719,187
720,858
721,858
722,722
723,479
724,538
725,745
726,571
727,845
728,728
729,729
730,291
731,165
732,522
733,670
734,568
735,858
736,829
737,737
738,479
739,858
740,858
741,737
742,858
743,187
744,744
745,745
746,858
747,59
748,745
749,749
750,750
751,222
752,699
753,427
754,522
755,755
756,756
757,188
758,188
759,265
760,427
761,858
762,433
763,769
764,427
765,502
766,858
767,326
768,398
769,769
770,770
771,769
772,502
773,773
774,774
775,774
776,858
777,427
778,770
779,571
780,780
781,852
782,858
783,571
784,568
785,287
786,858
787,522
788,858
789,568
790,522
791,568
792,858
793,479
794,155
795,858
796,155
797,479
798,84
799,848
800,433
801,801
802,278
803,670
804,536
805,805
806,858
807,750
808,155
809,858
810,155
811,858
812,812
813,674
814,479
815,858
816,816
817,817
818,818
819,816
820,820
821,821
822,568
823,560
824,824
825,825
826,829
827,827
828,828
829,829
830,830
831,831
832,832
833,858
834,829
835,858
836,709
837,852
838,858
839,858
840,840
841,841
842,842
843,840
844,568
845,845
846,858
847,848
848,848
849,858
850,858
851,829
852,852
853,770
854,858
855,398
856,858
857,609
858,858
859,859
860,858
861,858
862,858
863,858
864,858
865,858
866,858
867,858
868,858
869,858
870,858
871,858
872,858
873,858
874,858
875,858
876,858
877,858
878,858
879,858
880,858
881,858
882,858
883,858
884,858
885,858
886,858
887,858
888,165
889,858
890,858
891,858
892,84
893,858
894,858
895,858
896,858
897,858
898,858
899,858
900,858
901,858
902,858
903,858
904,858
905,858
906,858
907,858
908,858
909,858
910,858
911,858
912,858
913,858
914,858
915,858
916,858
917,568
918,858
919,858
920,858
921,59
922,858
923,858
924,858
925,98
926,59
927,858
928,98
929,858
930,858
931,858
932,858
933,858
934,858
935,858
936,222
937,858
938,858
939,858
940,858
941,858
942,858
943,858
944,858
945,858
946,858
947,858
948,858
949,858
950,858
951,858
952,858
953,858
954,858
955,479
956,858
957,858
958,858
959,858
960,433
961,858
962,858
963,858
964,858
965,858
966,858
967,858
968,858
969,858
970,858
971,858
972,858
973,858
974,858
975,858
976,858
977,858
978,858
979,858
980,858
981,858
982,858
983,858
984,858
985,858
986,858
987,858
988,858
989,155
990,858
991,858
992,858
993,858
994,858
995,165
996,858
997,858
998,858
999,858
1000,858
1001,858
1002,858
1003,858
1004,858
1005,858
1006,858
1007,858
1008,858
1009,858
1010,858
1011,168
1012,433
1013,502
1014,858
1015,858
1016,858
1017,403
1018,827
1019,858
1020,858
1021,502
1022,502
1023,858
1024,858
1025,858
1026,858
1027,858
1028,858
1029,745
1030,858
1031,858
1032,858
1033,858
1034,858
1035,858
1036,858
1037,858
1038,188
1039,858
1040,858
1041,858
1042,858
1043,858
1044,858
1045,858
1046,858
1047,858
1048,858
1049,858
1050,858
1051,858
1052,858
1053,858
1054,858
1055,858
1056,858
1057,858
1058,858
1059,858
1060,858
1061,858
1062,522
1063,858
1064,858
1065,858
1066,858
1067,858
1068,568
1069,858
1070,858
1071,858
1072,858
1073,858
1074,858
1075,858
1076,858
1077,858
1078,188
1079,858
1080,858
1081,858
1082,858
1083,812
1084,568
1085,858
1086,858
1087,858
1088,858
1089,858
1090,858
1091,858
1092,858
1093,858
1094,858
1095,858
1096,403
1097,858
1098,858
1099,858
1100,858
1101,59
1102,858
1103,858
1104,858
1105,858
1106,858
1107,858
1108,858
1109,502
1110,858
1111,858
1112,858
1113,311
1114,858
1115,858
1116,858
1117,858
1118,858
1119,858
1120,858
1121,858
1122,858
1123,858
1124,829
1125,568
1126,858
1127,829
1128,858
1129,858
1130,858
1131,858
1132,679
1133,858
1134,858
1135,858
1136,858
1137,858
1138,858
1139,750
1140,165
1141,858
1142,852
1143,858
1144,858
1145,858
1146,858
1147,858
1148,858
1149,858
1150,858
1151,858
1152,858
1153,858
1154,858
1155,311
1156,858
1157,858
1158,858
1159,858
1160,858
1161,858
1162,858
1163,858
1164,858
1165,858
1166,858
1167,858
1168,858
1169,858
1170,858
1171,858
1172,858
1173,858
1174,858
1175,188
1176,858
1177,858
1178,858
1179,858
1180,858
1181,858
1182,858
1183,858
1184,858
1185,858
1186,858
1187,70
1188,185
1189,858
1190,858
1191,858
1192,858
1193,858
1194,858
1195,858
1196,858
1197,858
1198,858
1199,568
1200,858
1201,858
1202,858
1203,858
1204,858
1205,858
1206,858
1207,858
1208,858
1209,858
1210,858
1211,858
1212,858
1213,858
1214,858
1215,858
1216,858
1217,858
1218,858
1219,858
1220,858
1221,858
1222,858
1223,858
1224,858
1225,858
1226,858
1227,858
1228,858
1229,858
1230,858
1231,858
1232,858
1233,858
1234,858
1235,858
1236,858
1237,858
1238,287
1239,858
1240,858
1241,858
1242,858
1243,858
1244,858
1245,858
1246,829
1247,858
1248,858
1249,858
1250,858
1251,858
1252,858
1253,858
1254,859
1255,858
1256,858
1257,858
1258,858
1259,858
1260,858
1261,858
1262,840
1263,858
1264,858
1265,858
1266,858
1267,858
1268,858
1269,858
1270,858
1271,858
1272,858
1273,858
1274,858
1275,858
1276,858
1277,858
1278,858
1279,858
1280,858
1281,858
1282,858
1283,502
1284,712
1285,858
1286,858
1287,858
1288,858
1289,858
1290,858
1291,858
1292,858
1293,858
1294,858
1295,858
1296,858
1297,858
1298,858
1299,858
1300,770
1301,858
1302,858
1303,858
1304,858
1305,858
1306,568
1307,403
1308,858
1309,858
1310,712
1311,858
1312,858
1313,568
1314,858
1315,568
1316,575
1317,568
1318,858
1319,568
1320,858
1321,858
1322,858
1323,858
1324,858
1325,858
1326,427
1327,858
1328,858
1329,858
1330,858
1331,858
1332,622
1333,568
1334,858
1335,858
1336,568
1337,568
1338,571
1339,568
1340,858
1341,858
1342,858
1343,858
1344,568
1345,568
1346,858
1347,858
1348,858
1349,858
1350,568
1351,568
1352,858
1353,858
1354,858
1355,858
1356,858
1357,502
1358,858
1359,479
1360,858
1361,568
1362,858
1363,858
1364,858
1365,709
1366,858
1367,858
1368,858
1369,858
1370,858
1371,168
1372,858
1373,858
1374,858
1375,858
1376,858
1377,858
1378,858
1379,858
1380,858
1381,858
1382,858
1383,858
1384,568
1385,858
1386,729
1387,858
1388,858
1389,858
1390,858
1391,858
1392,479
1393,568
1394,858
1395,858
1396,858
1397,858
1398,858
1399,479
1400,858
1401,858
1402,858
1403,560
1404,522
1405,858
1406,858
1407,858
1408,858
1409,858
1410,858
1411,858
1412,858
1413,858
1414,858
1415,325
1416,858
1417,858
1418,311
1419,858
1420,568
1421,858
1422,829
1423,858
1424,858
1425,858
1426,858
1427,858
1428,858
1429,858
1430,858
1431,858
1432,858
1433,858
1434,216
1435,858
1436,858
1437,858
1438,433
1439,858
1440,858
1441,568
1442,858
1443,858
1444,858
1445,858
1446,858
1447,858
1448,780
1449,858
1450,840
1451,858
1452,502
1453,858
1454,858
1455,858
1456,858
1457,858
1458,858
1459,858
1460,326
1461,858
1462,568
1463,858
1464,858
1465,858
1466,858
1467,858
1468,858
1469,858
1470,858
1471,858
1472,858
1473,712
1474,858
1475,479
1476,858
1477,699
1478,858
1479,858
1480,858
1481,858
1482,479
1483,858
1484,858
1485,568
1486,770
1487,858
1488,858
1489,858
1490,858
1491,522
1492,858
1493,858
1494,858
1495,858
1496,568
1497,858
1498,858
1499,858
1500,858
1501,858
1502,479
1503,858
1504,858
1505,858
1506,858
1507,829
1508,858
1509,858
1510,568
1511,858
1512,568
1513,858
1514,858
1515,59
1516,858
1517,858
1518,858
1519,858
1520,858
1521,858
1522,858
1523,858
1524,622
1525,858
1526,858
1527,829
1528,858
1529,858
1530,858
1531,858
1532,858
1533,858
1534,858
1535,858
1536,858
1537,479
1538,858
1539,858
1540,858
1541,858
1542,829
1543,858
1544,858
1545,858
1546,858
1547,858
1548,575
