alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0.3,0.01,0.1925,,139.6079,0.953,0.226,0.0,0.0035,0.189,0.1482,0.2232,0.1317
0.3,0.05,0.1925,,139.6079,0.953,0.226,0.0,0.0035,0.189,0.1482,0.2232,0.1317
0.3,0.1,0.1925,,139.6079,0.953,0.226,0.0,0.0035,0.189,0.1482,0.2232,0.1317
0.5,0.01,0.187,,130.1915,0.9413,0.2802,0.0002,0.0033,0.1834,0.1482,0.2171,0.1259
0.5,0.05,0.1865,,130.1915,0.9413,0.2802,0.0002,0.0033,0.1829,0.1478,0.2164,0.1256
0.5,0.1,0.186,,130.1915,0.9413,0.2802,0.0002,0.0033,0.1825,0.1473,0.216,0.1253
0.7,0.01,0.1805,,121.6118,0.9352,0.2866,0.0002,0.0033,0.177,0.1442,0.2093,0.1219
0.7,0.05,0.1745,,114.8356,0.932,0.2924,0.0003,0.0028,0.1714,0.1371,0.203,0.1169
0.7,0.1,0.1732,,114.8356,0.932,0.2924,0.0003,0.0028,0.1701,0.135,0.2018,0.1154
0.9,0.01,0.1603,,105.282,0.9295,0.2879,0.0006,0.0023,0.1574,0.1213,0.1888,0.1032
0.9,0.05,0.1542,,102.068,0.9299,0.2834,0.0006,0.0021,0.1516,0.1181,0.1832,0.0953
0.9,0.1,0.1463,,102.068,0.9299,0.2834,0.0007,0.0021,0.1435,0.1117,0.1738,0.0902
0.99,0.01,0.132,,96.5887,0.931,0.275,0.0009,0.0018,0.1293,0.0973,0.1615,0.071
0.99,0.05,0.1275,,95.1249,0.9324,0.2647,0.0009,0.0018,0.1247,0.0932,0.1578,0.0647
0.99,0.1,0.1081,,95.1249,0.9324,0.2647,0.0012,0.0013,0.1056,0.0828,0.1331,0.0554
