alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.1811,,123.326,0.9365,0.2795,0.0002,0.0031,0.1778,0.1472,0.2085,0.1252
0.0,-1,0.1811,,123.326,0.9365,0.2795,0.0002,0.0031,0.1778,0.1472,0.2085,0.1252
0.5,-1,0.1808,,121.9051,0.9347,0.2828,0.0002,0.0034,0.1772,0.1497,0.2079,0.1246
1,-1,0.1789,,120.4709,0.9335,0.286,0.0002,0.0034,0.1753,0.1451,0.2057,0.1242
1.5,-1,0.1779,,118.9721,0.9318,0.2905,0.0002,0.0035,0.1741,0.1339,0.206,0.1229
2.0,-1,0.1769,,117.339,0.9304,0.2912,0.0002,0.0037,0.173,0.1446,0.2036,0.1222
2.5,-1,0.1739,,115.4476,0.9284,0.2937,0.0002,0.0039,0.1698,0.1391,0.2014,0.1179
3.0,-1,0.1747,,113.7649,0.9267,0.297,0.0002,0.004,0.1705,0.1373,0.2025,0.1187
4.0,-1,0.1737,,110.6562,0.9234,0.2937,0.0002,0.0045,0.169,0.1329,0.204,0.1128
4.5,-1,0.1707,,108.8518,0.9219,0.2905,0.0002,0.0047,0.1658,0.1332,0.2018,0.1071
5.0,-1,0.1668,,106.4152,0.9206,0.2866,0.0002,0.0048,0.1618,0.1365,0.198,0.1009
5.5,-1,0.1651,,104.0572,0.9198,0.286,0.0004,0.0049,0.1598,0.1309,0.1981,0.0958
6.0,-1,0.1582,,100.9154,0.9189,0.2879,0.0,0.0049,0.1533,0.1235,0.1921,0.087
6.5,-1,0.153,,97.5288,0.9202,0.2763,0.0,0.0044,0.1486,0.1126,0.1877,0.0814
