alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.1925,,141.0273,0.9534,0.2143,0.0,0.0038,0.1887,0.1513,0.2207,0.1364
1.0,-1,0.1919,,139.1806,0.9511,0.2227,0.0,0.0036,0.1883,0.1522,0.2203,0.1353
2.0,-1,0.1884,,136.2903,0.9482,0.2298,0.0,0.0038,0.1846,0.1574,0.2178,0.127
3.0,-1,0.1864,,132.7359,0.9449,0.2434,0.0,0.0042,0.1822,0.1471,0.217,0.1244
4.0,-1,0.1841,,129.0744,0.9418,0.244,0.0,0.0045,0.1796,0.1401,0.2162,0.1197
5.0,-1,0.1785,,124.9413,0.9385,0.2479,0.0,0.005,0.1735,0.1406,0.2126,0.1078
6.0,-1,0.1704,,119.506,0.9362,0.2479,0.0,0.0056,0.1648,0.13,0.2058,0.0973
1.0,0,0.1878,,130.5686,0.9447,0.2447,0.0,0.0043,0.1835,0.1542,0.2176,0.1263
2.0,0,0.1787,,119.0379,0.9359,0.2647,0.0,0.0058,0.1729,0.1479,0.2075,0.1184
3.0,0,0.17,,106.8536,0.9265,0.275,0.0,0.0063,0.1637,0.1332,0.2034,0.1006
4.0,0,0.1426,,84.5401,0.9211,0.2711,0.0,0.0065,0.1361,0.1084,0.1744,0.0761
5.0,0,0.0741,,45.1555,0.9464,0.2124,0.0,0.0037,0.0705,0.0511,0.0957,0.0291
6.0,0,0.0216,,15.1099,0.9734,0.1214,0.0,0.002,0.0196,0.007,0.0282,0.0098
1.0,1,0.1836,,124.48,0.9412,0.2556,0.0,0.0052,0.1784,0.1413,0.2128,0.1258
2.0,1,0.1702,,105.547,0.9275,0.2802,0.0,0.0067,0.1634,0.1346,0.1959,0.1188
3.0,1,0.1493,,85.3137,0.9095,0.3021,0.0002,0.0073,0.1418,0.1286,0.1707,0.1042
4.0,1,0.1259,,74.3412,0.9012,0.317,0.0,0.0057,0.1202,0.1062,0.1439,0.0885
5.0,1,0.1178,,71.8435,0.9048,0.306,0.0,0.0053,0.1124,0.0848,0.136,0.0832
6.0,1,0.109,,69.6732,0.9077,0.3021,0.0,0.0055,0.1035,0.0702,0.127,0.0765
