,cohens_d
0,-1.2462621100115976
1,0.3150569543842072
2,-1.2307001651110205
3,-1.044451719729184
4,-1.5724832872652583
5,-1.8376067033062669
6,-1.5053093987343442
7,-1.0541102910464692
8,-1.3369142454932406
9,-1.6838645987164205
10,-1.5098939236892863
11,-0.8123178455452303
12,-1.534810637815591
13,-1.6203853099142917
14,-1.7857297400181107
15,-1.6147290852975067
16,-1.755148729155059
17,-0.91261178987455
18,-1.8556115147946866
19,-1.5071027281674354
20,-0.8144403997233313
21,-1.1266610320460557
22,0.5355426827306197
23,-1.6254756743039804
24,-1.557938256494981
25,-1.8414696858168313
26,-0.9113566866145969
27,-1.2001874333552747
28,-1.9098911719567284
29,-1.2763038489787957
30,-1.6140722560236378
31,-1.2096477807054864
32,-1.3363904529608883
33,-1.4657465993848198
34,-1.7181659672207465
35,-1.8129861731532697
36,-1.304915218390171
37,-0.9773856532817669
38,-1.2827077323519918
39,-1.1374728195151982
40,1.1907311256455286
41,-1.3876062823271769
42,-1.3768289494581025
43,-1.1603761360729705
44,-1.82387811282675
45,-1.3548008504051496
46,-1.136831099976784
47,-1.334206838110569
48,-1.467353183559026
49,-1.9987622071564504
50,-1.2351937596815965
51,-1.2506509674008095
52,0.10732399265294562
53,-1.4645239172761682
54,-1.6343043802384514
55,-1.7477493423388537
56,-1.1960157644693294
57,-1.6708372761606483
58,-1.2265299885401593
59,-1.1904895314613566
60,-1.5748566051555979
61,-1.3905605359774582
62,-1.6708493840469598
63,-1.2783927825427979
64,-0.7374924914118925
65,-0.05795528405481671
66,-1.492094473631535
67,-1.3478110772700778
68,-1.420197837032427
69,-1.6606051564506024
70,-1.150980624358369
71,-1.6476065926923564
72,-1.2053194276907384
73,-0.08711508035432508
74,-1.0056998421732823
75,-1.2486154645256513
76,-1.0760912806829788
77,-1.8044068463955893
78,-1.504423287406757
79,-1.9644153740332617
80,-1.6913097529132497
81,-1.3723192019873978
82,-1.4068005925863436
83,-1.2642215154632708
84,-1.4411859772988431
85,-1.8551025620150952
86,-0.07473099252652889
87,-1.0956420210404396
88,0.559762523140533
89,-1.60076192122107
90,-1.8159062225127967
91,-1.5738141058640864
92,-1.8986288151016142
93,-1.617187588843562
94,-2.0705269381211773
95,-1.8264087940564744
96,-1.5937185212487468
97,-1.6966098676327028
98,-1.3576847148628537
99,-1.7030861092418517
100,-0.9873364606863263
101,-1.106639073283281
102,-1.375504007668232
103,-1.4837089991837853
104,-1.5435907764675654
105,-1.2853530734255338
106,-1.1962637357618362
107,-1.304861869370465
108,-1.0953382163627334
109,-1.6148574116633194
110,-1.687476862326687
111,-1.5929989128779425
112,-0.008818795211914362
113,-1.0840924134903942
114,-1.0800522551887792
115,-1.591202201750124
116,-0.35872182150300436
117,-1.8602608305268524
118,0.7112654304504996
119,-1.4399004125245536
120,-1.6716692001204845
121,0.4327221869273717
122,-1.025387761621614
123,-0.9824365197365227
124,-0.41124030157739727
125,-1.6517518489579361
126,-0.6049215364041334
127,0.29595805830886895
128,-1.6562082257519866
129,-1.7058942672342923
130,-1.6735613655914128
131,-1.610642181277689
132,-1.3196900122666173
133,-1.2065410096269842
134,-1.5531228357726483
135,-1.456257877813073
136,0.10625567286082681
137,-1.783804580837822
138,-1.599888925358462
139,-1.2844186647898068
140,-1.3590882410374145
141,-1.7067600018003108
142,-1.4535620282072432
143,-1.3732392037569388
144,-1.134364073428643
145,-1.7951617978139462
146,-1.6762367384203825
147,-1.7858260034796118
148,-1.4829623778399528
149,-1.722388489565767
150,-1.5341771817323868
151,-1.7611770056546565
152,-1.1854261453299297
153,-1.3050172020492286
154,-1.6469010733801495
155,-1.8342179410568782
156,-1.7445735557134179
157,-1.012063007583024
158,-1.1808381146536702
159,-1.4029520995956235
160,-0.8966058191856541
161,1.1000049960119471
162,-0.9884704171238284
163,-1.2768616023863733
164,-0.6234970433889631
165,-1.7774805732802772
166,-0.4908794705661812
167,-1.6103016553668021
168,-1.882879308458562
169,-1.5207134126000752
170,1.0664932622476244
171,-1.6000929851495136
172,-1.8962275219335596
173,-1.3253387734996476
174,-1.780016255097223
175,-1.1296055714839621
176,-1.885631513240204
177,-0.8972961582238118
178,-1.4873617054060198
179,-1.6621945713764923
180,-1.3565826677126402
181,-1.5768119433918215
182,-1.7303791119874852
183,-1.498503919696402
184,-1.1608461012562825
185,-1.3185764777251157
186,-1.5921856427297318
187,-0.9738818813127574
188,-1.8357960719753692
189,-1.1701179083809035
190,-1.5696630948236596
191,-1.3944435457411886
192,0.16158811349984525
193,-1.1725740619509062
194,-2.2408285194850865
195,-1.2197157414266449
196,-1.2634062578887164
197,-1.586902344731298
198,-2.090825421342982
199,-2.1679563769069716
200,0.7335560729468952
201,-1.1957001132315954
202,-1.2427973481309198
203,-1.7898289111535568
204,-1.6796055144214188
205,-1.4163682219108833
206,-1.4384990169133511
207,-1.4057647517519394
208,-1.3732761763986974
209,-1.5032489697307252
210,-1.4797229075329092
211,-1.3276297742207226
212,-1.4167297446501408
213,-1.2726588047235574
214,-2.099080526094994
215,-1.2579255876351287
216,-1.9149946795360537
217,-2.3607288492255205
218,-1.553448562267796
219,0.4838420376882321
220,0.002036095997042195
221,-1.4506164704540743
222,-1.289124179339536
223,-1.6165108837921716
224,0.25350808356117954
225,0.10022406165573469
226,-1.503020328337486
227,-1.1759560771362307
228,-1.2694540415182671
229,-1.4571692898305386
230,-1.5223172579490754
231,-1.2671805873983846
232,-1.3423066706141236
233,-0.9120856446707881
234,-1.9557139586310943
235,-0.8331381896453998
236,-1.5280424648643587
237,-1.2981523570381215
238,-1.21961171393536
239,-1.149934413687869
240,-2.1175180928986377
241,-1.7582988576334744
242,0.7108844793352659
243,-1.7331738854519074
244,0.8379985273546656
245,0.3233295433936881
246,-1.4044985723694743
247,-1.470159804990376
248,-1.5207786046166707
249,-1.511247924270363
250,-1.6958774540905066
251,-1.3683881538246814
252,-0.9765381487889142
253,-1.2060954016056866
254,-1.890888109863455
255,-1.0347107549013177
256,1.06678418710269
257,-0.4914442095385558
258,-1.7825461125257835
259,-1.1645299374439675
260,-1.3919406761141102
261,-1.7715724421820334
262,-1.6665985196109734
263,-1.0577871957611464
264,-1.1796973338217307
265,-1.4228665274401013
266,-1.3221887478204224
267,-1.3802321643381177
268,0.10618041203199675
269,-1.6779817400150483
270,-1.323448065181222
271,-1.021812425350524
272,-1.7330536031934467
273,-1.4835302587299901
274,-1.6649987857864765
275,-1.6115414120885385
276,-0.9864320467343481
277,-1.3568483915465517
278,-0.49005378416218015
279,-1.9495689017529725
280,-1.5345724324173222
281,-1.0964003186204814
282,-1.5550319198718092
283,-1.4327987108984417
284,0.037870035962805325
285,-1.2858926773105033
286,-1.4985980912924561
287,-1.9119381471902686
288,-1.5508818718716868
289,-1.2620327700151273
290,-1.5222230009701183
291,0.40676079142595406
292,-1.8437075428675396
293,-1.7873334849732625
294,-1.8501266006661838
295,-1.3825532284812907
296,-1.6788924116776087
297,-1.5387046945342804
298,-1.7953429338144125
299,-0.9770729748298812
300,-1.2487195897515733
301,-1.9271222583295489
302,-1.6373173273814947
303,-1.6488932340028908
304,-1.675791573449047
305,-1.7912276540996226
306,-0.872634223224671
307,-1.8345444360773298
308,-0.5355665477979287
309,-1.4782127107246457
310,-1.787836977095711
311,-1.3933305399924913
312,0.5804061592989946
313,-1.345922999230071
314,-1.4575487968607626
315,-1.8357913612615333
316,-1.3592479631817274
317,-1.676683538193792
318,-1.0472179663622325
319,-1.7014345210720592
320,-0.8796165980939363
321,-1.3633134729371912
322,-1.7771811666303179
323,-1.4817502881268292
324,-1.4590151688885733
325,-1.8429705182032945
326,-1.0938650229262339
327,-1.223608310368374
328,-1.1804550759893058
329,-1.2260797061552058
330,-1.1853635668606568
331,0.4564859328789468
332,-0.45079094455502805
333,-1.3371347498960933
334,-1.7775602729339848
335,-1.165455861661637
336,-1.002265226298713
337,-1.526957613074189
338,-1.2941907442500036
339,-0.26424469981322496
340,-1.1607977745480553
341,-1.6993873568841813
342,-1.8430278684338182
343,-1.6864691648400474
344,-1.5385913885825355
345,-1.004289981532688
346,-1.7716239351502918
347,-1.5924489563107376
348,-1.8812108177087026
349,-1.594679721920556
350,-1.574370412084886
351,-1.7946455556678405
352,-1.1601320396519128
353,-1.6443405377865916
354,-1.005683123726683
355,-1.2985066871044117
356,-1.1066221834983874
357,-1.5632061563060633
358,-0.6691568729327325
359,-1.005203105743284
360,-1.0619340970296895
361,-0.8549345025283
362,-1.634274386461272
363,-1.613755604477831
364,-1.272963760870511
365,-1.4176810470512151
366,-1.885836523595091
367,-1.2262639461676221
368,-1.436084258593152
369,-1.2026938303319263
370,-1.8890500107210566
371,-1.3917573000211534
372,-2.0242484550219073
373,-1.471641112125225
374,-1.7502021222418143
375,-1.5027002896585475
376,0.35254711580821996
377,-1.4462170919113413
378,-1.2271827342622676
379,-0.6219717863024495
380,-1.4712565769733454
381,-2.1062204398759734
382,-1.3888260843657758
383,-1.422985928255201
384,0.7225349526058236
385,-1.65559689280437
386,-1.3189851243908204
387,-1.3881636304941276
388,-1.392409775060509
389,-1.4974231336812425
390,-1.911421356198702
391,-1.844349980701136
392,-1.4992629921189775
393,-1.2727725572462278
394,-1.7190829821089066
395,-0.305608790597655
396,-1.9510846982347607
397,-1.736135565621256
398,-2.1700864194523413
399,-1.3460126538420787
400,-1.5961690320644883
401,-1.5175796552735317
402,-1.27492270541287
403,-1.2458193721633053
404,-1.4188740579306196
405,-0.17504813257750976
406,-1.7882978434167975
407,-1.634660435390051
408,-1.856731704532618
409,-0.5660353976105009
410,-1.3546981706216736
411,-1.5207704448203492
412,-1.770445689642422
413,-1.2536976691908575
414,-1.4465729794555533
415,-1.5871520961607384
416,-1.1699921014250005
417,-0.6920910836800255
418,-1.5885041595729337
419,-1.612708005446755
420,-1.4005963908914032
421,-1.5636845021548627
422,-1.4417043947347867
423,0.3686409889501401
424,-1.1759229789985024
425,-1.7558914624714512
426,-1.333035485194967
427,-1.7636155747219613
428,-1.583618061112221
429,-1.590418699396638
430,-1.5490829139449231
431,-1.7426780380780658
432,-1.0948701017511093
433,-2.0690411710758885
434,-1.5551511772694908
435,-1.1561819484301252
436,-1.205351337887184
437,-1.3722491825421292
438,-1.544752318671549
439,-1.4028658368228666
440,-1.3461350420632647
441,-1.299693299577711
442,-1.9035390335669644
443,-1.7877987428353903
444,-2.1530066734450335
445,-1.393962355781987
446,-1.2883933168879222
447,-1.699758499419628
448,-0.8879771165382936
449,-1.1394658239733975
450,-1.1165237922937243
451,-1.4158528617281823
452,-1.7821271099239517
453,-1.377867959250269
454,-1.5506647269873182
455,-1.4407299258737887
456,-1.0248718980445095
457,-1.415465798838238
458,-1.5947807195809693
459,0.16076068744461364
460,-1.0474391476925529
461,0.4914722297239192
462,-0.2661985743253714
463,-0.31351285820516167
464,-1.4862388476404356
465,-1.8371871553128591
466,-1.1836536024784232
467,-0.7925753073788399
468,-1.227236005638798
469,0.23146910584268113
470,-1.7044692213005674
471,-1.5859863307774393
472,-1.7335630837800688
473,-1.3346956410870499
474,-1.7781677656919637
475,-1.5757252329622398
