,mean,sd
0,-1.41277,0.15200709
1,-0.14015591,0.3967483
2,-1.3138945,0.2821496
3,-1.508009,0.30752063
4,-2.0065305,0.30391625
5,-2.002078,0.30831
6,-1.7196022,0.2670317
7,-1.3952458,0.2023266
8,-1.6501044,0.32339117
9,-1.9360933,0.34744033
10,-1.7482402,0.2952814
11,-1.4837568,0.25234768
12,-1.786178,0.32249492
13,-1.8036568,0.33575892
14,-1.856377,0.33074912
15,-1.9115754,0.34735367
16,-1.6151974,0.299991
17,-1.3650794,0.19192024
18,-1.9611486,0.33232945
19,-1.8674785,0.37338072
20,-0.30417222,0.5231045
21,-1.6841294,0.33168924
22,-0.25965863,0.230945
23,-2.015021,0.36081925
24,-1.653768,0.289636
25,-1.5189598,0.3086221
26,-2.0032575,0.3642961
27,-1.7054195,0.3129488
28,-1.8607718,0.3085021
29,-1.71848,0.28077066
30,-2.0075707,0.38107884
31,-1.3187733,0.23403092
32,-1.5340886,0.2769352
33,-1.7820101,0.2656617
34,-2.0723429,0.35948426
35,-1.8191658,0.2718256
36,-1.5573397,0.2805293
37,-1.4957802,0.1812588
38,-1.4467447,0.23312312
39,-1.7477552,0.39175618
40,-0.3674322,0.3418793
41,-1.8728188,0.31157705
42,-1.8329134,0.31781468
43,-1.605942,0.28059268
44,-1.8680723,0.3605831
45,-1.7624463,0.3869419
46,-1.5138737,0.29426715
47,-2.248133,0.36767152
48,-1.5337713,0.25514704
49,-1.8352677,0.31867698
50,-1.7096645,0.38403672
51,-1.5929381,0.31709805
52,-0.39680147,0.37642795
53,-1.3665149,0.2714215
54,-1.6579622,0.2863682
55,-1.7282608,0.30425504
56,-1.5624701,0.27055696
57,-1.863025,0.3062692
58,-1.495803,0.21609244
59,-1.3612522,0.25349396
60,-1.6556433,0.33134332
61,-1.7766529,0.33063272
62,-1.739879,0.33037895
63,-1.5697653,0.2942566
64,-1.2769763,0.30513096
65,-1.1100174,0.1516915
66,-1.5996469,0.278524
67,-1.5666977,0.3242607
68,-1.4985632,0.24670413
69,-1.5966552,0.26404387
70,-1.6014977,0.27852067
71,-1.3683144,0.24980673
72,-1.7431259,0.30704367
73,-0.48555788,0.5889965
74,-1.4901049,0.32485458
75,-1.4746426,0.28694752
76,-1.4927963,0.25617576
77,-2.123473,0.41820246
78,-1.7161903,0.3176371
79,-1.9605638,0.32427213
80,-1.5077368,0.19474739
81,-1.9731623,0.377124
82,-1.8791344,0.30569384
83,-1.8204184,0.31044295
84,-1.7071989,0.3839273
85,-1.9465603,0.3258978
86,-0.15235113,0.355272
87,-1.3172257,0.19939369
88,-0.18036963,0.24390835
89,-1.5216819,0.27930638
90,-1.6080052,0.2628634
91,-1.9511375,0.33834127
92,-1.5420457,0.2701038
93,-1.8346415,0.30604914
