,mean,sd
0,-1.1748772,0.22308753
1,-0.27015412,0.42789978
2,-0.99414265,0.23536599
3,-1.2024788,0.2767219
4,-1.5238632,0.30994594
5,-1.440291,0.30310115
6,-1.3154943,0.26987088
7,-1.1630242,0.2369157
8,-1.251512,0.27055007
9,-1.3777763,0.31489837
10,-1.332994,0.2531351
11,-1.2648562,0.28557986
12,-1.3316811,0.26716644
13,-1.3097947,0.27027476
14,-1.3149749,0.2728449
15,-1.382461,0.30674708
16,-1.143635,0.23318785
17,-1.1624097,0.24860135
18,-1.3848206,0.2872023
19,-1.3533092,0.30556944
20,0.15084116,0.59212613
21,-1.3294609,0.29694346
22,-0.3899463,0.25502208
23,-1.4803545,0.2935956
24,-1.2373132,0.24294414
25,-1.0287503,0.21559967
26,-1.659951,0.38870496
27,-1.3483025,0.2813117
28,-1.3050429,0.27232027
29,-1.335518,0.31817362
30,-1.454775,0.29894984
31,-1.051223,0.20753556
32,-1.1858698,0.24309847
33,-1.3730662,0.29172987
34,-1.50309,0.30051515
35,-1.3315839,0.2660202
36,-1.2155157,0.24195059
37,-1.2827057,0.24939366
38,-1.1395091,0.24575262
39,-1.328732,0.3434181
40,-0.78667283,0.36200646
41,-1.4397311,0.31264478
42,-1.4124937,0.29236192
43,-1.2805312,0.28027847
44,-1.2941628,0.26078188
45,-1.2882079,0.3087653
46,-1.2201507,0.21660312
47,-1.7733918,0.34356567
48,-1.1463957,0.27255812
49,-1.2646614,0.24787588
50,-1.2881311,0.29230964
51,-1.2321317,0.2567244
52,-0.43841097,0.39865324
53,-0.9949477,0.23466969
54,-1.2173266,0.25175282
55,-1.2400132,0.252013
56,-1.2420406,0.26524493
57,-1.3784529,0.2727994
58,-1.1880625,0.28144103
59,-1.0729892,0.23022301
60,-1.1855751,0.26152632
61,-1.3372514,0.30063233
62,-1.2308998,0.27647808
63,-1.2151817,0.25937933
64,-1.0712365,0.25009182
65,-1.0998069,0.19765556
66,-1.1943872,0.26450422
67,-1.1636095,0.27154973
68,-1.1611272,0.22812843
69,-1.1739473,0.24468912
70,-1.2863759,0.26896697
71,-0.9748961,0.22722235
72,-1.3808271,0.29398084
73,-0.4376048,0.50900716
74,-1.1716962,0.3081328
75,-1.1472976,0.23478404
76,-1.2164755,0.25738668
77,-1.4286234,0.34883702
78,-1.2648962,0.28121245
79,-1.3637725,0.28184685
80,-1.1459993,0.23143649
81,-1.5029006,0.30435508
82,-1.4601914,0.2896879
83,-1.440922,0.28955743
84,-1.2194408,0.28580767
85,-1.3824847,0.28054267
86,-0.124268845,0.39522204
87,-1.0946999,0.2067415
88,-0.32692412,0.27857387
89,-1.0934844,0.25513962
