,mean,sd
0,-1.672566,0.30852723
1,-1.5586656,0.32404327
2,-2.293421,0.33104718
3,-1.2717026,0.3444887
4,-1.4609408,0.23799504
5,-1.7873,0.31102842
6,-0.9325028,0.15934306
7,-1.486745,0.24466465
8,-1.4178337,0.28544572
9,-1.4898262,0.2700568
10,-1.7017027,0.36705363
11,-1.8149898,0.33617383
12,-1.6956345,0.2740423
13,-1.268174,0.20863003
14,-1.0842766,0.22394007
15,-1.3283856,0.29744288
16,-1.1344451,0.2734904
17,-1.6983323,0.34497303
18,-1.248261,0.23144019
19,-1.824639,0.39241877
20,-1.7351577,0.26418263
21,-1.1507907,0.18334268
22,-1.1238146,0.26362547
23,-1.2996945,0.29760897
24,-2.2054474,0.3196151
25,-1.5385402,0.27625614
26,-1.6439291,0.29092973
27,-2.096259,0.39600614
28,-1.2770332,0.24865103
29,-1.5667098,0.24864271
30,-1.2976526,0.20783916
31,-1.0908861,0.16031691
32,-1.8431453,0.29363224
33,-1.563379,0.305889
34,-1.5361168,0.26876348
35,-1.5537856,0.24064897
36,-1.4861981,0.29948068
37,-1.4130669,0.22334802
38,-1.648323,0.30973333
39,-0.90864205,0.16964528
40,-1.5663658,0.2846809
41,-1.7011462,0.3251795
42,-1.9389076,0.30393884
43,-1.2286718,0.22319947
44,-1.3626599,0.23854369
45,-1.9287629,0.31275046
46,-1.5875413,0.2994508
47,-1.8120625,0.3189686
48,-2.2119596,0.36178738
49,-2.3123438,0.4293408
50,-1.690205,0.2612425
51,-1.2256067,0.26866713
52,-0.87664396,0.14838287
53,-1.8925165,0.2684718
54,-1.9251661,0.2802931
55,-1.7487401,0.3236889
56,-1.5878388,0.3452554
57,-1.7361926,0.42350537
58,-1.0207309,0.19563225
59,-1.5644486,0.2529105
60,-1.2224115,0.23763722
61,-1.4052396,0.21766499
62,-1.8494722,0.27756357
63,-1.5895442,0.2509932
64,-1.4600848,0.22986335
65,-1.5212471,0.28250793
66,-1.8053342,0.34508944
67,-1.642739,0.26638535
68,-1.2119918,0.22683387
69,-1.702142,0.45611894
70,-1.5333005,0.25312933
71,-1.9699353,0.3580543
72,-1.5840646,0.3360395
73,-1.8671899,0.33664697
74,-1.9624579,0.3078025
75,-1.300215,0.22726348
76,-1.1746123,0.29363242
77,-1.5494574,0.24965675
78,-1.7466549,0.26406494
79,-2.022732,0.35377884
80,-1.4761664,0.24043792
81,-1.9720485,0.32646957
82,-1.1796931,0.2659402
83,-1.9746156,0.32374254
84,-1.9583777,0.3372118
85,-1.7895284,0.30229074
86,-1.5278151,0.27323225
87,-1.6960204,0.31187904
88,-1.9943973,0.33499023
89,-1.972362,0.3709959
90,-2.0498662,0.33448264
91,-1.0176758,0.15027295
92,-1.9627922,0.35077298
93,-1.2658845,0.22246635
94,-1.720476,0.24684928
95,-1.9012876,0.35445714
96,-1.6295023,0.34445757
97,-1.7832278,0.32239485
98,-1.622862,0.36906722
99,-1.9042354,0.35947016
100,-2.061062,0.3843484
101,-1.4774987,0.277309
102,-1.6137804,0.24005942
103,-1.2613873,0.34748003
104,-1.6869149,0.25268567
105,-1.3816824,0.26449618
106,-1.4818769,0.23547277
107,-1.5560275,0.2582479
108,-1.2865627,0.19628835
109,-1.6882014,0.36139104
110,-2.0300388,0.29185638
111,-2.0488565,0.4114601
112,-0.043409165,0.25424442
113,-1.6737146,0.310298
114,-2.2235596,0.31956017
115,-1.7252496,0.29718566
116,-1.2530084,0.21375556
117,-1.8668315,0.37273717
118,-1.6301705,0.29128432
119,-1.8399762,0.33926165
120,-1.6837926,0.21059148
121,-1.8424453,0.3050825
122,-1.6978934,0.33654514
123,-1.4997301,0.26108456
124,-1.444603,0.28417724
125,-0.2582721,0.46880287
126,-1.7783092,0.3318077
127,-1.6358583,0.3467595
128,-1.059443,0.2414012
129,-1.5759312,0.2585934
130,-1.6139023,0.27874395
131,-1.5290837,0.25397554
132,-1.7125875,0.30961087
133,-1.3454967,0.19553815
134,-2.173672,0.3188312
135,-1.194938,0.2468563
136,-1.4280457,0.28223065
137,-1.8307271,0.29138574
138,-1.1683007,0.2041257
139,-1.2138311,0.24452548
140,-2.1488128,0.40103608
141,-1.2241795,0.21759097
142,-0.9124339,0.18493931
143,-1.6122665,0.35093758
144,-0.95728934,0.22732386
145,-1.7767725,0.27093157
146,-2.0765207,0.321058
147,-1.9568222,0.30080637
148,-1.2586331,0.23212841
149,-2.2770364,0.4072954
150,-1.6703987,0.29996267
151,-1.3089565,0.2863125
152,-1.4992218,0.25552523
153,-1.5155993,0.24832068
154,-1.3281354,0.21440853
155,-1.4438466,0.31883782
156,-1.6441138,0.35042688
157,-1.3534182,0.25713295
158,-1.853973,0.26930943
159,-1.6395335,0.2575765
160,-1.6548009,0.29052398
161,-1.3635798,0.24996832
162,-1.2530224,0.21652758
163,-1.4839221,0.23195034
164,-1.4778136,0.27212575
165,-1.2262771,0.2106002
166,-1.6464357,0.23539357
167,-1.8732382,0.2965384
168,-1.5620987,0.22538495
169,-1.5222528,0.3210323
170,-1.5108898,0.2570359
171,-1.3794158,0.248741
172,-1.762872,0.26305464
173,-1.2593364,0.23960452
174,-1.8524733,0.28139725
175,-1.4907618,0.26035872
176,-1.2233897,0.34314078
177,-1.561402,0.34701362
178,-1.3440121,0.21235849
179,-1.5691788,0.3433581
180,-1.8531163,0.2797969
181,-0.8462358,0.2979826
182,-1.6869934,0.373142
183,-0.049452595,0.56592065
184,-1.1823947,0.18556364
185,-1.2547793,0.20551322
186,-1.0104978,0.14250109
187,-1.9028696,0.31330588
188,-1.6665468,0.28346214
189,-1.2089113,0.24823058
190,-1.0838411,0.23616977
191,-1.4447628,0.25814906
192,-1.5599701,0.28408137
193,-1.7459831,0.31734842
194,-1.5356858,0.27977094
195,-1.1216195,0.19796866
196,-1.2441452,0.20970784
197,-1.521627,0.31659794
198,-1.1091485,0.22151114
199,-2.1301544,0.31771848
200,-1.6456895,0.32291654
201,-1.9463097,0.30904683
202,-1.1354415,0.24258591
203,-2.0474205,0.3380215
204,-0.9374409,0.2589933
205,-1.3220104,0.23265432
206,-1.7049856,0.29923174
207,-2.1193674,0.34603435
208,-1.391357,0.26157174
209,-1.7806978,0.35592666
210,-1.5570204,0.23846297
211,-1.6840181,0.32540345
212,-1.6260524,0.28877178
213,-1.1902189,0.1923635
214,-1.9561319,0.40045562
215,-1.517627,0.26137948
216,-1.4816084,0.289715
217,-1.0804191,0.20826404
218,-1.6221232,0.3302059
219,-1.1635598,0.18665822
220,-1.4553105,0.2310024
221,-1.8631009,0.34212065
222,-1.4657978,0.27078137
223,-1.3073124,0.20422332
224,-1.7951032,0.32219988
225,-1.6636558,0.33959243
226,-0.73503995,0.14190932
227,-2.049658,0.3036811
228,-2.1183758,0.3631352
229,-1.6183625,0.3286043
230,-1.0501981,0.18574634
231,-1.6823773,0.2814531
232,-1.505363,0.2854894
233,-2.2067573,0.38612595
234,-1.3584079,0.24297373
235,-1.9075534,0.3814991
236,-1.1659154,0.22850391
237,-1.9079033,0.33757883
238,-1.8332322,0.3514303
239,-1.1197867,0.23724306
240,-1.5708903,0.31249526
241,-1.3738425,0.27423534
242,-1.5640423,0.25348923
243,-2.2908127,0.29260376
244,-1.4447893,0.32837895
245,-2.0271232,0.31387398
246,-2.012827,0.30348888
247,-1.6814395,0.34367436
248,-1.7390724,0.25233975
249,-1.4535189,0.25963068
250,-2.0977411,0.45337185
251,-1.7916305,0.33399144
252,-1.6807151,0.3918804
253,-1.1607765,0.2471454
254,-1.471825,0.25870463
255,-2.0691576,0.45104286
256,-2.3672132,0.34325874
257,-1.9632869,0.30555275
258,-1.1008582,0.199138
259,-1.9514638,0.37822494
260,-1.1814549,0.27045518
261,-1.7020984,0.35149822
262,-1.6900237,0.25832954
263,-1.4401685,0.26142386
264,-1.4287398,0.3256907
265,-0.9807137,0.19954938
266,-1.497683,0.25804693
267,-1.5433795,0.3062902
268,-1.7341146,0.32443053
269,-1.3503691,0.21545348
270,-1.8314202,0.28926867
271,-1.7129309,0.31139657
272,-1.6185133,0.26229367
273,-1.0168036,0.19370106
274,-1.7124008,0.31703585
275,-1.126359,0.22301835
276,-1.7906902,0.33330464
277,-1.2880576,0.221518
278,-1.7029898,0.29207477
279,-2.1377182,0.35782096
280,-1.0528141,0.201323
281,-1.5663075,0.25308177
282,-2.1615188,0.3415316
283,-1.8228034,0.3120246
284,-1.6077206,0.2651517
285,-1.604122,0.2571206
286,-1.7922668,0.2926293
287,-1.5698335,0.27679667
288,-1.4565365,0.24185507
289,-1.0221033,0.2750138
290,-1.7347114,0.35938722
291,-1.8992348,0.34316745
292,-1.6125247,0.35207996
293,-1.4363661,0.3865521
294,-1.2208856,0.19919494
295,-1.5155237,0.28030136
296,-1.7565911,0.306469
297,-1.316762,0.23884867
298,-1.6468054,0.30373934
299,-1.2410493,0.2498541
300,-1.6975377,0.24986756
301,-1.2754061,0.19438824
302,-1.4677643,0.2277989
303,-1.1776596,0.18150215
304,-1.1409998,0.23351999
305,-1.1574799,0.17700848
306,-2.00875,0.35919225
307,-1.5610528,0.34910825
308,-2.1236753,0.28647476
309,-1.6858476,0.26721993
310,-1.7789192,0.37660435
311,-2.4339306,0.3758016
312,-1.9073964,0.29234657
313,-1.5216106,0.27534732
314,-1.9082458,0.22512636
315,-0.7822874,0.1661157
316,-1.5617915,0.27955
317,-1.5365891,0.276971
318,-1.2573148,0.2034584
319,-1.5092642,0.25626516
320,-1.3975369,0.22087775
321,-2.012662,0.37988368
322,-1.0785775,0.21748942
323,-1.1485554,0.24284418
324,-2.2061472,0.3819915
325,-1.6126903,0.33002356
326,-1.6902955,0.2673675
327,-2.2361999,0.32450894
328,-1.8747333,0.33134782
329,-1.9282455,0.30826247
330,-1.4118774,0.2313138
331,-1.6571519,0.37884572
332,-1.5496827,0.2243629
333,-1.4771577,0.2956335
334,-1.3922986,0.23527703
335,-1.2148161,0.32426745
336,-1.0635571,0.2134358
337,-1.0607642,0.18540305
338,-1.4683396,0.27125874
339,-1.2026734,0.23797071
340,-1.8790383,0.26188254
341,-1.4354122,0.2680398
342,-1.8801347,0.24045567
343,-1.2387569,0.2712887
344,-1.97166,0.30172807
345,-1.198373,0.22081904
346,-1.3380498,0.2703383
347,-1.5323561,0.3023183
348,-1.8703384,0.33178616
349,-0.04694029,0.86531746
350,-1.4821715,0.27207485
351,-1.3296219,0.28317896
352,-1.0080962,0.20438577
353,-2.0179641,0.32798815
354,-1.0984911,0.19243519
355,-1.5964177,0.2108557
356,-1.8827138,0.2876505
357,-1.1148411,0.24516605
358,-1.4213715,0.29522192
359,-1.4241579,0.23090382
360,-1.5095367,0.31544176
361,-1.5972142,0.31141013
362,-1.5075587,0.3031585
363,-1.7949858,0.35752016
364,-2.1092942,0.37270924
365,-1.074413,0.19656159
366,-1.6624736,0.29142696
367,-1.6871372,0.30379063
368,-1.8295729,0.26452303
369,-1.7119259,0.20949747
370,-1.7275658,0.31300685
371,-1.4680208,0.32861707
372,-1.4100379,0.20645946
373,-1.0147948,0.19988771
374,-1.6137223,0.26014534
375,-1.2118831,0.2137128
376,-1.2878232,0.27346936
377,-1.7490314,0.27359
378,-1.2671015,0.2235583
379,-1.2487084,0.2553488
380,-1.0619287,0.25034404
381,-1.3294234,0.30280194
382,-1.3739792,0.21408732
383,-1.8133569,0.31467584
384,-1.457394,0.24241015
385,-1.4329547,0.42362633
386,-1.2893375,0.18171951
387,-1.9695969,0.2921366
388,-1.8071306,0.30190673
389,-1.8568048,0.29083574
390,-2.0447,0.22793907
391,-1.366473,0.2628895
392,-1.6719311,0.27951896
393,-1.7867967,0.2802176
394,-1.5030347,0.2839412
395,-1.7842815,0.36562937
396,-1.870332,0.262075
397,-1.8810345,0.2494724
398,-1.2597586,0.26845276
399,-1.7885901,0.33853462
400,-1.4191705,0.2895569
401,-1.3922338,0.282848
402,0.092160664,1.1323364
403,-0.0138233565,0.42692372
404,-2.0469174,0.33330482
405,-1.4147869,0.29107544
406,-1.2914398,0.24966533
407,-1.8261333,0.30608857
408,-1.624032,0.28671038
409,-1.7176263,0.40685844
410,-1.9632422,0.31883165
411,-1.0539963,0.23985794
412,-1.4678181,0.24943353
413,-1.7262226,0.27003065
414,-2.0855374,0.28480163
415,-1.4765556,0.28476587
416,-1.1782893,0.22967826
417,-1.0127679,0.17551555
418,-1.8314338,0.28114665
419,-1.74695,0.25830457
420,-1.8021743,0.25537756
421,-1.7679197,0.43620196
422,-1.7489887,0.32092366
423,-1.0244237,0.19564854
424,-2.1186721,0.34969953
425,-1.7590168,0.36752725
426,-1.4536548,0.3160936
427,-1.1072812,0.20925806
428,-1.5210929,0.37455773
429,-1.6451042,0.31694308
430,-1.2901324,0.20352247
431,-1.1673928,0.22363228
432,-1.2701634,0.24735205
433,-1.4853578,0.30039808
434,-1.1072288,0.2266681
435,-1.3536463,0.25049332
436,-1.4299983,0.24332719
437,-2.2845936,0.38297042
438,-1.7073843,0.29401383
439,-1.4969187,0.27575448
440,-1.0516492,0.17050327
441,-1.5247463,0.30414248
442,-1.075239,0.19893725
443,-1.7599705,0.35385203
444,-1.2277577,0.2205117
445,-2.130971,0.30947262
446,-1.323354,0.24407656
447,-1.6836183,0.2556806
448,-1.7093337,0.32223722
449,-1.5523793,0.24129073
450,-1.2607495,0.29157162
451,-1.5814322,0.30113706
452,-2.4837008,0.33498856
453,-1.3302869,0.21834594
454,-1.4787703,0.27472433
455,-2.1554697,0.37973097
456,-1.3657187,0.21351558
457,-1.0222318,0.1838812
458,-1.8032405,0.37728488
459,-1.5036893,0.28012207
460,-1.3318841,0.23643786
461,-1.3415529,0.27298185
462,-1.3690796,0.23530935
463,-1.7093832,0.28176972
464,-1.5610726,0.29968375
465,-1.7275491,0.29657203
466,-1.2129469,0.23909914
467,-1.4058597,0.28081432
468,-1.3704414,0.2777106
469,-1.6631159,0.30437255
470,-1.892826,0.34235552
471,-0.49607512,0.96759063
472,-0.93932605,0.17065965
473,-1.2894893,0.25455487
474,-1.981668,0.3279405
475,-2.376287,0.2883999
476,-1.1032019,0.22442454
477,-1.9164424,0.27051815
478,-1.40257,0.44196835
479,-1.4142869,0.24549724
480,-1.8153421,0.38615698
481,-1.1308862,0.18508491
482,-1.4133861,0.24514371
483,-1.6761612,0.33260554
484,-1.55658,0.26263696
485,-1.8393035,0.36779878
486,-2.0572028,0.34825996
487,-1.328847,0.22739983
488,-1.7271667,0.29731694
489,-2.0993109,0.30226156
490,-1.6924255,0.2807686
491,-1.4123114,0.21528108
492,-1.9086392,0.28074482
493,-2.0879235,0.3302134
494,-1.564363,0.28609434
495,-1.2642848,0.21618472
496,-1.5006773,0.27958292
497,-0.9902224,0.205905
498,-1.5630364,0.2849312
499,-1.6972003,0.3214273
500,-2.0044806,0.37693086
501,-1.9283115,0.29528037
502,-1.1823225,0.19089721
503,-1.9846704,0.2894715
504,-1.3716279,0.27380648
505,-2.143342,0.29661116
506,-1.9417338,0.38929698
507,-1.9801484,0.2964242
508,-1.6160045,0.32997614
509,-1.4606719,0.27386436
510,-2.0140932,0.3134959
511,-1.4476025,0.25992376
512,-1.0867137,0.17361677
513,-1.7709767,0.30972216
514,-1.6349359,0.2846132
515,-2.1973357,0.34733292
516,-1.2859589,0.25290763
517,-0.9715938,0.19731441
518,-1.3864369,0.364221
519,-1.6337836,0.35588664
520,-1.2252809,0.2401015
521,-0.38320515,1.2504574
522,-1.4520853,0.269101
523,-1.6678966,0.28272787
524,-1.7210224,0.42110166
525,-0.5040972,1.177322
526,-2.0958843,0.34396657
527,-1.2085379,0.22378322
528,-1.5021304,0.22713785
529,-1.3907175,0.37932464
530,-1.6853573,0.39005154
531,-1.562901,0.3042634
532,-1.4488939,0.29308426
533,-1.2146599,0.3119115
534,-1.4018123,0.26436806
535,-1.3453567,0.24622066
536,-1.7583609,0.25366628
537,-1.5357465,0.27154174
538,-1.2526578,0.21845122
539,-1.02612,0.20974378
540,-1.5429626,0.2670658
541,-1.7308502,0.32847387
542,-2.4535973,0.36019102
543,-1.6071694,0.34904522
544,-1.5453372,0.26350504
545,-1.412879,0.3388273
546,-2.0132668,0.3626241
547,-1.5181099,0.2876766
548,-1.97125,0.3713633
549,-1.2718571,0.24433558
550,-1.9609768,0.31409612
551,-1.4623308,0.2775313
552,-1.4368503,0.22541463
553,-1.0782485,0.2057662
554,-1.8880751,0.30444115
555,-2.0445907,0.39848918
556,-1.6825882,0.27082738
557,-1.9796818,0.31496128
558,-1.4432096,0.26599005
559,-1.5578041,0.2945773
560,-1.3546546,0.19639955
561,-1.87294,0.30839187
562,-1.3386365,0.19679843
563,-0.010690335,0.33049533
564,-1.292773,0.26774815
565,-2.0525029,0.40572274
566,-1.7722003,0.2621322
567,-1.7873712,0.3229049
568,-1.523651,0.23838176
569,-1.4118547,0.28844947
570,-1.0900328,0.23532237
571,-1.3511457,0.24617177
572,-1.6806383,0.26934424
573,-1.3670607,0.22946815
574,-1.5152009,0.26108804
575,-1.4033345,0.26368612
576,-1.4378101,0.26576573
577,-2.0881863,0.31841072
578,-1.4730616,0.20677385
579,-1.7260361,0.29213667
580,-0.97631186,0.1736117
581,-0.89913887,0.16590297
582,-1.6998259,0.3171395
583,-1.9372967,0.37385637
584,-2.0850556,0.34439266
585,-1.8590262,0.25366056
586,-1.0284603,0.20014772
587,-1.3609025,0.25554174
