,mean,sd
0,-1.6723026,0.2113534
1,-1.634497,0.21081749
2,-2.2351763,0.2219919
3,-1.0093665,0.15851215
4,-1.5330673,0.19152673
5,-1.7778546,0.24490564
6,-0.9968673,0.12478238
7,-1.5161685,0.1919863
8,-1.5071143,0.20470211
9,-1.5208279,0.20329279
10,-1.4708415,0.27969044
11,-1.7459095,0.2696746
12,-1.6532475,0.21437703
13,-1.2838036,0.1645963
14,-0.95084435,0.15468068
15,-1.109622,0.25000545
16,-1.0153475,0.1470632
17,-1.780165,0.2411962
18,-1.3294612,0.15372846
19,-1.5265445,0.22868007
20,-1.7427673,0.2596476
21,-1.1240358,0.15128128
22,-0.9378615,0.15077162
23,-1.1295654,0.17796262
24,-1.9682826,0.26201475
25,-1.4809074,0.26841068
26,-1.5864856,0.21578367
27,-2.2941775,0.25804922
28,-1.181714,0.21987535
29,-1.5282832,0.1546598
30,-1.3312916,0.17038974
31,-1.0074463,0.13002731
32,-1.7391509,0.2096339
33,-1.6509666,0.22314084
34,-1.7421198,0.19209789
35,-1.5966982,0.17705935
36,-1.2431333,0.23415507
37,-1.4336483,0.1653008
38,-1.5895491,0.18596457
39,-0.9101652,0.12171607
40,-1.8023255,0.21994749
41,-1.6939566,0.22292313
42,-1.9020084,0.2556234
43,-1.3563819,0.15145516
44,-1.271263,0.26156268
45,-2.0837557,0.20776738
46,-1.681269,0.20824093
47,-1.8511304,0.2538626
48,-2.170277,0.33551106
49,-2.1178403,0.3304945
50,-1.6408386,0.21545811
51,-1.1217761,0.17669165
52,-0.86079144,0.14221686
53,-1.9863472,0.21565545
54,-1.8801868,0.23587525
55,-1.7714597,0.23890351
56,-1.5963681,0.25771275
57,-1.5885059,0.26219976
58,-1.0714698,0.15598723
59,-1.5977653,0.23235431
60,-1.128326,0.15869226
61,-1.3620381,0.20045656
62,-1.7597432,0.2116507
63,-1.4385087,0.2263736
64,-1.322363,0.19567934
65,-1.6035765,0.28040436
66,-2.0036345,0.2813527
67,-1.6272397,0.19220068
68,-1.1102518,0.18474281
69,-1.4002265,0.23159224
70,-1.5600944,0.20358953
71,-1.7309511,0.2833261
72,-1.7765056,0.19759904
73,-1.7899284,0.26295403
74,-1.8263016,0.23473373
75,-1.1717836,0.17010738
76,-0.89453095,0.14639641
77,-1.4714774,0.20315886
78,-1.7095021,0.20102055
79,-2.1577535,0.1954972
80,-1.6016742,0.19328253
81,-1.9058114,0.22681652
82,-1.1754943,0.16091457
83,-2.0286934,0.22750024
84,-1.8336,0.23585045
85,-1.7340618,0.2593961
86,-1.4557995,0.23038498
87,-1.5020818,0.23546258
88,-1.9305587,0.25860628
89,-2.102349,0.23761268
90,-2.0292573,0.20848812
91,-1.0355828,0.1454249
92,-1.809458,0.2651888
93,-1.1980007,0.17134464
94,-1.6698723,0.2077989
95,-1.740091,0.21667759
96,-1.453211,0.22606751
97,-1.8698366,0.25328264
98,-1.4338989,0.20555012
99,-1.8165228,0.2955367
100,-2.1567862,0.34307224
101,-1.544422,0.20509337
102,-1.656068,0.1967874
103,-1.0789673,0.16874
104,-1.6525166,0.19889194
105,-1.2675669,0.19541359
106,-1.6417944,0.18280056
107,-1.7396501,0.21490026
108,-1.3721533,0.15889455
109,-1.673616,0.21395381
110,-2.1515172,0.19524497
111,-2.1837516,0.29040924
112,-0.059499905,0.25066528
113,-1.546245,0.24039797
114,-2.2726917,0.2546721
115,-1.7603146,0.23261549
116,-1.1592711,0.16781928
117,-1.8529847,0.30062777
118,-1.6050105,0.20753157
119,-1.8875012,0.2776264
120,-1.6080692,0.18759817
121,-1.9395145,0.20290057
122,-1.955851,0.25475216
123,-1.6191995,0.20612645
124,-1.4570471,0.20840344
125,-0.11498404,0.4242808
126,-1.7666135,0.2367352
127,-1.4823365,0.2682374
128,-0.98811305,0.17655978
129,-1.4681876,0.1956545
130,-1.7466393,0.18003407
131,-1.5054584,0.207425
132,-1.7084106,0.28490093
133,-1.3080472,0.18968782
134,-2.0936205,0.25595737
135,-1.1107342,0.21569715
136,-1.325059,0.20672098
137,-1.8035305,0.24879758
138,-1.1425351,0.15977989
139,-1.1181781,0.18581629
140,-2.0333772,0.31752402
141,-1.291075,0.14159325
142,-0.8570433,0.14998052
143,-1.7524266,0.22818905
144,-0.7420344,0.1310613
145,-1.656215,0.19234498
146,-2.096958,0.3139086
147,-1.9005594,0.26516083
148,-1.3043747,0.16053493
149,-2.1548333,0.31443936
150,-1.6906149,0.27385473
151,-1.3071053,0.20653817
152,-1.5489938,0.18805383
153,-1.4805038,0.2115138
154,-1.3623741,0.1495879
155,-1.388701,0.19861697
156,-1.5007328,0.2487886
157,-1.2690094,0.17432599
158,-1.8714159,0.21366556
159,-1.5478158,0.22380555
160,-1.571059,0.18929017
161,-1.5084649,0.19058487
