,mean,sd
0,-1.4996125,0.24077806
1,-0.8605183,0.3045629
2,-1.5382609,0.38814777
3,-0.9601067,0.1938695
4,-1.0000211,0.22619343
5,-1.1506835,0.3212397
6,-0.73505265,0.1751106
7,-0.73062193,0.29143187
8,-1.1212609,0.2868957
9,-1.1424987,0.27166015
10,-1.518182,0.32230133
11,-1.2388724,0.35902697
12,-1.5429583,0.25815699
13,-1.064054,0.2465901
14,-0.73984027,0.22457601
15,-1.0716627,0.29435447
16,-0.77111006,0.20832558
17,-0.95924276,0.31039324
18,-0.759085,0.23889884
19,-1.3302745,0.33531663
20,-1.2362045,0.32082275
21,-0.9195533,0.23054431
22,-1.0741221,0.19439197
23,-0.8904128,0.22275913
24,-1.9281394,0.34755135
25,-1.2398095,0.2944444
26,-1.1880139,0.3709716
27,-1.525018,0.3506561
28,-0.91577965,0.26423225
29,-1.1362252,0.23121674
30,-1.1360186,0.22022228
31,-0.7843402,0.21837415
32,-1.5043103,0.31142616
33,-0.8322185,0.3076919
34,-0.8182733,0.2586133
35,-1.150507,0.29909956
36,-1.312922,0.23014699
37,-1.1269056,0.23728335
38,-0.91010666,0.2877303
39,-0.6263799,0.16213827
40,-1.1827977,0.22787304
41,-1.079229,0.29854175
42,-1.4580293,0.31568876
43,-0.65689826,0.24814606
44,-1.1833168,0.25759408
45,-1.3645369,0.30495188
46,-1.0251884,0.2841179
47,-1.5167267,0.32693854
48,-1.5942674,0.36667305
49,-1.5972896,0.3799681
50,-1.2209016,0.2905989
51,-0.9664195,0.22533634
52,-0.5916562,0.16017175
53,-1.372546,0.3653762
54,-1.2809398,0.34066036
55,-1.5807664,0.35240474
56,-0.83323914,0.26497725
57,-1.1126282,0.29367068
58,-0.78790426,0.18957251
59,-1.2626386,0.29048398
60,-0.9578051,0.23723486
61,-1.1469592,0.24391288
62,-1.292556,0.30879167
63,-1.2488327,0.28156626
64,-1.2160058,0.26338783
65,-1.0533689,0.28627867
66,-1.16835,0.3011744
67,-1.1614634,0.30660436
68,-1.0425807,0.24088418
69,-1.1141412,0.33367237
70,-1.0978365,0.22716276
71,-1.5076147,0.36289132
72,-0.7977246,0.29037982
73,-1.3511909,0.29174304
74,-1.5457158,0.27370203
75,-1.1904923,0.2095705
76,-1.1123329,0.21204375
77,-1.2995113,0.2841028
78,-1.2538421,0.2968216
79,-1.2371967,0.42720762
80,-1.0211395,0.22171246
81,-1.487182,0.38708287
82,-0.8948137,0.28757155
83,-1.186464,0.29544824
84,-1.5417297,0.3827078
85,-1.7416751,0.27152634
86,-1.2871077,0.2691996
87,-1.6833342,0.33068043
88,-1.5567764,0.35459
89,-1.2961727,0.3015123
90,-1.3802716,0.32697552
91,-0.87387824,0.15910411
92,-1.499053,0.38394588
93,-1.0071573,0.20714349
94,-1.3481506,0.33998406
95,-1.3348384,0.34523377
96,-1.0651551,0.3039621
97,-1.367371,0.3227491
98,-0.87006724,0.29781142
99,-1.3827592,0.29710472
100,-1.4247807,0.34592196
101,-1.0972762,0.25538495
102,-0.85900384,0.3377972
103,-0.82633483,0.22541486
104,-1.2792882,0.32117322
105,-1.138986,0.27098984
106,-0.78692156,0.25595444
107,-1.1301657,0.30618417
108,-1.0181812,0.21102877
109,-0.9237452,0.3211479
110,-1.5692798,0.31562468
111,-1.4592725,0.39193043
112,0.09437017,0.29153007
113,-1.499704,0.26945373
114,-1.387311,0.3691528
115,-1.2284036,0.34674168
116,-0.8754638,0.2538319
117,-1.5301698,0.36797097
118,-1.2136897,0.2628022
119,-1.4199917,0.33484378
120,-1.4359938,0.24096152
121,-1.3944125,0.33891565
122,-1.2510593,0.309788
123,-0.8590047,0.2723993
124,-1.2017438,0.28792405
125,-0.25095272,0.7379945
126,-1.311541,0.32028577
127,-1.2127221,0.3004651
128,-0.71116453,0.23240854
129,-1.4873803,0.30137584
130,-1.055992,0.29901683
131,-1.3084209,0.25866827
132,-1.4398041,0.30503726
133,-1.1221399,0.17977646
