neuron,cohens_d
0,-0.64900947
1,-0.98283994
2,-1.1056548
3,-0.3031063
4,-1.1489103
5,-0.47616035
6,-0.08401216
7,-1.9959633
8,-0.5147493
9,-2.2398317
10,-0.9557857
11,-2.0568447
12,-0.34153524
13,-0.8450623
14,-1.2918818
15,-1.8891786
16,-0.9426143
17,-2.1868114
18,-2.1255314
19,-0.74672955
20,-0.39321783
21,-1.5602742
22,0.24796857
23,-0.8245944
24,0.53553504
25,-0.31072828
26,-0.76414394
27,0.3000026
28,-2.16303
29,-1.8960309
30,-1.5901287
31,-2.0993412
32,-1.2678107
33,-2.008013
34,-2.1497233
35,-0.769933
36,-0.89150864
37,-1.8124398
38,-1.7565398
39,0.23550135
40,-1.9626513
41,-1.4913394
42,0.36865035
43,-1.9913701
44,-1.48305
45,-0.7022539
46,-2.1397567
47,-2.03399
48,-2.133503
49,-0.9906063
50,0.49059832
51,0.34594157
52,-0.6594413
53,-1.5179793
54,0.084193066
55,-1.6900054
56,-0.74528855
57,-2.1723866
58,-1.0252504
59,-2.1216135
60,0.28405586
61,-2.0375614
62,-1.6614062
63,-0.21510854
64,-1.476529
65,-1.608469
66,0.45035407
67,-2.116342
68,-0.3471087
69,0.26264882
70,-1.9287051
71,-1.9001704
72,-2.1939387
73,-1.7313182
74,-1.5283768
75,-1.0096722
76,-0.95886815
77,-2.0784945
78,-1.5360856
79,-2.0172298
80,-1.5310756
81,-0.9362207
82,0.36155888
83,-2.015493
84,-0.4930989
85,-1.8033386
86,-1.7612278
87,-2.0792902
88,-1.3257354
89,-1.515159
90,-2.0693362
91,-1.0761659
92,-0.6289885
93,-0.35100713
94,-0.7796938
95,-0.87050503
96,-1.873144
97,-1.9396765
98,-2.0034692
99,-1.8886653
100,-1.8911206
101,-1.9442496
102,-1.7559489
103,-2.1020484
104,-1.8936529
105,-1.0161641
106,-1.9768716
107,-2.1700926
108,-1.5408193
109,-2.0518696
110,-1.8256854
111,-0.3981929
112,-1.2810533
113,-0.20748182
114,-1.1166744
115,-2.2148314
116,-1.5203209
117,-0.8287961
118,-1.9617376
119,-0.69804376
120,0.114387095
121,-1.8293025
122,0.09495591
123,-1.8706985
124,-0.09457707
125,-1.8010483
126,-1.0909162
127,-2.0843723
128,-1.4430336
129,-1.6843592
130,-1.9367337
131,-0.84046656
132,-1.8305969
133,-1.2827404
134,-2.1399066
135,-1.9199572
136,-0.962129
137,0.2683305
138,0.09159382
139,-2.035157
140,-0.1684058
141,-2.1178446
142,-2.2246568
143,-0.8937987
144,-1.6977601
145,-0.926127
146,-2.0931592
147,-2.1470063
148,-1.1088737
149,-0.87596494
150,-1.94011
151,-0.47179136
152,-0.40627757
153,0.33155134
154,-2.0287526
155,-1.1919322
156,-0.6090611
157,-1.6983887
158,-1.3879571
159,-1.4495872
160,-2.369235
161,-1.8243878
162,-1.1045189
163,-0.65558654
164,-2.0628953
165,-0.68837017
166,-2.241137
167,-0.81511813
168,-2.1738265
169,-1.8974904
170,-1.7403224
171,-0.053218737
172,-1.3961369
173,-1.2011862
174,-0.74851483
175,-1.7075958
176,0.51378727
177,-1.4533571
178,-2.1143265
179,-2.1830583
180,-0.7942288
181,-2.2536342
182,-1.5884086
183,-1.7149626
184,-1.8902068
185,0.4858117
186,-1.0120709
187,-1.8812736
