neuron,mean,sd
0,-0.8922744,0.39524713
1,-0.3659442,0.10229721
2,-0.5672741,0.22332488
3,-0.7923672,0.39716795
4,-0.31190386,0.10732318
5,-0.8249079,0.34794742
6,-0.50632775,0.2732749
7,-0.5571905,0.13250601
8,-0.7625242,0.35190955
9,-0.72888196,0.17287739
10,-1.0485247,0.42167258
11,-0.6454068,0.13470432
12,-0.72361326,0.30008236
13,-0.5447876,0.19119799
14,-0.5504267,0.12560092
15,-0.72946477,0.171787
16,-0.7690705,0.31218144
17,-0.636748,0.14900981
18,-0.68111897,0.15367852
19,-0.4737918,0.17656723
20,-0.70978117,0.33691072
21,-0.67880946,0.16754942
22,-0.4671718,0.30332705
23,-1.0500194,0.41413745
24,-0.4822243,0.27224624
25,-0.723959,0.3461311
26,-0.91864765,0.39543077
27,-0.46273366,0.28432822
28,-0.55164754,0.12882459
29,-0.63815117,0.1587211
30,-0.5241661,0.13581617
31,-0.7363249,0.17530064
32,-0.5897362,0.199499
33,-0.64869606,0.14999819
34,-0.5835319,0.14914191
35,-0.6877863,0.26875427
36,-0.81082433,0.3705855
37,-0.6073697,0.16678384
38,-0.66847813,0.1550265
39,-0.46447593,0.27155766
40,-0.6271804,0.136698
41,-0.45714477,0.12412879
42,-0.5138962,0.29756966
43,-0.66844153,0.14385068
44,-0.56034034,0.14651863
45,-0.9638881,0.42325056
46,-0.66423887,0.14891839
47,-0.6148567,0.15509248
48,-0.53433764,0.13671212
49,-0.36377728,0.12041862
50,-0.37227532,0.24759193
51,-0.54856795,0.36068285
52,-0.7915064,0.33244988
53,-0.61348605,0.1371362
54,-0.64523023,0.3312992
55,-0.7082561,0.1840911
56,-0.7973372,0.33272222
57,-0.65539324,0.15103534
58,-0.9398935,0.432375
59,-0.6311874,0.14886346
60,-0.45914474,0.24762592
61,-0.6851739,0.14974771
62,-0.62872684,0.15626757
63,-0.58375424,0.30338562
64,-0.58909583,0.161965
65,-0.4979616,0.12185256
66,-0.46794298,0.27401397
67,-0.5922189,0.13473044
68,-0.8667111,0.3709974
69,-0.45523417,0.24919443
70,-0.6293518,0.15965477
71,-0.7051696,0.15002711
72,-0.66800344,0.16827631
73,-0.66945225,0.16232254
74,-0.5615098,0.13649768
75,-1.0239334,0.45313752
76,-0.75967103,0.28563794
77,-0.6087321,0.14512528
78,-0.63861823,0.16465284
79,-0.5943717,0.13853651
80,-0.53128105,0.12033605
81,-0.517997,0.13743268
82,-0.4771451,0.28385916
83,-0.6741889,0.16352524
84,-0.81427646,0.3386834
85,-0.6490288,0.14478967
86,-0.6535416,0.16875507
87,-0.7107445,0.15111981
88,-0.62023795,0.14830416
89,-0.545385,0.13288552
90,-0.6722466,0.1538093
91,-0.502057,0.19336478
92,-0.92469305,0.37742037
93,-1.0351604,0.43401408
94,-1.010721,0.44039983
95,-0.7826667,0.35711658
96,-0.7047144,0.16871451
97,-0.6590123,0.14685552
98,-0.64372975,0.14892432
99,-0.76778054,0.20114478
100,-0.48824787,0.123337016
101,-0.6240815,0.14498526
102,-0.6417884,0.16664645
103,-0.61500776,0.13464469
104,-0.6159712,0.13238743
105,-0.8342023,0.34804636
106,-0.63256896,0.15378392
