neuron,mean,sd
0,-1.0298631,0.33647892
1,-0.40758935,0.082214184
2,-0.6738344,0.19317245
3,-0.86892486,0.35287812
4,-0.37479642,0.0952083
5,-0.94242626,0.31120262
6,-0.53199804,0.23478484
7,-0.66079557,0.10450794
8,-0.8421162,0.31439176
9,-0.86389583,0.13814718
10,-1.239814,0.3574593
11,-0.7607021,0.10643421
12,-0.8009902,0.25143558
13,-0.6271138,0.17228597
14,-0.63326323,0.104443684
15,-0.8540607,0.12756957
16,-0.9205505,0.25759965
17,-0.7614851,0.1169944
18,-0.8082528,0.11873957
19,-0.52863127,0.14750941
20,-0.80101204,0.3009394
21,-0.8025036,0.13313767
22,-0.3920545,0.26103926
23,-1.1617216,0.3648231
24,-0.4263703,0.2493359
25,-0.807928,0.3134466
26,-1.0771221,0.32893032
27,-0.43571448,0.26338306
28,-0.6589958,0.10256757
29,-0.75307196,0.12471746
30,-0.6204043,0.11788843
31,-0.8721992,0.13587
32,-0.71254283,0.16106902
33,-0.7652455,0.11430934
34,-0.69397783,0.118405186
35,-0.7713787,0.22513369
36,-0.9282731,0.29099056
37,-0.7200104,0.13106051
38,-0.784096,0.13246079
39,-0.4462597,0.24949683
40,-0.7426043,0.114135705
41,-0.54927206,0.10595506
42,-0.4370253,0.2681229
43,-0.78444225,0.11489767
44,-0.66769683,0.116338745
45,-1.1052667,0.3400429
46,-0.7938335,0.118500754
47,-0.73089314,0.12746637
48,-0.6404058,0.110276945
49,-0.42232788,0.10410424
50,-0.30291802,0.22107823
51,-0.46740627,0.31520534
52,-0.90164435,0.28689915
53,-0.71211535,0.114343084
54,-0.6649258,0.2772163
55,-0.84845,0.1606485
56,-0.9409921,0.28601146
57,-0.77760303,0.12373562
58,-1.1514481,0.3458245
59,-0.758845,0.11663126
60,-0.44207188,0.22069404
61,-0.8117697,0.124152176
62,-0.74035865,0.1323737
63,-0.60690814,0.25428712
64,-0.6954321,0.12398997
65,-0.5876741,0.104059264
66,-0.41468304,0.24980593
67,-0.6996249,0.110071465
68,-0.92937344,0.32114762
69,-0.44868892,0.22392488
70,-0.7457207,0.13006057
71,-0.82360774,0.12591965
72,-0.795647,0.13763873
73,-0.7971494,0.13815872
74,-0.6631526,0.11369447
75,-1.1856589,0.41798154
76,-0.90087354,0.23736098
77,-0.72131723,0.119059354
78,-0.7565508,0.14388701
79,-0.71195287,0.11301966
80,-0.60375786,0.101024754
81,-0.5957259,0.11487231
82,-0.44411528,0.23898964
83,-0.7892167,0.13245153
84,-0.87019056,0.3012525
85,-0.7674861,0.11441424
86,-0.78435194,0.1435969
87,-0.83695894,0.11809065
88,-0.7238894,0.11825108
89,-0.6357204,0.10725787
90,-0.80198115,0.13186888
91,-0.59081674,0.16289866
92,-1.0168943,0.3332708
93,-1.1245553,0.42640176
94,-1.1264896,0.38790104
95,-0.8557122,0.30988982
96,-0.8544867,0.14744842
97,-0.7695429,0.12665056
98,-0.76906586,0.12263589
99,-0.9187125,0.15836464
100,-0.5832377,0.10116346
101,-0.74012095,0.11019469
102,-0.7643954,0.12819763
103,-0.72676766,0.10797351
104,-0.7173219,0.10689451
105,-0.9808493,0.30005148
106,-0.7582356,0.12619682
107,-0.7930501,0.122915424
108,-0.5468986,0.09891898
109,-0.7610575,0.12308145
110,-0.76529956,0.11103966
111,-0.7119111,0.31715348
112,-0.73986804,0.14014676
113,-0.70523345,0.30594268
114,-1.1322395,0.3317011
115,-0.78411186,0.12184637
116,-0.77180296,0.13744186
117,-0.80019164,0.24085325
118,-0.77240187,0.11776639
119,-0.8807069,0.29208842
120,-0.6675218,0.2852684
121,-0.75854445,0.12779824
122,-0.5840105,0.28665856
123,-0.75863326,0.11922189
124,-0.79828376,0.3131709
125,-0.778064,0.12385659
126,-0.7209763,0.15748592
127,-0.7242347,0.12406439
128,-0.7371537,0.1308912
129,-0.66887075,0.12676172
130,-0.7737819,0.13059837
131,-0.8838151,0.292998
132,-0.71282244,0.12374918
133,-0.60995066,0.12536441
134,-0.72150016,0.11626575
135,-0.7861963,0.12621117
136,-0.55820864,0.12680428
137,-0.5678298,0.30864576
138,-0.6837747,0.28181937
139,-0.7888925,0.14748463
140,-0.6183303,0.23825124
141,-0.78620666,0.12223451
142,-0.92456836,0.13171364
143,-1.0924819,0.36177573
144,-0.5787907,0.093761906
145,-1.1670558,0.34111568
146,-0.8074738,0.11759932
147,-0.77738094,0.13825545
148,-0.8319027,0.22954844
149,-0.72448015,0.19190574
150,-0.72836405,0.11651868
151,-0.40031716,0.09667366
152,-0.8920173,0.31162745
153,-0.40914586,0.23280294
154,-0.8960571,0.15573113
155,-0.64491785,0.13663413
156,-0.88971716,0.26373732
157,-0.75580907,0.11955145
158,-0.70227695,0.13280253
159,-0.6453602,0.11357256
160,-0.72974837,0.10451668
161,-0.6611472,0.12077108
162,-0.6936477,0.15020582
163,-0.8603912,0.281143
164,-0.8763561,0.1579436
165,-0.83712846,0.30132633
166,-0.83733803,0.12227563
167,-1.1264974,0.36931142
168,-0.7553407,0.10882624
169,-0.7078594,0.11173263
170,-0.7802686,0.14462373
171,-0.48574576,0.19647329
172,-0.79316455,0.15366542
173,-0.7112698,0.1335233
174,-0.8332633,0.24425177
175,-0.5885728,0.09179296
176,-0.39431977,0.21789606
177,-0.69168746,0.12149239
178,-0.8295586,0.14399423
179,-0.725607,0.12363339
180,-0.8394518,0.22837916
