neuron,mean,sd
0,-0.75213754,0.5030077
1,-0.3046024,0.12329087
2,-0.4302057,0.2445215
3,-0.7462801,0.4504686
4,-0.24954423,0.12126556
5,-0.76773554,0.41514528
6,-0.50714004,0.34637088
7,-0.42043763,0.13446566
8,-0.65603137,0.40315086
9,-0.52145535,0.16632512
10,-0.8395535,0.47219732
11,-0.5017086,0.14276682
12,-0.69166493,0.37644076
13,-0.46213242,0.2157474
14,-0.47267544,0.1414042
15,-0.5496969,0.18878098
16,-0.6055862,0.39615703
17,-0.4701386,0.14768949
18,-0.5164376,0.15361726
19,-0.3767849,0.24686486
20,-0.6588328,0.41341752
21,-0.5472297,0.18923461
22,-0.46728864,0.3405349
23,-0.8157775,0.46788788
24,-0.5811015,0.32371384
25,-0.69281334,0.41981345
26,-0.78468984,0.4297815
27,-0.52296495,0.31590554
28,-0.40977344,0.1266127
29,-0.47546178,0.16529104
30,-0.412342,0.1426316
31,-0.5440148,0.17440127
32,-0.44158813,0.25574994
33,-0.4868722,0.15928152
34,-0.4106977,0.14390828
35,-0.5719512,0.28895816
36,-0.5869598,0.4565867
37,-0.4472327,0.16770652
38,-0.5285379,0.1574437
39,-0.51637775,0.3391886
40,-0.49334985,0.13867393
41,-0.36868635,0.1345322
42,-0.54797256,0.33054227
43,-0.5165937,0.15159662
44,-0.4536773,0.1676791
45,-0.78312236,0.5524814
46,-0.5114881,0.14415371
47,-0.44954166,0.148391
48,-0.38055858,0.13231175
49,-0.29682532,0.14582309
50,-0.43279883,0.30215654
51,-0.59544456,0.41787118
52,-0.680253,0.37830177
53,-0.49935773,0.16190873
54,-0.6938766,0.39954165
55,-0.55513823,0.18556917
56,-0.6948983,0.36913508
57,-0.48761344,0.1425766
58,-0.7221305,0.48072734
59,-0.4611288,0.16056015
60,-0.5139082,0.28143552
61,-0.52333117,0.15705122
62,-0.49491686,0.16163637
63,-0.54010314,0.3581037
64,-0.46486583,0.18274243
65,-0.399751,0.12834254
66,-0.54155886,0.31037802
67,-0.44215903,0.13222961
68,-0.7959773,0.43846017
69,-0.52079886,0.31719363
70,-0.46247065,0.1619262
71,-0.56095594,0.14952177
72,-0.4694431,0.15896392
73,-0.5279822,0.17103721
74,-0.45807016,0.15193357
75,-0.75523764,0.43445548
76,-0.61292243,0.35217
77,-0.4525591,0.13879491
78,-0.5050249,0.18144196
79,-0.45661506,0.13881914
80,-0.4299185,0.12480773
81,-0.45298585,0.18246903
82,-0.5544612,0.35940468
83,-0.49047327,0.16247155
84,-0.6975444,0.3929653
85,-0.5056431,0.17051357
86,-0.49465236,0.18300836
87,-0.54942405,0.15588503
88,-0.51705515,0.18627363
89,-0.43722063,0.15107137
90,-0.5088712,0.15078758
91,-0.36080587,0.25461066
92,-0.7797673,0.41615468
93,-0.9684238,0.46248657
94,-0.80387574,0.4381141
95,-0.54929733,0.38957867
96,-0.54894716,0.17740503
97,-0.5133005,0.1373444
98,-0.49820614,0.14668332
99,-0.5638583,0.21336147
100,-0.3644637,0.12857655
101,-0.4755672,0.1577566
102,-0.48144865,0.18840133
103,-0.4654115,0.13877904
104,-0.4796431,0.14170666
105,-0.63566524,0.37516946
106,-0.4850458,0.14922787
107,-0.4755672,0.1664294
108,-0.36997902,0.1287754
109,-0.4765072,0.15269066
110,-0.5127941,0.16102166
111,-0.5766676,0.36073333
112,-0.52227914,0.19508457
113,-0.63319755,0.3840349
114,-0.7037861,0.42942485
115,-0.4951626,0.13854113
116,-0.51310223,0.19753452
117,-0.55763793,0.33658132
118,-0.5060405,0.15166596
119,-0.6501155,0.36459938
120,-0.7077257,0.4070478
121,-0.5019004,0.15176831
122,-0.6165348,0.39047083
123,-0.50738263,0.14786366
124,-0.76364535,0.41254723
125,-0.52863294,0.15172246
126,-0.52161276,0.2049204
127,-0.44632524,0.14199236
128,-0.5227142,0.16441824
129,-0.43350887,0.15159987
130,-0.5024976,0.14894633
131,-0.594458,0.3888596
132,-0.45565242,0.15542775
133,-0.42889747,0.15533172
134,-0.44633707,0.13982575
135,-0.5111799,0.15845075
136,-0.40520728,0.1857358
137,-0.665187,0.40990588
138,-0.71632206,0.4160735
139,-0.4611866,0.17350714
140,-0.56736946,0.355498
141,-0.5022837,0.14492786
142,-0.57355845,0.18011548
143,-0.70884645,0.4874179
144,-0.37887815,0.13761976
145,-0.79751897,0.44951427
146,-0.51552546,0.1583612
147,-0.45502037,0.16115832
148,-0.54064786,0.29203802
149,-0.5311445,0.24616954
150,-0.46464962,0.15289216
151,-0.33598962,0.16683958
152,-0.734952,0.44922313
153,-0.49838418,0.3011484
154,-0.54543555,0.18837625
155,-0.44405568,0.19526346
156,-0.67168635,0.43213412
157,-0.5300599,0.14506102
158,-0.48679677,0.17483862
159,-0.4497895,0.1533142
160,-0.45137227,0.12917808
161,-0.417609,0.14509891
162,-0.49855253,0.19959225
163,-0.64851236,0.36036345
164,-0.54089916,0.16715516
165,-0.61107844,0.35337666
166,-0.52472305,0.15480079
167,-0.78353035,0.4665648
168,-0.47827473,0.14368929
169,-0.45519575,0.15158252
170,-0.50777715,0.1676771
171,-0.47141954,0.32608292
172,-0.53110754,0.2164501
173,-0.52932864,0.167501
174,-0.6156442,0.3307478
175,-0.39816517,0.12822382
176,-0.5364965,0.32507315
177,-0.4821848,0.16370258
178,-0.49741793,0.16917607
179,-0.4387989,0.13869275
180,-0.6057386,0.34788787
181,-0.5051844,0.15455708
182,-0.5196076,0.17381631
183,-0.44111842,0.1386799
184,-0.5029187,0.14621057
185,-0.5715335,0.33367664
186,-0.5006255,0.20507555
187,-0.5462854,0.18259469
188,-0.38655865,0.18297215
189,-0.91499865,0.5117152
190,-0.46594405,0.16661295
191,-0.677171,0.40964738
192,-0.44307134,0.14968002
193,-0.45182365,0.15646128
194,-0.7938414,0.40828535
195,-0.5327861,0.16337776
196,-0.81663334,0.47360295
197,-0.4905929,0.15758899
198,-0.6040613,0.342258
199,-0.8078126,0.4683899
200,-0.48390663,0.14748327
201,-0.3754153,0.136691
202,-0.5290953,0.16779776
203,-0.4573435,0.14402063
204,-0.46154028,0.15928385
205,-0.4899008,0.16019723
206,-0.81153345,0.43461126
207,-0.5085345,0.15848428
208,-0.8142992,0.4493163
209,-0.44980484,0.13960208
210,-0.6015962,0.34281588
211,-0.47740486,0.15611556
212,-0.66514486,0.35909086
213,-0.4470254,0.14512506
214,-0.40531263,0.1351349
215,-0.40165734,0.12142145
216,-0.5274109,0.15247862
217,-0.45955724,0.13749604
218,-0.47205377,0.14432405
219,-0.39003846,0.14567508
220,-0.4918446,0.17886627
221,-0.67847663,0.32139555
222,-0.47166684,0.16144295
223,-0.51394904,0.15112095
224,-0.5371413,0.14439142
225,-0.660565,0.4003155
226,-0.45162266,0.15074319
227,-0.5134901,0.23706365
228,-0.44749147,0.1580438
229,-0.6347918,0.37064454
230,-0.8050373,0.54771113
231,-0.882822,0.49532905
232,-0.48916999,0.15599184
233,-0.7921582,0.41914016
234,-0.4744341,0.1610023
235,-0.37485623,0.1342513
236,-0.42109653,0.13022621
237,-0.6189505,0.48279738
238,-0.50830305,0.16001363
239,-0.71030444,0.37514874
240,-0.4094636,0.14779797
241,-0.64423984,0.41376263
242,-0.6020063,0.30916107
243,-0.39702964,0.22173718
244,-0.5010896,0.28156322
245,-0.46055764,0.15034221
246,-0.7563229,0.45156902
247,-0.42389598,0.13309684
248,-0.68859446,0.42910933
249,-0.46437472,0.15365766
250,-0.45312095,0.1473907
251,-0.84465796,0.4696264
252,-0.6112179,0.37727082
253,-0.46354517,0.18297592
254,-0.5344447,0.31256467
255,-0.61086774,0.44171736
256,-0.2480739,0.1379528
257,-0.4603876,0.14051889
258,-0.73153734,0.38532078
259,-0.79509753,0.44443366
260,-0.4707896,0.3047773
261,-0.47155327,0.152278
262,-0.46212158,0.16544122
263,-0.503594,0.17154184
264,-0.5381545,0.20016329
265,-0.86716485,0.46893287
266,-0.6524275,0.36748418
267,-0.7683367,0.45314157
268,-1.0225992,0.51964605
269,-0.41254577,0.28714985
270,-0.44913054,0.13020629
271,-0.5213832,0.14288078
272,-0.68654245,0.40424562
273,-0.731831,0.44128528
274,-0.73951566,0.45135385
275,-0.47432512,0.16878651
276,-0.49482155,0.17591816
277,-0.43007386,0.13470948
278,-0.50078696,0.15220158
279,-0.8131005,0.4686624
280,-0.36436877,0.21552856
281,-0.725336,0.43365592
282,-0.79546624,0.4619239
283,-0.5942828,0.3650642
284,-0.4869631,0.14658754
285,-0.4082685,0.14076386
286,-0.3785929,0.25030255
287,-0.8714668,0.4548362
288,-0.48154405,0.16456002
289,-0.66099596,0.44005683
290,-0.50985503,0.29238054
291,-0.4357943,0.15562882
292,-0.45093456,0.15198554
293,-0.8011732,0.4950079
294,-0.37717658,0.12940395
295,-0.57425565,0.35380274
296,-0.79898655,0.47580087
297,-0.4697219,0.16068669
298,-0.48210916,0.15356454
299,-0.5019303,0.13754015
300,-0.6214472,0.37772647
301,-0.44146106,0.13739452
302,-0.44741464,0.1597888
303,-0.5206407,0.14733012
304,-0.5917007,0.18648592
305,-0.70512044,0.39576507
306,-0.42215598,0.13036568
307,-0.49873236,0.16938737
308,-0.55895203,0.16035286
309,-0.44786647,0.16068211
310,-0.48497277,0.15880677
311,-0.5848799,0.39556134
312,-0.46865496,0.3058055
313,-0.4483296,0.15535644
314,-0.52441585,0.18410502
315,-0.51293993,0.17977886
316,-0.6600738,0.3492204
317,-0.8262222,0.44512227
318,-0.5224679,0.17523187
319,-0.46924287,0.1793482
320,-0.65764916,0.39052752
321,-0.4667952,0.14657584
322,-0.5889639,0.36337322
323,-0.49660948,0.15065289
324,-0.56676066,0.33942708
325,-0.50431365,0.17258176
326,-0.4835569,0.1510372
327,-0.7222985,0.4573
328,-0.4874673,0.3015967
329,-0.54113454,0.33094564
330,-0.48776928,0.16916066
331,-0.52033705,0.17606278
332,-0.4328156,0.14778097
333,-0.5110767,0.16956607
334,-0.5573046,0.31176528
335,-0.5492632,0.18856187
336,-0.4124136,0.13726245
337,-0.44876432,0.15834497
338,-0.505499,0.15335028
