,mean,sd
0,-1.1808017,0.24045783
1,-1.0915937,0.5751529
2,-1.3807107,0.34465513
3,-0.99505115,0.64593714
4,-0.7766193,0.63668543
5,-1.4374025,0.3366674
6,-1.2887628,0.3658447
7,-1.3720882,0.3031207
8,-0.56683916,0.4956729
9,-0.9935727,0.5851045
10,-1.3564291,0.3617575
11,-0.7168884,0.47699657
12,-1.2185556,0.2544051
13,-1.2703857,0.2661345
14,-1.3696328,0.2979596
15,-1.3622746,0.3289791
16,-1.4874192,0.29454815
17,-1.3368067,0.3415749
18,-0.5883709,0.5349879
19,-1.3773355,0.33266076
20,-0.9320925,0.39914337
21,-0.7168947,0.56251043
22,-1.2888997,0.2962233
23,-0.4892614,0.42752555
24,-0.94237256,0.48394024
25,-1.6179404,0.37961072
26,-1.6221092,0.35078955
27,-1.4015872,0.7617017
28,-0.8346429,0.49224633
29,-1.2990726,0.27007964
30,-0.7718317,0.59082127
31,-0.68536043,0.4934324
32,-1.3471512,0.2988152
33,-1.3937019,0.30574203
34,-1.4641523,0.30114254
35,-1.4639667,0.3186392
36,-0.78951174,0.4948782
37,-1.2137955,0.26002234
38,-1.083742,0.45880955
39,-0.9936043,0.685054
40,-1.2715428,0.26681775
41,-1.501079,0.35311437
42,-1.4696717,0.35320267
43,-1.5226539,0.36753473
44,-1.2088711,0.22748996
45,-1.2061325,0.2631735
46,-0.7551188,0.59859467
47,-1.0288386,0.5254963
48,-1.4255257,0.34545323
49,-0.7897535,0.5003874
50,-1.5708706,0.48045036
51,-0.64622724,0.5332064
52,-1.5181398,0.38820827
53,-0.8244015,0.53962827
54,-1.6739914,0.42748767
55,-1.4696,0.31434658
56,-1.4564441,0.375033
57,-1.3856717,0.34931162
58,-0.82355446,0.58653176
59,-1.4645039,0.40001112
60,-0.7873012,0.40996924
61,-0.5384717,0.5074197
62,-1.6885678,0.46511593
63,-1.1809975,0.52854955
64,-1.4668025,0.35191578
65,-1.3045449,0.28868684
66,-1.3373313,0.3226535
67,-0.922799,0.6329932
68,-1.2935084,0.25417486
69,-0.8505312,0.6049366
70,-1.1746358,0.26834774
71,-1.0944813,0.22815247
72,-0.5923422,0.47080982
73,-0.71182907,0.50963056
74,-0.98259467,0.53429025
75,-1.2737433,0.39195937
76,-0.99201983,0.6274263
77,-1.2578626,0.2538887
78,-1.1528866,0.49106768
79,-1.3443058,0.3009923
80,-1.3554459,0.35041118
81,-0.88848615,0.5924656
82,-0.6673505,0.57083744
83,-0.6700666,0.5667558
84,-1.4397388,0.29594496
85,-1.4360623,0.30583403
86,-0.8408786,0.47907522
87,-0.6503168,0.47753212
88,-1.4912424,0.36074778
89,-1.0784754,0.70318747
90,-1.639996,0.32732067
91,-1.3117083,0.29393038
92,-1.8086437,0.39487654
93,-1.4015992,0.2870046
94,-1.4429681,0.32384002
95,-1.6591072,0.3477635
96,-1.4812369,0.4045613
97,-1.2277651,0.3105977
98,-0.8935879,0.85080624
99,-1.5578597,0.43538135
100,-1.3499621,0.29991162
101,-0.79803014,0.4842452
102,-1.6536226,0.42327046
103,-1.2832295,0.27850953
104,-1.1835548,0.23924826
105,-1.066872,0.27738282
106,-1.1256502,0.5699316
107,-0.8722999,0.50061095
108,-1.1430043,0.3250128
109,-0.72681075,0.59871405
110,-1.387141,0.309361
111,-1.3577274,0.30548227
112,-1.397353,0.33451277
113,-1.3344954,0.30872896
114,-0.8883023,0.5363725
115,-1.1679425,0.3178243
116,-0.9639076,0.5055229
117,-1.0394835,0.64354163
118,-0.7231119,0.8133251
119,-0.8468947,0.5480708
120,-1.6243204,0.4047931
121,-1.1908541,0.28759456
122,-1.8413048,0.43015978
123,-1.3601433,0.32031655
124,-1.2773108,0.30966684
125,-1.2644516,0.31224257
126,-0.98352516,0.5381587
127,-1.6583537,0.45836318
128,-0.9343666,0.5909604
129,-0.37971455,0.33995503
130,-1.2055962,0.27718
131,-1.0795641,0.5496674
132,-0.8460559,0.5792489
133,-1.4880611,0.3157286
134,-0.73271286,0.385822
135,-1.4595929,0.32339254
136,-0.48557785,0.4258786
137,-1.3008294,0.33652005
138,-1.5061772,0.43222016
139,-1.4216142,0.41346818
140,-1.5489002,0.3747462
141,-1.2350955,0.2779266
142,-0.6601614,0.5296385
143,-1.0305935,0.5513294
144,-1.0065565,0.49708802
145,-0.86048317,0.43507016
146,-1.3753853,0.31056583
147,-0.907799,0.5123247
148,-1.410036,0.37610522
149,-1.3692818,0.34218046
150,-1.3705757,0.2951597
151,-1.1198509,0.46822736
152,-1.5598315,0.34985197
153,-1.1990545,0.29687613
154,-1.2229381,0.29466808
155,-1.6920652,0.38358155
156,-1.0561221,0.57557976
157,-0.8532164,0.6612007
158,-0.96797675,0.20741011
159,-1.5327163,0.32845116
160,-0.9642659,0.47992507
161,-1.2779962,0.2796715
162,-1.2333066,0.28639948
163,-1.352898,0.3412989
164,-1.5591007,0.36148632
