p,alpha,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0.01,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.97275543
0.01,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.86889648
0.01,0.1,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,94.14543152
0.05,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,94.02124786
0.05,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.92816925
0.05,0.1,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.82306671
0.1,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.61058044
0.1,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.94316101
0.1,0.1,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.70475769
0.2,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.87969971
0.2,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,93.45925903
0.2,0.1,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,100.7928772
0.4,0.01,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,98.69667053
0.4,0.05,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0713,0.0721,0.0721,0.0641,98.29571533
0.4,0.1,0.0707,2681.5103,0.9963,0.0526,0.0203,0.0669,0.0669,0.1051,0.00010000000000000286,0.0706,0.0714,0.0714,0.0638,96.96979523
0.6,0.01,0.0706,2681.5103,0.9963,0.0526,0.0203,0.0668,0.0668,0.105,0.0,0.0706,0.0714,0.0714,0.0638,95.70239258
0.6,0.05,0.07,2634.3984,0.9961,0.0543,0.0205,0.0664,0.0664,0.1023,0.00010000000000000286,0.0699,0.0708,0.0708,0.0632,93.60220337
0.6,0.1,0.0699,2634.3984,0.9961,0.0543,0.0205,0.0663,0.0663,0.1021,0.00010000000000000286,0.0698,0.0707,0.0707,0.0631,93.48483276
0.8,0.01,0.0693,2596.2547,0.996,0.0565,0.021,0.0659,0.0659,0.1,0.00010000000000000286,0.0692,0.07,0.07,0.0629,93.70729065
0.8,0.05,0.0691,2596.2547,0.996,0.0565,0.021,0.0657,0.0657,0.0994,9.999999999998899e-05,0.069,0.0698,0.0698,0.0628,93.80319214
0.8,0.1,0.0685,2569.6244,0.9959,0.057,0.0218,0.0654,0.0654,0.0968,0.00010000000000000286,0.0684,0.0692,0.0692,0.0627,93.5428772
1.0,0.01,0.0598,2516.2672,0.9956,0.0518,0.0259,0.0608,0.0608,0.0505,0.00030000000000000165,0.0595,0.0598,0.0598,0.0589,93.76156616
1.0,0.05,0.0598,2516.2672,0.9956,0.0518,0.0259,0.0608,0.0608,0.0505,0.00030000000000000165,0.0595,0.0598,0.0598,0.0589,94.30601501
1.0,0.1,0.0598,2516.2672,0.9956,0.0518,0.0259,0.0608,0.0608,0.0505,0.00030000000000000165,0.0595,0.0598,0.0598,0.0589,94.05378723
