alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0,0,0.081,0.0802,0.1681,0.0063,2941.4399,0.9973,0.0132
1,0,0.0809,0.0801,0.1679,0.0247,2937.4016,0.9972,0.0281
1.5,0,0.0808,0.08,0.1677,0.0404,2932.9192,0.9972,0.0408
2,0,0.0807,0.08,0.1676,0.0482,2923.0882,0.9971,0.0472
2.5,0,0.0803,0.0796,0.1667,0.0522,2896.4451,0.997,0.0504
3,0,0.079,0.0785,0.165,0.05,2847.6185,0.9968,0.0487
3.5,0,0.0763,0.0763,0.1605,0.0437,2753.1393,0.9965,0.0435
4,0,0.0719,0.0728,0.1531,0.0395,2577.3807,0.996,0.0401
4.5,0,0.0637,0.0666,0.1382,0.0386,2222.4754,0.9951,0.0394
5,0,0.0511,0.0569,0.1162,0.0332,1702.8648,0.9939,0.035
