alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0.3,0.01,0.076,,2765.7995,0.996,0.0472,0.0,0.0,0.076,0.0702,0.0788,0.0736
0.3,0.05,0.076,,2765.7995,0.996,0.0472,0.0,0.0,0.076,0.0702,0.0788,0.0736
0.3,0.1,0.076,,2765.7995,0.996,0.0472,0.0,0.0,0.076,0.0702,0.0788,0.0736
0.5,0.01,0.0753,,2723.3613,0.9958,0.0582,0.0,0.0,0.0753,0.0701,0.078,0.0725
0.5,0.05,0.0753,,2723.3613,0.9958,0.0582,0.0,0.0,0.0752,0.0701,0.0779,0.0724
0.5,0.1,0.0752,,2723.3613,0.9958,0.0582,0.0,0.0,0.0752,0.0701,0.0779,0.0724
0.7,0.01,0.0744,,2676.2519,0.9957,0.0601,0.0001,0.0,0.0743,0.0699,0.0769,0.0714
0.7,0.05,0.0738,,2644.9645,0.9956,0.0626,0.0001,0.0,0.0738,0.0699,0.0762,0.0706
0.7,0.1,0.0737,,2644.9645,0.9956,0.0626,0.0001,0.0,0.0736,0.0699,0.0761,0.0704
0.9,0.01,0.0725,,2580.7021,0.9953,0.0633,0.0001,0.0,0.0723,0.0698,0.0746,0.0687
0.9,0.05,0.0718,,2542.9359,0.9952,0.0648,0.0001,0.0,0.0717,0.0698,0.0739,0.0679
0.9,0.1,0.071,,2542.9359,0.9952,0.0648,0.0002,0.0,0.0709,0.0696,0.0729,0.0669
0.99,0.01,0.0694,,2487.3515,0.9949,0.0667,0.0002,0.0,0.0692,0.0695,0.0709,0.0648
0.99,0.05,0.0685,,2475.5553,0.9948,0.0667,0.0002,0.0,0.0683,0.0695,0.0699,0.0635
0.99,0.1,0.0655,,2475.5553,0.9948,0.0667,0.0002,0.0,0.0653,0.0694,0.0664,0.0589
