alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.3,0.01,0.076,0.056,0.1429,0.0319,2765.7995,0.996,0.0472
0.3,0.05,0.076,0.056,0.1429,0.0319,2765.7995,0.996,0.0472
0.3,0.1,0.076,0.056,0.1429,0.0319,2765.7995,0.996,0.0472
0.5,0.01,0.0747,0.0555,0.1382,0.0904,2690.3572,0.9955,0.0851
0.5,0.05,0.0746,0.0554,0.1382,0.0904,2690.3572,0.9955,0.0851
0.5,0.1,0.0745,0.0553,0.1382,0.0904,2690.3572,0.9955,0.0851
0.7,0.01,0.0731,0.0547,0.134,0.1009,2613.2104,0.9951,0.0907
0.7,0.05,0.0719,0.0541,0.1306,0.1087,2543.9821,0.9947,0.0944
0.7,0.1,0.0716,0.0538,0.1306,0.1087,2543.9821,0.9947,0.0944
0.9,0.01,0.0685,0.052,0.1233,0.1204,2394.4385,0.9941,0.0988
0.9,0.05,0.0671,0.0512,0.1201,0.1249,2311.8847,0.9937,0.1005
0.9,0.1,0.0658,0.0496,0.1201,0.1249,2311.8847,0.9937,0.1005
0.99,0.01,0.0621,0.0472,0.1121,0.1312,2135.0919,0.9931,0.1022
0.99,0.05,0.0599,0.0461,0.1058,0.1372,2068.3125,0.9929,0.1054
0.99,0.1,0.0553,0.0399,0.1058,0.1372,2068.3125,0.9929,0.1054
