alpha_u,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,0,0.076,2765.7995,0.996,0.0472,0.0171,0.0626,0.0745,0.1015,0.0,0.0,0.076,,,
0.4,0.01,0.076,2765.7995,0.996,0.0472,0.0171,0.0626,0.0745,0.1015,0.0,0.0,0.076,,,
0.4,0.05,0.076,2765.7995,0.996,0.0472,0.0171,0.0626,0.0745,0.1015,0.0,0.0,0.076,,,
0.4,0.1,0.0756,2735.4571,0.9959,0.0523,0.0181,0.0625,0.0743,0.0989,0.0,0.0,0.0756,,,
0.6,0.01,0.0756,2735.4571,0.9959,0.0523,0.0181,0.0625,0.0743,0.0989,0.0,0.0,0.0755,,,
0.6,0.05,0.0751,2704.0707,0.9958,0.0528,0.0198,0.0625,0.074,0.0961,0.0,0.0,0.075,,,
0.6,0.1,0.075,2704.0707,0.9958,0.0528,0.0198,0.0625,0.0739,0.0959,0.0,0.0,0.075,,,
0.8,0.01,0.0746,2679.7842,0.9957,0.0528,0.02,0.0625,0.0737,0.0934,0.0,0.0,0.0745,,,
0.8,0.05,0.0744,2679.7842,0.9957,0.0528,0.02,0.0625,0.0736,0.0928,0.0,0.0,0.0744,,,
0.8,0.1,0.074,2663.9911,0.9956,0.0531,0.0208,0.0625,0.0734,0.0905,0.0001,0.0,0.074,,,
1.0,0.01,0.0684,2633.4762,0.9954,0.0477,0.0237,0.0624,0.071,0.0539,0.0001,0.0,0.0683,,,
1.0,0.05,0.0684,2633.4762,0.9954,0.0477,0.0237,0.0624,0.071,0.0539,0.0001,0.0,0.0683,,,
1.0,0.1,0.0684,2633.4762,0.9954,0.0477,0.0237,0.0624,0.071,0.0539,0.0001,0.0,0.0683,,,
