alpha_u,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,0,0.0756,2758.44,0.9961,0.0418,0.0161,,,,0.0,0.0,0.0756,,,
0.0,-1,0.0756,2758.44,0.9961,0.0418,0.0161,,,,0.0,0.0,0.0756,,,
0.5,-1,0.0757,2746.2876,0.996,0.0467,0.0178,,,,0.0,0.0,0.0757,,,
1.0,-1,0.0756,2732.5639,0.9959,0.0491,0.0181,,,,0.0,0.0,0.0755,,,
1.5,-1,0.0752,2714.5605,0.9958,0.0565,0.02,,,,0.0,0.0,0.0751,,,
2.0,-1,0.0748,2690.5672,0.9957,0.0614,0.0218,,,,0.0,0.0001,0.0747,,,
2.5,-1,0.0744,2660.2145,0.9955,0.0641,0.0252,,,,0.0,0.0001,0.0743,,,
3.0,-1,0.0733,2622.0119,0.9953,0.0689,0.0279,,,,0.0,0.0002,0.0731,,,
0.0,0,0.0756,2758.44,0.9961,0.0418,0.0161,,,,0.0,0.0,0.0756,,,
0.5,0,0.0752,2745.4884,0.996,0.0465,0.0181,,,,0.0,0.0,0.0752,,,
1.0,0,0.0749,2733.248,0.9959,0.0511,0.0196,,,,0.0,0.0,0.0748,,,
1.5,0,0.0744,2719.016,0.9958,0.0597,0.0205,,,,0.0,0.0001,0.0743,,,
2.0,0,0.0736,2696.688,0.9956,0.0619,0.0227,,,,0.0,0.0001,0.0734,,,
2.5,0,0.0722,2664.5037,0.9954,0.0665,0.0264,,,,0.0,0.0002,0.072,,,
3.0,0,0.0711,2614.8344,0.9951,0.0711,0.0291,,,,0.0,0.0004,0.0707,,,
0.0,1,0.0756,2758.44,0.9961,0.0418,0.0161,,,,0.0,0.0,0.0756,,,
0.5,1,0.075,2758.4945,0.996,0.0425,0.0169,,,,0.0,0.0,0.075,,,
1.0,1,0.0747,2765.0999,0.996,0.0447,0.0169,,,,0.0,0.0,0.0747,,,
1.5,1,0.0742,2775.1336,0.996,0.0445,0.0166,,,,0.0,0.0,0.0742,,,
2.0,1,0.0737,2784.964,0.9961,0.0447,0.0171,,,,0.0,0.0,0.0737,,,
2.5,1,0.0732,2794.6643,0.9961,0.0452,0.0169,,,,0.0,0.0,0.0732,,,
3.0,1,0.0732,2804.4817,0.9961,0.0455,0.0171,,,,0.0,0.0,0.0732,,,
