alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.0756,,2758.44,0.9961,0.0418,0.0,0.0,0.0756,0.0704,0.0779,0.0739
1.0,-1,0.0753,,2737.7292,0.9959,0.0501,0.0,0.0,0.0753,0.0697,0.0779,0.073
2.0,-1,0.0742,,2703.5209,0.9957,0.0621,0.0,0.0,0.0742,0.0683,0.0773,0.071
3.0,-1,0.0722,,2661.0661,0.9953,0.0729,0.0,0.0,0.0721,0.0658,0.0755,0.0684
4.0,-1,0.0683,,2600.3067,0.9947,0.0841,0.0,0.0001,0.0682,0.0632,0.0714,0.064
5.0,-1,0.061,,2389.9208,0.9931,0.1024,0.0,0.0002,0.0608,0.0557,0.0653,0.0532
6.0,-1,0.0419,,1575.6212,0.9878,0.1264,0.0,0.0007,0.0412,0.0349,0.0486,0.0289
1.0,0,0.0743,,2746.0124,0.9959,0.0504,0.0,0.0,0.0743,0.0683,0.0771,0.0718
2.0,0,0.0722,,2728.383,0.9957,0.0638,0.0,0.0,0.0722,0.067,0.0749,0.0691
3.0,0,0.0685,,2709.8191,0.9954,0.0753,0.0,0.0,0.0685,0.0644,0.0709,0.0654
4.0,0,0.0637,,2614.3496,0.9947,0.0851,0.0,0.0001,0.0636,0.0602,0.0662,0.0598
5.0,0,0.0539,,2174.6173,0.9925,0.1066,0.0,0.0005,0.0534,0.049,0.0577,0.0475
6.0,0,0.0292,,1167.9235,0.9864,0.1193,0.0,0.001,0.0283,0.0277,0.0321,0.0223
1.0,1,0.074,,2773.3697,0.996,0.0445,0.0,0.0,0.074,0.0692,0.0764,0.0716
2.0,1,0.0728,,2800.298,0.9961,0.0457,0.0,0.0,0.0728,0.0687,0.0747,0.0709
3.0,1,0.0723,,2822.3236,0.9962,0.0455,0.0,0.0,0.0723,0.0686,0.0741,0.0706
4.0,1,0.0716,,2840.0997,0.9962,0.046,0.0,0.0,0.0716,0.0677,0.0733,0.07
5.0,1,0.0713,,2852.5589,0.9962,0.0465,0.0,0.0,0.0713,0.0679,0.0731,0.0694
6.0,1,0.0714,,2862.1098,0.9963,0.0472,0.0,0.0,0.0714,0.0682,0.0731,0.0695
