alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,0,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0,0.0703,0.0711,0.0711,0.0628,2.0506136417388916
0,0,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0,0.0703,0.0711,0.0711,0.0628,0.517871618270874
1.0,0,0,0.071,2693.1209,0.9963,0.0533,0.02,0.067,0.067,0.1063,0.0,0.0,0.0709,0.0719,0.0719,0.0626,0.5175526142120361
2.0,0,0,0.0717,2648.77,0.9961,0.0594,0.0232,0.0676,0.0676,0.1089,0.0002,0.0002,0.0716,0.0728,0.0728,0.0626,0.5146703720092773
3.0,0,0,0.0718,2579.0264,0.9957,0.0689,0.0289,0.0676,0.0676,0.1095,0.0004,0.0004,0.0714,0.0729,0.0729,0.0618,0.519268274307251
4.0,0,0,0.0708,2424.4648,0.9949,0.0826,0.0357,0.0668,0.0668,0.1073,0.0011,0.0011,0.0697,0.0718,0.0718,0.0618,0.5204994678497314
5.0,0,0,0.0658,2026.7046,0.993,0.098,0.0494,0.0622,0.0622,0.0985,0.003,0.003,0.0628,0.0667,0.0667,0.0578,0.5186712741851807
6.0,0,0,0.049,1208.1199,0.9891,0.1181,0.0709,0.0453,0.0453,0.0825,0.0051,0.0051,0.044,0.05,0.05,0.0403,0.5181756019592285
0,0,1.0,0.0695,2731.5447,0.9964,0.0513,0.0178,0.066,0.066,0.1011,0.0,0.0,0.0695,0.0703,0.0703,0.0624,0.5193800926208496
1.0,0,1.0,0.0705,2698.4222,0.9963,0.0523,0.0198,0.0666,0.0666,0.1054,0.0,0.0,0.0704,0.0713,0.0713,0.0631,0.5203826427459717
2.0,0,1.0,0.0712,2648.7256,0.9961,0.0621,0.0232,0.0671,0.0671,0.1088,0.0002,0.0002,0.071,0.0721,0.0721,0.0632,0.5205709934234619
3.0,0,1.0,0.0712,2565.3331,0.9956,0.0707,0.0296,0.0669,0.0669,0.1096,0.0005,0.0005,0.0706,0.0722,0.0722,0.0622,0.5214362144470215
4.0,0,1.0,0.0695,2371.2715,0.9947,0.0814,0.0357,0.0654,0.0654,0.1064,0.0015,0.0015,0.068,0.0705,0.0705,0.0606,0.5250675678253174
5.0,0,1.0,0.0632,1902.5823,0.9926,0.0978,0.0511,0.0593,0.0593,0.0979,0.0035,0.0035,0.0597,0.0641,0.0641,0.0552,0.5193929672241211
6.0,0,1.0,0.0426,953.8394,0.9887,0.1164,0.0711,0.0388,0.0388,0.077,0.0056,0.0056,0.037,0.0434,0.0434,0.0356,0.5179200172424316
0,0,2.0,0.0691,2755.0135,0.9964,0.0506,0.0169,0.0658,0.0658,0.0988,0.0,0.0,0.0691,0.0698,0.0698,0.0629,0.5182569026947021
