,mean,sd
0,-1.6631727,0.24218701
1,-1.8148406,0.29385886
2,-1.1588649,0.2162654
3,-0.7607638,0.37515175
4,-0.10275819,0.24512778
5,-1.5845318,0.20778282
6,-1.4920081,0.44319034
7,-1.4024105,0.21322303
8,-1.3336681,0.29965186
9,-1.5589314,0.20507549
10,-1.2527285,0.22344668
11,-1.5720809,0.39241493
12,-1.1721745,0.17687877
13,-0.9916799,0.3001057
14,-0.7515054,0.317758
15,-1.4899412,0.2478014
16,-1.8858972,0.33099657
17,-1.1250696,0.21820895
18,-0.52930844,0.2363683
19,-1.6516567,0.2847029
20,-1.4659581,0.15840137
21,-0.7563297,0.22583497
22,-1.2616658,0.32443684
23,-1.4883702,0.24791768
24,-1.2423582,0.22417699
25,-0.80834794,0.22099222
26,-1.4677491,0.30000132
27,-1.1678367,0.26822966
28,-0.6406091,0.38548017
29,-0.4800203,0.22125275
30,-1.2669169,0.38587043
31,-0.6325545,0.28258806
32,-1.2430302,0.18081586
33,-0.12801787,0.63978815
34,-1.612338,0.34531373
35,-0.22483462,0.21615064
36,-1.5031357,0.28094083
37,-0.45636502,0.31000486
38,-0.28437617,0.17709918
39,-0.6310144,0.24229321
40,-1.8509018,0.3956511
41,-1.4204106,0.42083153
42,-0.12349842,0.22326763
43,-0.8074861,0.31252217
44,-0.28214842,0.45689887
45,-0.96330714,0.43841934
46,-0.5810855,0.70084685
47,-0.7697034,0.63942724
48,-1.2669896,0.17843549
49,-1.3797671,0.2540834
50,-1.2604831,0.21415924
51,-1.569104,0.286948
52,-1.6588168,0.196208
53,-1.0944273,0.3599794
54,-1.168355,0.30832088
55,-1.2826612,0.14199229
56,-1.439485,0.24131063
57,-1.5495354,0.49396122
58,-0.1529669,0.8650169
59,-0.8896857,0.22181737
60,-2.0024886,0.4546793
61,-0.52652127,0.2180991
62,-1.067651,0.33581865
63,-1.2652184,0.30112195
64,-1.2656523,0.21546961
65,-1.2044435,0.1916033
66,-0.5592838,0.39159918
67,-1.3859801,0.37184048
68,-0.3618214,0.28410873
69,-1.3249688,0.26569086
70,-1.2420146,0.18618922
71,-1.4570367,0.19887255
72,-1.8900255,0.43410513
73,-1.361623,0.19920518
74,-0.50923437,0.7179525
75,-1.3466408,0.36310986
76,-1.5646001,0.17896518
77,-1.5962541,0.6133393
78,-1.6222385,0.22387163
79,-1.2108485,0.3241363
80,-1.2090458,0.2579049
81,-1.112984,0.2631734
82,-1.6479337,0.21270686
83,-1.5751694,0.19660935
84,-0.9466187,0.505518
85,-1.2877197,0.20723023
86,-1.2316306,0.26461276
87,-1.2363483,0.3670479
88,-0.39350343,0.80505216
89,-1.5365547,0.22533701
90,-1.2523793,0.16817085
91,-1.2065134,0.32935932
92,-1.3819897,0.22128716
93,-0.7329679,0.40121374
94,-1.0011456,0.28017306
95,-0.88400704,0.24505565
96,-0.46830294,0.45156205
97,-0.45736614,0.3323911
98,-1.7415973,0.3137263
99,-1.2430097,0.17998773
100,-1.5509918,0.3602185
101,-1.0329858,0.35753128
102,-1.2640928,0.2412127
103,-0.6777968,0.4585758
104,-0.1252906,0.8965614
105,-0.52357286,0.1420942
106,-1.467413,0.25396046
107,-1.4412463,0.4203141
108,-1.5363361,0.25994396
109,-0.04876235,0.3373812
110,-1.518952,0.25124913
111,-1.2385721,0.24544477
112,-1.8449489,0.26706898
113,-0.45702615,0.92456293
114,-1.4058168,0.22693837
115,-0.38435316,0.3318165
116,-1.9387723,0.4979188
117,-0.1077537,0.18209462
118,-1.1796255,0.31762126
119,-0.6744016,0.26547998
120,-1.0051273,0.21186988
121,-1.220802,0.17156895
122,-1.0689555,0.27333552
123,-0.77498347,0.32281765
124,-0.70162106,0.33002514
125,-0.9203527,0.22749889
126,-0.54763234,0.28956652
127,-0.44740295,0.22158816
128,-1.735784,0.2830413
129,-1.5974483,0.34976324
130,-1.1118683,0.27550882
131,-0.9693038,0.24662054
132,-1.2471011,0.59650064
133,-0.3929744,0.37711868
134,-1.4830573,0.2705111
135,-0.84880924,0.5760836
136,-1.396749,0.30288485
137,-1.3337245,0.46873415
138,-0.718921,0.4176203
139,-1.4073954,0.33411297
140,-0.30537716,0.22578241
141,0.0011409412,0.2789134
142,-1.3256731,0.2472948
143,-0.96764183,0.5446291
144,-1.2673734,0.2068695
145,-1.8348713,0.414464
146,-1.5370243,0.1818985
147,-1.7187114,0.3388671
148,-0.57654107,0.4635011
149,-1.056794,0.24714299
150,-1.2781202,0.30800357
151,-1.4012477,0.17781535
152,-1.8459895,0.37618348
153,-1.3800677,0.1851801
154,-1.1205424,0.1727582
155,-1.0255784,0.18198492
156,-1.4640274,0.3005746
