,mean,sd
0,-1.3099262,0.52969533
1,-1.3626624,0.5839898
2,-0.8169903,0.45460668
3,-0.66135126,0.467104
4,-0.46405235,0.36355546
5,-1.2614964,0.50665754
6,-1.3608725,0.5574872
7,-0.8389277,0.41634363
8,-1.2085706,0.5218201
9,-1.1610912,0.5046128
10,-0.83703977,0.49207196
11,-0.9481807,0.5385547
12,-0.8428851,0.46627697
13,-0.7395804,0.44734082
14,-0.8777334,0.43593478
15,-1.4660467,0.5556603
16,-1.3395312,0.61098546
17,-0.75705737,0.44091657
18,-0.42632028,0.30378237
19,-1.0970072,0.5179009
20,-1.2443789,0.47680807
21,-0.5151651,0.4241709
22,-1.0000598,0.5209496
23,-1.1630726,0.5301955
24,-1.0451918,0.5019853
25,-0.6155016,0.33918768
26,-1.110247,0.48516315
27,-0.835559,0.4717492
28,-0.52870494,0.46651193
29,-0.5742686,0.40247822
30,-1.3179101,0.59848464
31,-0.41468143,0.41023004
32,-1.139672,0.4600714
33,-0.485708,0.703491
34,-1.4011188,0.6145765
35,-0.16482002,0.33018094
36,-1.3715082,0.5226705
37,-0.32253626,0.39888945
38,-0.3251296,0.321825
39,-0.06516836,0.39670756
40,-0.95704,0.54565763
41,-1.3174264,0.57704616
42,-0.099032864,0.3800971
43,-0.7386974,0.48432797
44,-0.7007299,0.5121159
45,-0.4675969,0.4094799
46,-0.1744513,0.6189645
47,-0.4381461,0.73640007
48,-1.1055552,0.3881599
49,-1.10563,0.5066665
50,-0.6209864,0.4300311
51,-0.97807187,0.549852
52,-1.3771645,0.51055574
53,-1.2007431,0.45613927
54,-1.0607203,0.48478132
55,-1.2705023,0.49444947
56,-1.1646631,0.48770496
57,-1.2837397,0.613222
58,-0.27606538,0.96595216
59,-0.3181391,0.36529756
60,-1.115204,0.7576118
61,-0.3241325,0.36350015
62,-1.0475131,0.5025764
63,-1.0139991,0.54517335
64,-0.90251994,0.46725997
65,-0.83963597,0.4304321
66,-0.16958115,0.41645002
67,-1.2008559,0.531426
68,-0.41270518,0.3724674
69,-1.1144593,0.5198226
70,-1.501985,0.47636053
71,-1.1836473,0.5044192
72,-1.7257017,0.59964955
73,-1.1205623,0.4689726
74,-0.104425676,0.70389193
75,-1.0479503,0.5051012
76,-1.430974,0.5450234
77,-0.9510005,0.69093865
78,-1.60074,0.50120246
79,-1.0415107,0.5078664
80,-1.0256009,0.456983
81,-1.061074,0.524916
82,-1.1839947,0.50190234
83,-1.4219538,0.5309385
84,-0.5465159,0.7487084
85,-1.497672,0.50210655
86,-1.2250564,0.4917246
87,-0.7583127,0.50621146
88,-0.31526324,0.7242831
89,-1.1864067,0.5854368
90,-0.7396759,0.4344347
91,-1.4090475,0.4819029
92,-0.6443573,0.5033172
93,-0.069049545,0.51497114
94,-0.37150428,0.39716092
95,-0.75694716,0.45451063
96,0.09480554,0.59480435
97,-0.7368631,0.4327985
98,-1.3647048,0.59609586
99,-0.98338205,0.41529763
100,-1.4160544,0.5659825
101,-1.1727341,0.4861837
102,-1.2850097,0.5127024
103,0.15081188,0.46222788
104,-0.7334001,0.87810725
105,-0.45445597,0.30097798
106,-0.8929777,0.43818617
107,-1.660028,0.63632643
108,-1.031276,0.4924052
109,-0.11586022,0.41549036
110,-1.0890223,0.53255945
111,-0.878316,0.5002363
112,-0.7823048,0.52145845
113,-0.59213275,0.8855266
114,-1.1063476,0.52632713
115,-0.4548811,0.45558622
116,-1.4535787,0.68283
117,-0.15936635,0.35159457
118,-0.99534863,0.56015515
119,-0.4850257,0.41040066
120,-0.42255065,0.4266183
121,-1.0597459,0.43496236
122,-1.2295634,0.46668622
123,-0.5553706,0.37219188
124,-0.4389437,0.3936884
125,-0.99647737,0.3921008
126,-0.5705226,0.42061916
127,-0.7448935,0.35595495
128,-1.4441283,0.61186546
129,-0.94792867,0.48271465
130,-0.88290757,0.4186182
131,-0.8976335,0.40173233
132,-0.90488786,0.5313738
133,-0.61429465,0.46007925
134,-1.1359739,0.5127411
135,-0.5628546,0.69514877
136,-1.480108,0.58689684
137,-1.290192,0.49393266
138,-0.25881872,0.5717369
139,-1.3102016,0.5490321
140,0.22916226,0.44468245
141,0.20965654,0.41547146
142,-0.9709436,0.4498409
143,-0.49109015,0.58547115
144,-1.2964758,0.4602589
145,-1.2994232,0.7186265
146,-1.2318445,0.5488047
147,-1.6535814,0.53043044
148,-0.888635,0.4524575
149,-0.77838147,0.43257093
150,-0.92869747,0.48841608
151,-1.2542536,0.41965634
152,-1.1773835,0.5351973
153,-1.2545003,0.3719293
154,-0.6290618,0.43411356
155,-0.77616495,0.41612548
156,-0.8846365,0.5630853
157,-1.367639,0.5666863
158,-0.71701604,0.9149365
159,-1.1048447,0.55777824
160,-1.0273423,0.45541814
161,-0.05679348,0.29741406
162,-1.6810485,0.5260141
163,-0.49726757,0.35274205
164,-0.50194293,0.3770378
165,-0.90321106,0.4116807
166,-1.00061,0.45937273
167,-1.0507848,0.5248489
168,-0.76657534,0.48842406
169,-0.17264575,0.5015381
170,-0.70277834,0.3444637
171,-0.7799219,0.42732432
172,-0.6152498,0.36701432
173,-1.3419828,0.510042
174,-0.47640693,0.42304686
175,-1.0376809,0.449375
176,-1.5173497,0.5451346
177,-0.841852,0.44388047
178,-1.0804353,0.39586633
179,-1.0642109,0.43071035
180,-0.93490976,0.41746452
181,-0.46955854,0.32291234
182,-0.7986602,0.53990513
183,-1.4499868,0.5352959
184,-0.9648473,0.48439178
185,-0.5515919,0.39445865
186,-0.8454967,0.4969993
187,-0.81920713,0.5232076
188,-0.37672642,0.4276991
189,-0.51361036,0.3580626
190,-1.3599381,0.5240767
191,-1.0927273,0.4844794
192,-2.666474,0.72127855
193,-0.88071275,0.3727734
194,-0.6341389,0.55253184
195,-0.46740556,0.29907355
196,-1.3731816,0.47862607
197,-1.0285083,0.4333545
198,0.060561545,0.2975572
199,-0.3245226,0.5078313
200,-1.1242546,0.59998584
201,-0.70991707,0.46663266
202,-1.258322,0.5250255
203,-1.2037054,0.43902206
204,-1.0542321,0.49509513
205,-1.0346224,0.38114566
206,-1.1733332,0.4122783
207,-0.3447021,0.33899528
208,-0.28143144,0.42581436
209,-0.20612985,0.459065
210,-0.05098387,0.2898122
211,-1.2310101,0.51562303
212,-0.13892592,0.24940613
213,0.053254165,0.3116707
214,-1.1702539,0.4967927
215,-1.6648088,0.52091223
216,-0.81904525,0.40625197
217,-1.5314138,0.65261954
218,-0.4777197,0.5570733
219,-0.44183478,0.34406152
220,-1.1561716,0.59479475
221,0.21777926,0.28237638
222,-1.3759757,0.53117746
223,-0.86707336,0.46972233
224,-0.7323466,0.390469
225,-1.0074742,0.60616666
226,-1.1905535,0.5257794
227,-0.17901392,0.38321447
228,-1.0643288,0.5280134
229,-1.2317344,0.4372423
230,-1.2149328,0.5126283
231,-0.55247104,0.44296628
232,-1.268854,0.6377918
233,-1.2024845,0.4477926
234,-0.39581797,0.56006414
235,-0.7290644,0.5199911
236,-1.331175,0.5881182
237,-0.8763533,0.4594419
238,-1.408323,0.5837029
239,-1.3377844,0.6026448
240,-0.67250204,0.45946664
241,-1.3578634,0.44392908
242,-0.75626063,0.56389624
243,-0.84006786,0.48230243
244,-1.1358514,0.5290678
245,-1.0262495,0.5003796
246,-0.755929,0.4506452
247,-0.48859206,0.39981705
248,-0.81736314,0.43287835
249,-1.0775124,0.53790694
250,-0.21468765,0.37903783
251,-0.1857815,0.42487234
252,-1.2013484,0.53902584
253,-0.84190845,0.5387779
254,-0.58992296,0.45176005
255,0.08101317,0.37492186
256,-0.061951485,0.77559906
257,-0.951164,0.4965759
258,-1.0554713,0.39555258
259,-0.638795,0.43640965
260,-0.72074103,0.5686946
261,-0.85006607,0.44859564
262,-1.3972601,0.5776049
263,-0.7921853,0.3788334
264,-0.7950625,0.437808
265,-0.75075847,0.68395364
266,-1.1667405,0.5871794
267,-0.71689767,0.35736725
268,-1.1810993,0.5052114
269,-0.64078265,0.33493906
270,-1.1617974,0.51109356
271,-1.5513427,0.5801051
272,-0.7727173,0.32788664
273,-1.7974226,0.6911971
274,-1.4382492,0.5476742
275,-0.35986346,0.54892325
276,-1.1303834,0.407624
277,-1.1361284,0.48051175
278,-0.4947302,0.4667981
279,-0.77201426,0.40374136
280,-0.8881972,0.45379508
281,-0.3606881,0.85166305
282,-1.4536045,0.46664006
