p,alpha,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0.0,0.0,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,0.951744556
0.01,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,39.09341431
0.01,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,39.19439697
0.01,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.74116898
0.05,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.13970947
0.05,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.03979111
0.05,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.06495667
0.1,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.01169205
0.1,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.03019714
0.1,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.08278275
0.2,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.04631424
0.2,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.08399582
0.2,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.05033875
0.4,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.10136414
0.4,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.011099999999999999,0.0131,0.0219,0.0219,0.0447,38.08075714
0.4,0.1,0.0241,162.6133,0.8147,0.7226,0.3556,0.0245,0.0245,0.0199,0.0114,0.0127,0.0218,0.0218,0.0445,38.02509689
0.6,0.01,0.0241,162.6133,0.8147,0.7226,0.3556,0.0245,0.0245,0.0199,0.0114,0.0127,0.0218,0.0218,0.0445,38.09882355
0.6,0.05,0.0236,153.8496,0.8127,0.7154,0.3529,0.0241,0.0241,0.0188,0.0115,0.0121,0.0213,0.0213,0.0442,38.04571152
0.6,0.1,0.0235,153.8496,0.8127,0.7154,0.3529,0.0241,0.0241,0.0187,0.0115,0.012,0.0213,0.0213,0.044,37.98455429
0.8,0.01,0.0232,141.116,0.8234,0.6932,0.3319,0.0238,0.0238,0.0176,0.011899999999999999,0.0113,0.0209,0.0209,0.0434,37.92095184
0.8,0.05,0.0231,141.116,0.8234,0.6932,0.3319,0.0237,0.0237,0.0175,0.011999999999999999,0.0111,0.0208,0.0208,0.0432,37.83544159
0.8,0.1,0.0228,136.3273,0.8318,0.6785,0.3177,0.0233,0.0233,0.0181,0.0122,0.0106,0.0206,0.0206,0.0424,37.84511566
1.0,0.01,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.012799999999999999,0.0079,0.0187,0.0187,0.0388,37.7286911
1.0,0.05,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.012799999999999999,0.0079,0.0187,0.0187,0.0388,37.71705627
1.0,0.1,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.012799999999999999,0.0079,0.0187,0.0187,0.0388,37.79657364
