alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.3,0.01,0.0532,0.0867,0.2274,0.2512,226.0609,0.8788,0.5174
0.3,0.05,0.0532,0.0867,0.2274,0.2512,226.0609,0.8788,0.5174
0.3,0.1,0.0532,0.0867,0.2274,0.2512,226.0609,0.8788,0.5174
0.5,0.01,0.0522,0.0857,0.2223,0.4626,215.9039,0.8528,0.6201
0.5,0.05,0.052,0.0854,0.2223,0.4626,215.9039,0.8528,0.6201
0.5,0.1,0.0519,0.0851,0.2223,0.4626,215.9039,0.8528,0.6201
0.7,0.01,0.0503,0.0831,0.2157,0.5844,203.4958,0.8274,0.6729
0.7,0.05,0.0483,0.08,0.2076,0.6652,189.6985,0.8043,0.7032
0.7,0.1,0.0479,0.0788,0.2076,0.6652,189.6985,0.8043,0.7032
0.9,0.01,0.0426,0.0704,0.1882,0.7658,159.6437,0.7674,0.729
0.9,0.05,0.0396,0.0657,0.1772,0.8007,143.2727,0.7544,0.733
0.9,0.1,0.0382,0.0617,0.1772,0.8007,143.2727,0.7544,0.733
0.99,0.01,0.0313,0.0503,0.1501,0.844,108.1121,0.7387,0.7217
0.99,0.05,0.0282,0.0463,0.1355,0.8601,89.0853,0.7369,0.7069
0.99,0.1,0.0263,0.0404,0.1355,0.8601,89.0853,0.7369,0.7069
