alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.1,0.1,0.052,0.0846,0.222,0.2917,213.7974,0.8663,0.5468
0.5,0.1,0.0507,0.0825,0.2173,0.3646,189.9917,0.8406,0.5941
1,0.1,0.047,0.0768,0.204,0.442,160.2419,0.8064,0.6384
1.5,0.1,0.042,0.0691,0.1845,0.5015,132.1603,0.7798,0.6682
2.0,0.1,0.0364,0.0604,0.1611,0.5387,108.4621,0.769,0.6783
0.1,0.5,0.0465,0.0759,0.2037,0.3956,179.7349,0.8349,0.6017
0.5,0.5,0.0441,0.0724,0.193,0.448,158.0988,0.8121,0.6315
1,0.5,0.0397,0.0653,0.1764,0.4954,131.4831,0.7886,0.6556
1.5,0.5,0.0342,0.0566,0.1542,0.529,107.0738,0.78,0.6615
2.0,0.5,0.0288,0.048,0.1335,0.5472,87.0272,0.7874,0.656
0.1,1,0.0366,0.0592,0.1669,0.4513,136.2809,0.8192,0.6062
0.5,1,0.0342,0.0554,0.1559,0.4867,119.0556,0.8061,0.6229
1,1,0.0296,0.0484,0.1372,0.5154,98.6282,0.7994,0.6317
1.5,1,0.025,0.0412,0.1175,0.5294,80.4826,0.807,0.6219
2.0,1,0.0207,0.0345,0.0993,0.5371,65.4512,0.8248,0.5999
0.1,1.5,0.0289,0.0473,0.136,0.4501,105.604,0.8326,0.5753
0.5,1.5,0.0265,0.0437,0.1246,0.4833,92.7986,0.8252,0.5875
1,1.5,0.0229,0.0371,0.1112,0.5053,77.6884,0.8242,0.5937
1.5,1.5,0.0191,0.0312,0.0943,0.5186,64.6535,0.8339,0.5806
2.0,1.5,0.0157,0.0263,0.0778,0.5199,54.0002,0.8519,0.5555
0.1,2.0,0.0246,0.0399,0.118,0.4333,95.2477,0.8519,0.5341
0.5,2.0,0.0226,0.0368,0.1088,0.4597,84.0475,0.8453,0.5438
1,2.0,0.0195,0.0317,0.0955,0.4873,71.0156,0.8434,0.5502
1.5,2.0,0.0162,0.0265,0.0818,0.505,59.8483,0.8499,0.5446
2.0,2.0,0.0135,0.0224,0.068,0.5082,51.071,0.8648,0.5254
