alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.1,0.1,0.0524,0.0853,0.2242,0.2736,221.6367,0.8726,0.5366
0.5,0.1,0.0518,0.0845,0.2209,0.3022,214.8298,0.8636,0.5545
1,0.1,0.0512,0.0832,0.219,0.3468,205.5441,0.8504,0.5828
1.5,0.1,0.0496,0.0811,0.2128,0.3908,194.7579,0.8355,0.6095
2.0,0.1,0.0478,0.0787,0.2058,0.4281,183.0322,0.8201,0.631
0.1,0.5,0.0492,0.0802,0.2135,0.3451,206.2109,0.8519,0.5738
0.5,0.5,0.0488,0.0792,0.2125,0.3716,199.0059,0.8424,0.5899
1,0.5,0.0473,0.0774,0.2065,0.4044,189.2172,0.8298,0.6108
1.5,0.5,0.0455,0.0747,0.1995,0.439,178.2448,0.817,0.6317
2.0,0.5,0.0433,0.0708,0.1903,0.4684,166.4315,0.8045,0.6463
0.1,1,0.0426,0.0696,0.1881,0.3807,186.9794,0.8443,0.5739
0.5,1,0.0417,0.0681,0.185,0.4016,179.713,0.8371,0.5854
1,1,0.0402,0.0658,0.1802,0.4216,169.8538,0.8282,0.5981
1.5,1,0.0382,0.0627,0.1729,0.4496,159.1641,0.8203,0.6119
2.0,1,0.036,0.0591,0.1631,0.4717,147.8236,0.8137,0.6207
0.1,1.5,0.0366,0.0596,0.1649,0.3901,175.2489,0.8556,0.5429
0.5,1.5,0.0357,0.0582,0.1615,0.4048,168.1939,0.8504,0.551
1,1.5,0.034,0.0553,0.1557,0.4241,158.749,0.8447,0.5617
1.5,1.5,0.0321,0.0523,0.1484,0.4465,148.366,0.8391,0.5731
2.0,1.5,0.0296,0.0485,0.1392,0.461,137.0582,0.8357,0.5809
0.1,2.0,0.0315,0.0508,0.1442,0.3855,175.4226,0.8739,0.5026
0.5,2.0,0.0305,0.0493,0.1398,0.3983,168.4865,0.8697,0.5105
1,2.0,0.0291,0.0468,0.1351,0.4169,158.84,0.8648,0.5199
1.5,2.0,0.0276,0.044,0.1298,0.4326,148.1648,0.8609,0.531
2.0,2.0,0.0256,0.041,0.1203,0.4494,136.8292,0.8577,0.5385
