alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.3,0.01,0.0256,0.0165,0.0558,0.5643,176.2873,0.8223,0.7217
0.3,0.05,0.0256,0.0165,0.0558,0.5643,176.2873,0.8223,0.7217
0.3,0.1,0.0256,0.0165,0.0558,0.5643,176.2873,0.8223,0.7217
0.5,0.01,0.0252,0.0164,0.0544,0.7411,163.6834,0.7986,0.765
0.5,0.05,0.0251,0.0163,0.0544,0.7411,163.6834,0.7986,0.765
0.5,0.1,0.0251,0.0163,0.0544,0.7411,163.6834,0.7986,0.765
0.7,0.01,0.0242,0.0159,0.0516,0.8239,149.0643,0.7826,0.7765
0.7,0.05,0.0234,0.0156,0.0494,0.8727,133.7183,0.7737,0.7783
0.7,0.1,0.0233,0.0155,0.0494,0.8727,133.7183,0.7737,0.7783
0.9,0.01,0.0215,0.0146,0.0446,0.9271,102.7496,0.7746,0.7583
0.9,0.05,0.0207,0.0141,0.0428,0.9395,87.6302,0.7839,0.7368
0.9,0.1,0.0201,0.0132,0.0428,0.9395,87.6302,0.7839,0.7368
0.99,0.01,0.017,0.0114,0.0353,0.9573,57.7147,0.817,0.6701
0.99,0.05,0.0148,0.0105,0.0294,0.9622,43.39,0.8428,0.6043
0.99,0.1,0.0144,0.0098,0.0294,0.9622,43.39,0.8428,0.6043
