alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0.3,0.01,0.0256,,176.2873,0.8223,0.7217,0.0014,0.0074,0.0168,0.031,0.0248,0.0225
0.3,0.05,0.0256,,176.2873,0.8223,0.7217,0.0014,0.0074,0.0168,0.031,0.0248,0.0225
0.3,0.1,0.0256,,176.2873,0.8223,0.7217,0.0014,0.0074,0.0168,0.031,0.0248,0.0225
0.5,0.01,0.0251,,164.78,0.8001,0.7606,0.0018,0.0071,0.0161,0.0304,0.0243,0.0219
0.5,0.05,0.025,,164.78,0.8001,0.7606,0.0018,0.0071,0.0161,0.0303,0.0243,0.0218
0.5,0.1,0.025,,164.78,0.8001,0.7606,0.0019,0.0071,0.016,0.0303,0.0243,0.0218
0.7,0.01,0.0244,,153.1311,0.7889,0.7644,0.0027,0.0065,0.0152,0.0292,0.0239,0.0211
0.7,0.05,0.0238,,142.4312,0.7853,0.761,0.0035,0.006,0.0143,0.0288,0.0234,0.0203
0.7,0.1,0.0238,,142.4312,0.7853,0.761,0.0036,0.006,0.0141,0.0286,0.0233,0.0203
0.9,0.01,0.0222,,124.1489,0.7932,0.7358,0.0053,0.0048,0.0121,0.0264,0.0219,0.0187
0.9,0.05,0.0218,,116.4773,0.8025,0.7165,0.0063,0.0042,0.0113,0.0255,0.0215,0.0189
0.9,0.1,0.0212,,116.4773,0.8025,0.7165,0.0068,0.0039,0.0105,0.0246,0.0209,0.0185
0.99,0.01,0.0193,,103.3466,0.8289,0.6644,0.0084,0.0023,0.0085,0.0227,0.0188,0.017
0.99,0.05,0.018,,97.9548,0.8467,0.621,0.009,0.0015,0.0075,0.0219,0.0176,0.015
0.99,0.1,0.0177,,97.9548,0.8467,0.621,0.0101,0.0011,0.0065,0.0206,0.0176,0.0149
