alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,0.951744556427002
0.01,,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,39.093414306640625
0.01,,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,39.19439697265625
0.01,,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.74116897583008
0.05,,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.13970947265625
0.05,,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.039791107177734
0.05,,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.06495666503906
0.1,,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.01169204711914
0.1,,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.03019714355469
0.1,,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.08278274536133
0.2,,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.04631423950195
0.2,,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.0839958190918
0.2,,0.1,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.05033874511719
0.4,,0.01,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.10136413574219
0.4,,0.05,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,38.08075714111328
0.4,,0.1,0.0241,162.6133,0.8147,0.7226,0.3556,0.0245,0.0245,0.0199,0.0114,0.0114,0.0127,0.0218,0.0218,0.0445,38.02509689331055
0.6,,0.01,0.0241,162.6133,0.8147,0.7226,0.3556,0.0245,0.0245,0.0199,0.0114,0.0114,0.0127,0.0218,0.0218,0.0445,38.09882354736328
0.6,,0.05,0.0236,153.8496,0.8127,0.7154,0.3529,0.0241,0.0241,0.0188,0.0115,0.0115,0.0121,0.0213,0.0213,0.0442,38.045711517333984
0.6,,0.1,0.0235,153.8496,0.8127,0.7154,0.3529,0.0241,0.0241,0.0187,0.0115,0.0115,0.012,0.0213,0.0213,0.044,37.984554290771484
0.8,,0.01,0.0232,141.116,0.8234,0.6932,0.3319,0.0238,0.0238,0.0176,0.0119,0.0119,0.0113,0.0209,0.0209,0.0434,37.92095184326172
0.8,,0.05,0.0231,141.116,0.8234,0.6932,0.3319,0.0237,0.0237,0.0175,0.0119,0.0119,0.0111,0.0208,0.0208,0.0432,37.83544158935547
0.8,,0.1,0.0228,136.3273,0.8318,0.6785,0.3177,0.0233,0.0233,0.0181,0.0122,0.0122,0.0106,0.0206,0.0206,0.0424,37.845115661621094
1.0,,0.01,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.0128,0.0128,0.0079,0.0187,0.0187,0.0388,37.72869110107422
1.0,,0.05,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.0128,0.0128,0.0079,0.0187,0.0187,0.0388,37.71705627441406
1.0,,0.1,0.0207,122.4342,0.8833,0.5456,0.2425,0.021,0.021,0.0174,0.0128,0.0128,0.0079,0.0187,0.0187,0.0388,37.796573638916016
