alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.3,0.01,0.0256,0.0165,0.0558,0.5987,176.2873,0.8223,0.7217
0.3,0.05,0.0256,0.0165,0.0558,0.5987,176.2873,0.8223,0.7217
0.3,0.1,0.0256,0.0165,0.0558,0.5987,176.2873,0.8223,0.7217
0.5,0.01,0.0253,0.0164,0.0549,0.6851,165.6079,0.8032,0.7593
0.5,0.05,0.0252,0.0164,0.0549,0.6851,165.6079,0.8032,0.7593
0.5,0.1,0.0252,0.0163,0.0549,0.6851,165.6079,0.8032,0.7593
0.7,0.01,0.0246,0.0161,0.0529,0.7482,152.3191,0.7842,0.783
0.7,0.05,0.0239,0.0158,0.0509,0.7989,137.6512,0.7679,0.7984
0.7,0.1,0.0238,0.0157,0.0509,0.7989,137.6512,0.7679,0.7984
0.9,0.01,0.0219,0.0148,0.0455,0.864,106.2972,0.7479,0.8048
0.9,0.05,0.0211,0.0143,0.0435,0.8865,90.2734,0.7461,0.7986
0.9,0.1,0.0205,0.0136,0.0435,0.8865,90.2734,0.7461,0.7986
0.99,0.01,0.0176,0.012,0.0364,0.9191,57.7107,0.7628,0.7597
0.99,0.05,0.0155,0.011,0.0304,0.9301,41.5986,0.7854,0.71
0.99,0.1,0.015,0.0103,0.0304,0.9301,41.5986,0.7854,0.71
