alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.0258,,167.9833,0.8166,0.7166,0.0016,0.0076,0.0166,0.0316,0.0252,0.022
0.5,-1,0.0257,,158.6916,0.8104,0.7239,0.0019,0.008,0.0157,0.0308,0.0252,0.0218
1.0,-1,0.0255,,149.2504,0.8096,0.7215,0.0024,0.0083,0.0148,0.0309,0.0249,0.022
1.5,-1,0.0257,,139.2014,0.8153,0.7116,0.0031,0.0087,0.0139,0.0298,0.0255,0.0219
2.0,-1,0.025,,128.3985,0.8277,0.6881,0.0038,0.0087,0.0124,0.0284,0.0247,0.0224
2.5,-1,0.0238,,116.7689,0.8449,0.6563,0.0043,0.0085,0.011,0.0264,0.0236,0.022
3.0,-1,0.0223,,104.3124,0.8666,0.6124,0.0046,0.0083,0.0094,0.0239,0.0223,0.0207
0.5,0,0.0255,,146.6802,0.802,0.7334,0.0023,0.0084,0.0148,0.0294,0.0255,0.0217
1.0,0,0.0245,,128.5507,0.8029,0.7314,0.0031,0.0089,0.0126,0.0276,0.0245,0.0214
1.5,0,0.0234,,111.5285,0.818,0.7077,0.0039,0.009,0.0105,0.0254,0.0235,0.0215
2.0,0,0.0214,,94.9487,0.8439,0.663,0.0045,0.0089,0.008,0.0226,0.021,0.0212
2.5,0,0.019,,77.8917,0.875,0.599,0.0048,0.0085,0.0057,0.0186,0.0188,0.0201
3.0,0,0.0167,,61.8086,0.906,0.513,0.0052,0.0076,0.0039,0.0145,0.0167,0.0191
0.5,1,0.0255,,155.0637,0.8057,0.7302,0.002,0.008,0.0155,0.0299,0.025,0.0224
1.0,1,0.0253,,145.0897,0.7997,0.7378,0.0023,0.0085,0.0145,0.0294,0.0248,0.0226
1.5,1,0.0246,,135.9095,0.7973,0.7396,0.0025,0.0086,0.0136,0.0281,0.0241,0.0226
2.0,1,0.0241,,126.9468,0.7961,0.7418,0.0028,0.0089,0.0124,0.0279,0.0235,0.0221
2.5,1,0.0233,,117.3235,0.7974,0.74,0.0029,0.009,0.0113,0.0271,0.0227,0.0214
3.0,1,0.022,,107.5411,0.8006,0.7354,0.0029,0.009,0.01,0.0243,0.0215,0.0212
