alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,0,0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,1.2340526580810547
0.0,0,0.0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.5671770572662354
1.0,0,0.0,0.0247,148.295,0.8219,0.6937,0.3454,0.0254,0.0254,0.0188,0.0136,0.0136,0.0111,0.0226,0.0226,0.0437,0.5753166675567627
2.0,0,0.0,0.0247,132.0695,0.8359,0.6658,0.3294,0.0254,0.0254,0.0178,0.015,0.015,0.0097,0.0226,0.0226,0.0429,0.5624780654907227
3.0,0,0.0,0.0233,113.72,0.865,0.6102,0.2902,0.024,0.024,0.017,0.0153,0.0153,0.008,0.0213,0.0213,0.0409,0.5689759254455566
4.0,0,0.0,0.0206,94.0269,0.9035,0.51,0.2364,0.0212,0.0212,0.0145,0.0144,0.0144,0.0061,0.0185,0.0185,0.0392,0.5636529922485352
5.0,0,0.0,0.0166,74.1028,0.9417,0.3793,0.171,0.0171,0.0171,0.0123,0.0128,0.0128,0.0039,0.0154,0.0154,0.0275,0.5696592330932617
0.0,0,1.0,0.024,142.7092,0.8129,0.7112,0.3597,0.0246,0.0246,0.019,0.0133,0.0133,0.0108,0.0219,0.0219,0.0433,0.5625207424163818
1.0,0,1.0,0.0243,127.8335,0.8179,0.6982,0.3551,0.0252,0.0252,0.0161,0.0148,0.0148,0.0095,0.0222,0.0222,0.0429,0.5611562728881836
2.0,0,1.0,0.0235,112.7285,0.8407,0.6624,0.3226,0.0243,0.0243,0.0165,0.0155,0.0155,0.0081,0.0215,0.0215,0.0423,0.5624964237213135
3.0,0,1.0,0.0219,96.0927,0.878,0.5825,0.2718,0.0225,0.0225,0.0163,0.0156,0.0156,0.0064,0.0201,0.0201,0.0384,0.5631864070892334
4.0,0,1.0,0.0182,77.8799,0.919,0.4651,0.2086,0.0187,0.0187,0.0135,0.014,0.014,0.0042,0.0169,0.0169,0.0299,0.5664594173431396
5.0,0,1.0,0.0145,58.1628,0.9545,0.316,0.1426,0.0148,0.0148,0.0123,0.0123,0.0123,0.0022,0.0144,0.0144,0.0154,0.5772991180419922
0.0,0,2.0,0.0232,126.5343,0.8112,0.7112,0.361,0.0239,0.0239,0.0173,0.0142,0.0142,0.009,0.0213,0.0213,0.0406,0.5629549026489258
1.0,0,2.0,0.0234,112.4143,0.8226,0.6923,0.3494,0.024,0.024,0.0174,0.0156,0.0156,0.0078,0.0216,0.0216,0.0395,0.5717461109161377
2.0,0,2.0,0.0224,98.4215,0.8519,0.6421,0.3103,0.023,0.023,0.0169,0.0159,0.0159,0.0066,0.0208,0.0208,0.0368,0.5626082420349121
3.0,0,2.0,0.0202,82.3735,0.8921,0.5495,0.2524,0.0206,0.0206,0.0162,0.0155,0.0155,0.0047,0.0191,0.0191,0.0301,0.5631334781646729
4.0,0,2.0,0.0161,63.945,0.932,0.4155,0.1881,0.0164,0.0164,0.0129,0.0135,0.0135,0.0026,0.0158,0.0158,0.0191,0.5628712177276611
5.0,0,2.0,0.0129,45.9639,0.9625,0.2665,0.1236,0.013,0.013,0.0115,0.0119,0.0119,0.0009,0.0134,0.0134,0.0078,0.5604958534240723
0.0,0,3.0,0.0226,111.8824,0.8153,0.7049,0.3581,0.0233,0.0233,0.0163,0.0148,0.0148,0.0078,0.0209,0.0209,0.038,0.5631780624389648
1.0,0,3.0,0.0227,99.1946,0.8313,0.679,0.3383,0.0233,0.0233,0.0168,0.0159,0.0159,0.0068,0.0212,0.0212,0.0364,0.5647890567779541
2.0,0,3.0,0.0211,86.3415,0.8642,0.6182,0.291,0.0217,0.0217,0.0158,0.016,0.016,0.0051,0.0199,0.0199,0.0319,0.5633478164672852
3.0,0,3.0,0.0185,71.1727,0.9044,0.5155,0.2331,0.0189,0.0189,0.015,0.0151,0.0151,0.0035,0.018,0.018,0.0233,0.5666749477386475
4.0,0,3.0,0.0147,53.2586,0.9415,0.3753,0.1699,0.0149,0.0149,0.0123,0.0131,0.0131,0.0016,0.0149,0.0149,0.0126,0.5646307468414307
5.0,0,3.0,0.0121,39.3848,0.9669,0.2384,0.115,0.0122,0.0122,0.011,0.0114,0.0114,0.0006,0.0128,0.0128,0.0055,0.563849925994873
0.0,0,4.0,0.0217,99.9445,0.8238,0.691,0.3468,0.0224,0.0224,0.0155,0.015,0.015,0.0068,0.0203,0.0203,0.0347,0.5568511486053467
1.0,0,4.0,0.0213,88.9019,0.8426,0.6591,0.3249,0.022,0.022,0.0151,0.0157,0.0157,0.0056,0.0202,0.0202,0.0316,0.5593996047973633
2.0,0,4.0,0.0204,77.8874,0.876,0.5883,0.2771,0.0209,0.0209,0.0158,0.0159,0.0159,0.0045,0.0194,0.0194,0.0287,0.5675048828125
3.0,0,4.0,0.0175,64.2321,0.9143,0.4785,0.2179,0.0178,0.0178,0.0146,0.0147,0.0147,0.0028,0.0173,0.0173,0.0192,0.5634510517120361
4.0,0,4.0,0.0142,48.4879,0.9474,0.3467,0.1573,0.0144,0.0144,0.0125,0.0129,0.0129,0.0013,0.0146,0.0146,0.0104,0.5637037754058838
5.0,0,4.0,0.0118,37.1014,0.9695,0.2214,0.1085,0.0119,0.0119,0.0109,0.0113,0.0113,0.0005,0.0126,0.0126,0.0051,0.5614268779754639
0.0,0,5.0,0.0209,94.6182,0.8307,0.675,0.3402,0.0215,0.0215,0.0156,0.0148,0.0148,0.0061,0.0197,0.0197,0.0314,0.5624613761901855
