item_id,paired_id
0,0
1,8446
2,2
3,8577
4,4
5,5
6,11433
7,7
8,3377
9,9
10,11629
11,13736
12,14425
13,11474
14,14
15,15
16,16
17,651
18,9864
19,19
20,11499
21,21
22,22
23,3487
24,24
25,12333
26,26
27,14462
28,10656
29,11630
30,14840
31,13440
32,32
33,10198
34,9999
35,35
36,36
37,16094
38,8446
39,14453
40,8446
41,41
42,12719
43,3139
44,2588
45,45
46,46
47,47
48,48
49,49
50,12347
51,15116
52,52
53,9465
54,54
55,55
56,56
57,2737
58,13959
59,11210
60,60
61,15543
62,15279
63,63
64,12205
65,8802
66,13440
67,12589
68,15135
69,3178
70,9037
71,2754
72,72
73,16146
74,74
75,14825
76,9311
77,77
78,78
79,11833
80,6391
81,81
82,706
83,14269
84,7304
85,8456
86,14272
87,87
88,88
89,14821
90,15831
91,91
92,176
93,13901
94,15526
95,7699
96,96
97,16230
98,8064
99,14177
100,100
101,9937
102,5421
103,3786
104,12151
105,105
106,10958
107,15879
108,256
109,4749
110,2862
111,13606
112,16189
113,176
114,14154
115,152
116,116
117,14154
118,116
119,12845
120,12259
121,11841
122,122
123,123
124,124
125,256
126,126
127,127
128,128
129,129
130,9134
131,6369
132,12383
133,15187
134,9223
135,135
136,12151
137,13493
138,138
139,6288
140,140
141,662
142,12383
143,143
144,144
145,145
146,15279
147,12261
148,3914
149,149
150,150
151,151
152,152
153,13701
154,12999
155,15771
156,156
157,12383
158,16078
159,13601
160,160
161,13491
162,14504
163,1688
164,116
165,165
166,166
167,8720
168,168
169,169
170,12149
171,6784
172,3987
173,3691
174,11949
175,15879
176,176
177,12383
178,178
179,16078
180,180
181,176
182,13035
183,169
184,15000
185,424
186,1688
187,3782
188,15927
189,15727
190,15747
191,3914
192,13830
193,12999
194,6784
195,15309
196,9083
197,662
198,11857
199,11719
200,7227
201,4643
202,15349
203,14159
204,1612
205,15916
206,12502
207,12502
208,1728
209,12883
210,210
211,11752
212,14087
213,14174
214,11521
215,13210
216,16162
217,13879
218,218
219,8101
220,12151
221,221
222,13678
223,6693
224,15136
225,9336
226,12137
227,10956
228,13873
229,11900
230,16206
231,1311
232,14490
233,5552
234,11710
235,16206
236,5083
237,15279
238,11710
239,6784
240,8948
241,116
242,10956
243,15934
244,15934
245,245
246,11904
247,8064
248,11931
249,8064
250,9157
251,6544
252,252
253,11109
254,15771
255,15451
256,256
257,7237
258,15778
259,9634
260,16068
261,261
262,16084
263,4532
264,14175
265,9937
266,9159
