,mean,sd
0,-1.4656073,0.99863476
1,-1.3766778,0.9919027
2,-3.3664362,0.56724244
3,-2.2432556,1.685248
4,-2.6436584,0.44478613
5,-2.233992,1.3228332
6,-1.9318576,0.74539584
7,-1.3042955,0.9349169
8,-2.800689,0.45956907
9,-1.5482435,0.85883105
10,-2.6902053,0.36462015
11,-2.3572052,0.5173297
12,-2.2193942,0.3316785
13,-3.1557987,0.5344008
14,-2.3464417,0.40866143
15,-1.803851,1.2714736
16,-2.971183,0.66089106
17,-2.7271457,0.61381066
18,-1.8488878,0.30690414
19,-2.310659,0.38606566
20,-1.9623117,1.4454179
21,-1.5610358,0.8418213
22,-2.9077544,0.53453577
23,-1.4336029,0.63072735
24,-1.1657767,0.75414896
25,-1.1151652,0.58987457
26,-1.8735147,1.2149286
27,-0.9900429,0.5809178
28,-1.4369688,1.0562432
29,-1.1132847,0.77682894
30,-2.989322,2.610528
31,-1.536881,0.89793515
32,-2.5688555,0.5032483
33,-2.4774277,0.9903529
34,-1.3034497,0.9305666
35,-2.6506183,0.39328486
36,-1.9813827,1.2114638
37,-2.756967,0.4645625
38,-1.1345488,0.87836105
39,-1.6279018,0.91803753
40,-1.0435956,1.0658549
41,-2.7238207,0.5898902
42,-2.5579734,0.48752812
43,-2.5874133,0.3759799
44,-1.2234854,0.78184056
45,-1.4864801,0.8414624
46,-2.7241986,0.570687
47,-2.3282168,0.64083666
48,-2.563529,0.88898927
49,-2.626148,0.5567429
50,-2.9795718,0.46042076
51,-1.1464562,0.6142394
52,-2.3396637,0.41226146
53,-0.89195096,0.7484767
54,-0.99685866,0.74626094
55,-1.4214896,0.9277713
56,-2.4669526,0.32547945
57,-1.5083536,0.9224813
58,-1.2737443,0.87626326
59,-3.017961,0.50796306
60,-1.1426537,0.8313888
61,-1.5633246,1.0207824
62,-2.3003695,0.3914621
63,-1.1368117,0.65033114
64,-2.5233066,0.47541103
65,-2.2744083,1.1080772
66,-1.2780155,1.3794686
67,-1.1220064,0.78678346
68,-2.2014854,1.2643008
69,-2.421523,0.82630765
70,-2.0539582,1.1554242
71,-2.691853,0.4484763
72,-2.0209274,1.1575129
73,-1.8898007,1.123744
74,-2.147178,0.4182376
75,-1.1107649,0.8707316
76,-2.5041878,0.47864914
77,-1.1736035,0.63849604
78,-2.2928514,1.1556414
79,-2.4254034,0.46368477
80,-2.6074047,0.49949798
81,-2.7945871,0.4694338
82,-2.7774534,0.49400565
83,-2.9132128,0.5624857
84,-2.8371344,0.56703234
85,-2.8010197,0.51302046
86,-1.3756377,0.8274829
87,-2.5177393,0.43475056
88,-1.6407257,1.2185992
89,-2.6494436,0.41053408
90,-2.97311,0.53985053
91,-2.1481595,0.74224615
92,-2.750876,0.4361486
93,-2.1668258,0.8986421
94,-1.5626696,1.1139984
95,-1.3344475,0.9284255
96,-2.9042501,0.479101
97,-2.4842615,1.7851896
98,-3.181594,0.58793336
99,-2.7779052,0.39419895
100,-0.73647887,0.744969
101,-1.2124879,0.6487669
102,-1.138854,0.89312184
103,-1.4426179,0.7016845
104,-2.4884691,1.6175216
105,-2.5697203,0.4341616
106,-1.0685976,0.7896775
107,-1.2585584,0.80106944
108,-2.3863049,0.37379363
109,-1.4347336,1.1238158
110,-2.785521,0.5113671
111,-2.5996943,0.43191418
112,-1.2533345,0.8381038
113,-0.96446884,0.7131168
114,-1.4931635,0.9419864
115,-2.5583286,0.5429687
116,-1.9608088,1.1426039
117,-0.98895144,0.83217895
118,-2.3744764,0.66829115
119,-1.7097896,1.2515872
120,-2.875615,0.5168141
121,-2.0918245,0.82794434
122,-3.0054312,0.5072042
123,-2.283824,0.41824502
124,-2.8651545,0.39260235
125,-2.5493457,0.4121362
126,-2.1629179,1.7167404
127,-2.3411083,0.42899135
128,-3.14949,0.6129875
129,-2.509121,0.42397165
130,-2.8797753,0.5132658
131,-1.5008094,0.92287844
132,-3.6396844,0.5157935
133,-2.2360067,0.40726668
134,-2.8031256,0.47616762
135,-1.5769812,1.0243547
136,-1.8935531,1.1586826
137,-3.2131433,0.42813453
138,-1.3580128,0.980508
139,-1.900323,1.173456
140,-2.0423908,0.95430577
141,-1.5962596,1.2016276
142,-2.020912,0.7970469
143,-2.02381,0.8016694
144,-1.183668,0.99031705
145,-2.7007937,0.37375012
146,-1.8860011,1.3930382
147,-0.8818988,0.76155597
148,-2.29566,0.45339513
149,-3.021066,0.58015627
150,-2.2806754,0.3639126
151,-1.4865234,0.83651096
152,-2.975454,0.4868295
153,-1.7418562,0.90501726
154,-2.1072674,0.3426549
155,-2.1082308,1.1682556
156,-3.2703564,0.48846823
157,-1.7001145,1.0614314
158,-1.6879699,1.0406847
159,-2.7684443,0.52649426
160,-2.7285264,0.52468836
161,-1.5521415,0.9734765
162,-2.9021826,0.54394346
163,-2.4958107,0.3665631
164,-1.977297,0.8799748
165,-2.7530127,0.48417884
166,-2.4048185,0.38654298
167,-1.9812237,0.2769212
168,-2.309703,0.53241307
169,-1.2826952,0.71468407
170,-1.3307486,0.9892737
171,-1.4927808,0.6591353
172,-2.42666,0.598612
173,-3.6239154,0.64062023
174,-1.078048,0.67570674
175,-2.912168,0.5005907
176,-1.8006879,0.39013484
177,-1.883383,0.7874858
178,-1.7029725,0.91394395
179,-1.4601483,0.9674184
180,-1.417001,0.81254625
181,-1.9383506,0.9190973
182,-2.5390382,0.7473502
183,-2.49721,0.49545985
184,-3.1485312,0.65635324
185,-1.5002023,0.9170535
186,-1.3299806,0.76781654
