,mean,sd
0,-1.6279875,0.88297814
1,-0.79768676,0.7754483
2,-3.4689095,0.51049155
3,-2.270471,1.3106059
4,-2.9179296,0.39495644
5,-2.8111737,1.1001792
6,-1.5609338,0.5974134
7,-0.7935633,0.67443377
8,-2.8893204,0.45418453
9,-1.6872962,0.67192066
10,-2.6988752,0.35507187
11,-3.16395,0.39956316
12,-2.4797344,0.30829346
13,-3.6330678,0.3844029
14,-2.6374109,0.39889577
15,-1.6237758,0.96096146
16,-3.035564,0.46865198
17,-2.8003204,0.47928932
18,-1.8643374,0.30237576
19,-2.354652,0.3348667
20,-2.2124457,1.1457032
21,-1.3667487,0.65886205
22,-3.2442887,0.46155903
23,-1.1780534,0.60148245
24,-1.3938261,0.62190235
25,-0.89777946,0.5318157
26,-1.5929357,0.9593653
27,-1.2977705,0.5458169
28,-0.95738554,0.8119972
29,-0.77056724,0.6020511
30,-3.6248477,1.997101
31,-1.4426262,0.74320793
32,-2.8722277,0.40683535
33,-1.9628507,0.73982406
34,-1.1482377,0.7409408
35,-2.9458055,0.4007189
36,-2.2963102,0.96622115
37,-3.1682184,0.4158526
38,-0.9543631,0.8005585
39,-1.3955591,0.6857408
40,-0.531523,0.8143412
41,-2.9686496,0.49309614
42,-2.7172325,0.41906825
43,-2.8384783,0.36007416
44,-1.1673449,0.65565866
45,-1.1713974,0.71170485
46,-2.8836358,0.44590148
47,-1.9661087,0.53273547
48,-2.5188532,0.71017694
49,-2.7127886,0.5129257
50,-3.2232206,0.41619104
51,-0.97633636,0.56811124
52,-2.4521244,0.35791537
53,-0.35041022,0.54768044
54,-0.7669711,0.5878742
55,-0.6927106,0.7777524
56,-2.7455533,0.31505793
57,-0.93324846,0.7243015
58,-1.0025713,0.6451478
59,-3.1763215,0.3740333
60,-1.3976387,0.74903524
61,-1.5647048,0.8106257
62,-2.4224036,0.3381654
63,-1.0838761,0.56683993
64,-2.8337336,0.40211993
65,-2.8813694,0.87338036
66,-0.64521414,1.0226076
67,-0.8902843,0.64690787
68,-2.0513144,0.92219317
69,-2.9623697,0.6804058
70,-2.8521347,0.86759794
71,-2.9804482,0.39317805
72,-1.9493648,0.88921136
73,-1.8508878,0.8630105
74,-2.2861173,0.37928256
75,-1.0088984,0.66651654
76,-2.7001896,0.44301137
77,-1.1610279,0.5497697
78,-2.404856,0.8392742
79,-2.579936,0.45666063
80,-2.7876031,0.42864344
81,-3.212129,0.330511
82,-2.8409798,0.49055865
83,-3.3926678,0.4004845
84,-2.8844202,0.5523129
85,-3.1636386,0.38429773
86,-1.4961743,0.60380393
87,-2.8267276,0.35173205
88,-0.9896886,0.9627985
89,-3.1266015,0.33907032
90,-3.142031,0.4934732
91,-2.3349657,0.6854817
92,-2.9692507,0.35154486
93,-2.3520753,0.71627223
94,-1.2982495,0.789355
95,-1.1429012,0.7450027
96,-2.9222333,0.4404124
97,-2.5568838,1.2681189
98,-3.3067286,0.45810223
99,-2.699667,0.35732955
100,-0.33665088,0.6134161
101,-0.9119282,0.48763672
102,-0.71390945,0.74867994
103,-1.4845505,0.5634787
104,-2.566681,1.2320696
105,-2.60462,0.36518282
106,-0.6875076,0.60592246
107,-1.170201,0.64166415
108,-2.4045942,0.38952422
109,-0.9677555,0.81289256
110,-3.064051,0.43518218
111,-2.6448247,0.372684
112,-1.0328219,0.72463626
113,-0.68223876,0.61146706
114,-1.0848088,0.76523894
115,-2.4944186,0.5587862
116,-2.3634086,0.96204454
117,-0.5498145,0.66887003
118,-2.5884275,0.5469242
119,-1.8572992,0.9665273
120,-3.0375671,0.41742006
121,-2.433021,0.64839023
122,-3.1921747,0.4627653
123,-2.451104,0.4036267
124,-2.9445066,0.37250724
125,-2.870183,0.30445746
126,-2.6595483,1.2257712
127,-2.3459444,0.38231218
128,-3.7736542,0.50211686
129,-2.5482,0.41389006
130,-2.7981646,0.38606256
131,-0.8928549,0.7814631
132,-4.0429564,0.50044924
133,-2.346463,0.39893216
134,-3.3258197,0.40545
135,-1.8584801,0.7058397
136,-2.6779008,0.8861816
137,-3.5896697,0.4335115
138,-1.060855,0.76555073
139,-2.119499,0.9952776
140,-1.6310359,0.69625443
141,-0.71503377,0.83913
142,-2.6011245,0.7171718
143,-1.8846202,0.65971017
144,-0.859079,0.7387367
145,-3.0830352,0.3711111
146,-1.0676388,0.99357617
147,-0.48728475,0.6019269
148,-2.3995156,0.4165365
149,-3.2458737,0.54222274
150,-2.5269248,0.37582746
151,-1.3218161,0.621361
152,-3.455004,0.39823943
153,-1.9454486,0.84617716
154,-2.0149002,0.3248062
155,-2.336445,0.88291293
156,-3.4599476,0.51451665
157,-2.0100877,0.89808047
158,-1.2577933,0.91294456
159,-2.951014,0.45957553
160,-2.5693,0.47866336
161,-1.3247287,0.76495236
162,-3.3547199,0.3858349
163,-2.7385812,0.30942202
164,-2.2563207,0.68601817
165,-3.1696093,0.37630945
166,-2.5746431,0.34299102
167,-2.0818193,0.27322614
168,-2.236609,0.49498188
169,-1.1782695,0.5877761
170,-0.7047627,0.75578755
171,-0.96959853,0.5055682
172,-2.3595743,0.5804402
173,-3.998262,0.5688987
174,-1.0344418,0.5604784
175,-3.3131855,0.4289804
176,-1.8705275,0.32080397
177,-1.4924507,0.5964484
178,-2.1262617,0.676464
179,-1.7041037,0.7972129
180,-1.6380178,0.656084
181,-1.4005492,0.7942721
182,-2.566001,0.5814199
183,-2.4673548,0.44615483
184,-3.6921046,0.43870226
185,-0.90734464,0.77052397
186,-1.220906,0.63152754
187,-2.512599,0.71165335
188,-3.382232,0.43867105
189,-1.4935257,0.72719973
190,-1.1392773,0.86890924
191,-0.81009793,0.7238497
192,-2.101299,0.5328589
193,-3.256662,0.39941958
194,-1.2565442,0.59172964
195,-2.4477751,0.44974983
196,-1.9055495,0.6746192
197,-3.4303346,0.53953177
198,-1.0370642,0.6360132
199,-1.5765467,0.84295225
200,-3.190617,0.44167468
201,-1.7946736,0.6292406
202,-3.077541,0.43657562
203,-1.4763545,0.83137196
204,-2.0126019,0.8438144
205,-1.3082775,0.6417102
206,-1.0242279,0.6308584
207,-2.5784745,0.35442838
208,-1.373035,0.8402622
209,-1.6688875,0.6982186
210,-2.0230522,0.6210217
211,-0.9881845,0.4304565
212,-1.1171738,0.7719144
213,-2.224852,0.40852126
214,-3.2158334,0.45897353
