,mean,sd
0,-1.5515705,0.88742095
1,-1.0866245,0.80300653
2,-3.408155,0.5247428
3,-1.9508817,1.4198481
4,-2.806771,0.42224857
5,-2.5087538,1.1607662
6,-2.0038853,0.5645268
7,-0.9469811,0.7001535
8,-2.8928967,0.46975166
9,-1.4873234,0.7132415
10,-2.6876235,0.35448167
11,-2.9121606,0.4376096
12,-2.4635282,0.32597286
13,-3.479015,0.4097385
14,-2.5698812,0.40456775
15,-1.769639,0.99168247
16,-2.9184499,0.48334447
17,-2.726698,0.4837286
18,-1.9519889,0.32707584
19,-2.3566306,0.36465362
20,-2.2111428,1.1800157
21,-1.6955733,0.6649341
22,-3.1377132,0.46309978
23,-1.5665826,0.5976143
24,-1.51059,0.62002647
25,-1.0367634,0.5227012
26,-1.4794376,0.97059935
27,-1.3422549,0.543355
28,-1.1347942,0.87045527
29,-1.0965602,0.64499605
30,-3.2201061,2.156059
31,-1.50428,0.75263536
32,-2.8228981,0.42646393
33,-2.085988,0.76266426
34,-1.2754441,0.7887977
35,-2.8637667,0.4109236
36,-2.145834,0.9620784
37,-3.054447,0.42490748
38,-0.9763692,0.7875864
39,-1.6962088,0.686613
40,-0.9020835,0.8127215
41,-2.8603761,0.50074995
42,-2.607006,0.43884555
43,-2.825167,0.38436997
44,-1.3384691,0.70113534
45,-1.2517287,0.71774435
46,-2.7813368,0.46968237
47,-2.079489,0.5608645
48,-2.5604281,0.7144466
49,-2.6819084,0.5283111
50,-3.154063,0.4259204
51,-1.0827756,0.5749841
52,-2.4319715,0.36740166
53,-0.6315557,0.5864189
54,-0.9263584,0.6091442
55,-0.8483779,0.82175374
56,-2.6749845,0.3275768
57,-1.171043,0.7423926
58,-1.2042938,0.6989891
59,-3.0804515,0.39097175
60,-1.3908563,0.75455457
61,-1.4853772,0.8382687
62,-2.3025482,0.36398807
63,-1.4414722,0.5997363
64,-2.6556404,0.42685145
65,-2.7560809,0.8780445
66,-1.042235,1.0372424
67,-1.009745,0.66919935
68,-1.9151988,0.9822325
69,-2.805145,0.6881263
70,-2.6844475,0.90278536
71,-2.834443,0.4080675
72,-1.9669331,0.9937629
73,-2.0161753,0.9167916
74,-2.2610683,0.3865353
75,-1.1205832,0.68705195
76,-2.634261,0.4461608
77,-1.4197688,0.57038563
78,-2.3130658,0.891017
79,-2.5548322,0.45391643
80,-2.7034676,0.44030103
81,-3.064839,0.37053967
82,-2.9163685,0.49063763
83,-3.1346536,0.4420522
84,-2.955293,0.56566817
85,-2.9687202,0.43566054
86,-1.633094,0.6379836
87,-2.7577548,0.37431246
88,-1.249675,1.0052409
89,-2.9292233,0.3739607
90,-3.0782778,0.50426376
91,-2.429627,0.74136204
92,-2.855087,0.37498474
93,-2.380871,0.7554463
94,-1.5131034,0.82924026
95,-1.3237331,0.740861
96,-2.9667122,0.45357284
97,-2.4626238,1.4437747
98,-3.200581,0.4824641
99,-2.741013,0.36900434
100,-0.5609589,0.6418394
101,-1.1131786,0.5351648
102,-0.74708354,0.75432223
103,-1.5485733,0.58291173
104,-2.4411871,1.2692994
105,-2.568495,0.39734638
106,-0.89061844,0.63250947
107,-1.3377655,0.64161617
108,-2.440201,0.38164833
109,-1.0332276,0.84808916
110,-2.9490857,0.4408603
111,-2.6356246,0.38661537
112,-1.1851313,0.7394012
113,-0.9812955,0.6405659
114,-1.2985973,0.7719466
115,-2.5342648,0.56292254
116,-2.059427,1.0348388
117,-0.70907885,0.69855005
118,-2.5175242,0.6062086
119,-1.8127949,0.97432035
120,-3.0311337,0.44376484
121,-2.3788495,0.66631335
122,-3.1096022,0.476955
123,-2.4116182,0.40594456
124,-2.952898,0.3805464
125,-2.7721715,0.32767126
126,-2.5290077,1.410409
127,-2.394157,0.39398405
128,-3.5729423,0.51571435
129,-2.5201786,0.4230483
130,-2.8570905,0.41214317
131,-1.2148724,0.8060465
132,-4.0249624,0.5195718
133,-2.2506666,0.3998758
134,-3.168976,0.43252775
135,-1.8686372,0.7200497
136,-2.52122,0.89478797
137,-3.47009,0.46191388
138,-1.1675444,0.780618
139,-2.0431473,1.0537032
140,-1.8632226,0.7039235
141,-1.057354,0.9244202
142,-2.3746896,0.7068175
143,-1.8997943,0.67719793
144,-1.1539071,0.7807205
145,-2.980378,0.39346576
146,-1.3189273,1.0592581
147,-0.72832465,0.6238104
148,-2.3862324,0.43634045
149,-3.165515,0.5534208
150,-2.4661078,0.39990157
151,-1.3587205,0.65846145
152,-3.3503358,0.4241818
153,-1.9548606,0.8575663
154,-2.0390582,0.34689084
155,-2.331007,0.9190587
156,-3.4588382,0.5280868
157,-1.9160728,0.92381966
158,-1.2567097,0.9545056
159,-2.8284037,0.4767407
160,-2.32644,0.59403026
161,-1.3842268,0.7929392
162,-3.1713102,0.42236426
163,-2.704425,0.3345821
164,-1.9697586,0.74088883
165,-3.0039818,0.40910202
166,-2.515829,0.36134973
167,-2.1008966,0.27938974
168,-2.240434,0.50161153
169,-1.3080763,0.601802
170,-0.993535,0.7869565
171,-1.5493499,0.48455784
172,-2.3647301,0.58763045
173,-3.8016644,0.60450363
174,-1.2557932,0.60847616
175,-3.1714995,0.44710603
176,-1.790407,0.32834327
177,-1.808702,0.61676955
178,-2.1477063,0.7316732
179,-1.6411623,0.823005
180,-1.705558,0.6508173
181,-1.6642898,0.78362525
182,-2.2433057,0.7401676
183,-2.4683442,0.47026926
184,-3.4442985,0.4981969
185,-1.0496433,0.78366387
186,-1.1534591,0.64095134
187,-2.2077594,0.80857176
188,-3.251608,0.45247656
189,-1.4874172,0.7384794
190,-1.5033033,0.86552477
191,-0.94909513,0.7969808
192,-2.0806062,0.553628
193,-3.1010077,0.42466414
194,-1.431993,0.6040642
195,-2.4244974,0.45759115
196,-2.1557572,0.6825051
197,-3.2988944,0.5375107
198,-1.0601524,0.6441414
199,-1.6617842,0.8212151
200,-3.1302698,0.45592377
201,-1.7684047,0.6658152
202,-2.9950268,0.44726527
203,-1.6371077,0.8185477
204,-1.9603741,0.8369339
205,-1.5044543,0.6564159
206,-1.2052232,0.6520121
207,-2.5103502,0.37304738
208,-1.6153967,0.8532433
209,-1.7209201,0.69739634
210,-1.9400476,0.6404381
211,-1.1743522,0.44875413
212,-1.7840695,0.7936484
213,-2.1396086,0.4142967
214,-3.1293797,0.47937402
215,-2.7881877,0.41923118
216,-1.046363,0.5603438
217,-2.6546025,0.39618048
218,-1.4287167,0.64770913
219,-2.6868832,0.3761897
220,-1.8686944,0.6901757
221,-2.4445379,0.3479277
222,-1.2875525,0.81342906
223,-1.2100632,0.8275659
224,-2.616827,0.3444644
225,-1.5021075,0.72741604
226,-2.240159,0.8252651
227,-1.1937269,0.95337194
228,-3.373069,0.41880548
229,-3.0151324,0.43185428
230,-1.7352816,0.68164265
231,-3.6582098,0.51023203
232,-2.5014253,0.43934733
233,-1.3649777,0.8017082
234,-1.444034,0.59607273
235,-2.3456244,0.56362325
236,-1.4018602,0.7788886
237,-0.79269725,0.7835892
238,-1.9380083,0.6943204
239,-2.769744,0.7468308
240,-1.1951137,0.55082333
241,-1.9232011,0.9160595
242,-2.9927824,0.47751132
243,-2.6302962,0.9191504
244,-2.7987912,0.41558114
245,-1.3240047,0.8335518
246,-3.2295048,1.2045053
247,-0.9791948,0.63317114
248,-2.2814698,0.79596454
249,-1.84506,0.76363647
250,-2.2340403,0.6755113
251,-1.7912197,0.745341
252,-2.077901,0.5897422
253,-3.7441444,1.6051738
254,-3.2041512,0.52254003
255,-1.1753522,0.82427555
256,-3.2595046,0.40267017
257,-2.6542108,0.3867253
258,-2.3818467,0.35839248
259,-2.8152277,0.40379792
260,-3.2838173,1.2770675
261,-3.0629156,0.4022221
262,-1.5174397,0.76103204
263,-1.2932677,0.71176326
264,-1.5031828,0.698783
265,-1.550887,0.5896521
266,-1.2998222,0.82816476
267,-2.5906947,0.34286872
268,-1.4222192,0.58134204
269,-2.6897979,0.34247726
270,-2.6151633,0.4091818
271,-3.117595,0.37549764
272,-0.7832686,0.658496
273,-1.7628272,1.2293005
274,-1.5024573,0.62700653
275,-1.1336625,0.5213956
276,-2.8137567,0.5244112
277,-3.022462,0.5306068
278,-1.651525,0.87841934
279,-2.1400087,0.4480152
280,-2.8505428,0.3539054
