,mean,sd
0,-1.411791,0.96512955
1,-1.8550459,0.9788259
2,-3.254586,0.608149
3,-1.2500533,1.5230788
4,-2.3386652,0.5441062
5,-1.5993122,1.4005201
6,-2.97934,0.7359181
7,-1.4960784,0.8176326
8,-2.7570424,0.49496812
9,-0.57087606,0.9223837
10,-2.6205037,0.39443716
11,-1.8860661,0.5138591
12,-2.409157,0.41651165
13,-2.9694545,0.5294929
14,-2.2508729,0.42900094
15,-1.9932424,1.0871537
16,-2.3329802,0.5506383
17,-2.2785718,0.50505173
18,-2.260382,0.39990276
19,-2.1905458,0.4389896
20,-1.9723089,1.3203562
21,-1.9069468,0.794543
22,-2.579939,0.50301164
23,-1.6126376,0.76248074
24,-1.3557113,0.69428027
25,-1.4516188,0.59297866
26,-0.96085215,1.1309587
27,-1.049732,0.67026675
28,-2.2320547,1.0724335
29,-2.0445466,0.8623562
30,-1.502116,2.2614012
31,-1.3667642,0.8760269
32,-2.4961536,0.4882049
33,-2.3663924,0.87024266
34,-1.7690724,0.8550289
35,-2.4252071,0.4555749
36,-1.6348622,1.0228595
37,-2.5869646,0.4682443
38,-0.65463823,0.8888432
39,-2.2186456,0.82905775
40,-2.4816797,0.9502309
41,-2.3721967,0.52826536
42,-2.07513,0.50444525
43,-2.762337,0.46796185
44,-1.7897183,0.8475118
45,-1.1897324,0.8799558
46,-2.4869597,0.5487315
47,-2.523599,0.6203487
48,-2.3663914,0.83195746
49,-2.4965417,0.5525484
50,-2.885066,0.5330997
51,-0.9179351,0.70808995
52,-2.3035986,0.4118658
53,-1.9912492,0.80240726
54,-1.4503772,0.7560094
55,-1.3237239,0.93531364
56,-2.4086976,0.4157659
57,-1.9151616,0.8639261
58,-1.7444521,0.8731985
59,-2.6900427,0.46805328
60,-1.2191728,0.7790344
61,-1.0122317,0.9186777
62,-1.9150679,0.45208687
63,-1.7363049,0.761761
64,-1.9276342,0.5531914
65,-1.9741068,0.9263441
66,-2.2710695,1.1626929
67,-0.96192646,0.8061016
68,-1.3731042,1.1969327
69,-2.0826738,0.80769444
70,-2.001541,1.0091672
71,-2.3084018,0.5069825
72,-1.4935654,1.1239203
73,-2.0411358,1.0656025
74,-2.0919948,0.43966398
75,-1.6001587,0.8279327
76,-2.3058925,0.45215797
77,-1.9555057,0.713242
78,-1.9699161,1.0313689
79,-2.3285456,0.45322427
80,-2.3792188,0.4542903
81,-2.5922284,0.5042615
82,-3.1251676,0.510055
83,-2.2717028,0.57629275
84,-3.193212,0.62608445
85,-2.201653,0.57745117
86,-2.07181,0.75160646
87,-2.5015523,0.47662446
88,-2.2908165,1.0948846
89,-2.107356,0.5166866
90,-2.9858706,0.5246048
91,-2.6528568,0.9352592
92,-2.4289432,0.4871081
93,-2.596322,0.93073606
94,-2.245866,1.0421168
95,-1.5723984,0.7889426
96,-3.0921671,0.5085079
97,-2.7422216,1.8652015
98,-2.9239295,0.5989006
99,-2.8555603,0.47643366
100,-0.6761094,0.79528576
101,-1.7266654,0.7142226
102,-0.76910603,0.8732489
103,-0.9387812,0.72015905
104,-2.3686104,1.2988483
105,-2.5215242,0.5219567
106,-1.5527506,0.819329
107,-1.8402644,0.7973537
108,-2.5139792,0.4010441
109,-1.341155,0.9841157
110,-2.5006325,0.51798946
111,-2.5528362,0.44220537
112,-1.6184306,0.8201047
113,-1.6663787,0.85217226
114,-2.1077707,0.8249632
115,-2.6644151,0.567362
116,-0.9650843,1.3109663
117,-1.470108,0.8315038
118,-1.9397677,0.8472045
119,-1.7391877,1.039604
120,-3.08102,0.52106506
121,-2.1779878,0.85072803
122,-2.8131518,0.5099171
123,-2.174328,0.42510748
124,-2.9166267,0.4368851
125,-2.4739726,0.45857453
126,-1.702504,1.7530448
127,-2.4619088,0.4192471
128,-2.6857274,0.58180964
129,-2.3835351,0.47634184
130,-3.1779294,0.54212815
131,-2.1840656,0.8883936
132,-3.8766685,0.64519787
