item_id,paired_id
0,0
1,3321
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,946
17,17
18,18
19,19
20,20
21,6568
22,4842
23,16412
24,18784
25,19388
26,5043
27,17106
28,28
29,29
30,1558
31,31
32,5350
33,5350
34,1864
35,35
36,1829
37,35
38,4040
39,39
40,1829
41,41
42,42
43,43
44,44
45,45
46,46
47,2614
48,1821
49,49
50,50
51,5506
52,5004
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,2548
68,68
69,125
70,70
71,71
72,72
73,73
74,74
75,2803
76,79
77,77
78,79
79,79
80,79
81,79
82,6844
83,5580
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,2236
94,94
95,95
96,96
97,5004
98,98
99,99
100,100
101,101
102,102
103,6703
104,104
105,12959
106,106
107,2901
108,108
109,1182
110,736
111,736
112,8928
113,4424
114,4424
115,1927
116,1182
117,736
118,118
119,119
120,120
121,1869
122,1625
123,123
124,124
125,125
126,126
127,127
128,128
129,3930
130,130
131,131
132,133
133,133
134,134
135,135
136,136
137,137
138,16665
139,16301
140,16301
141,141
142,142
143,143
144,144
145,13036
146,13036
147,13036
148,148
149,1433
150,150
151,151
152,7178
153,1500
154,154
155,5464
156,156
157,157
158,158
159,159
160,163
161,163
162,163
163,163
164,10326
165,7337
166,169
167,9399
168,168
169,169
170,170
171,171
172,6873
173,6873
174,174
175,175
176,2725
177,4097
178,4097
179,4097
180,4097
181,4097
182,182
183,2125
184,4911
185,3008
186,186
187,187
188,8470
189,11176
190,11176
191,191
192,191
193,193
194,191
195,195
196,196
197,197
198,1735
199,1747
200,1747
201,201
202,202
203,203
204,204
205,205
206,12483
207,204
208,208
209,209
210,210
211,211
212,2784
213,213
214,9705
215,215
216,215
217,215
218,218
219,219
220,13475
221,7979
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,208
230,230
231,231
232,232
233,232
234,5214
235,5456
236,5456
237,11661
238,12379
239,11661
240,14630
241,241
242,242
243,243
244,2891
245,245
246,875
247,247
248,2501
249,639
250,638
251,251
252,119
253,253
254,119
255,255
256,256
257,1959
258,258
259,259
260,6415
261,261
262,2768
263,263
264,264
265,265
266,266
267,267
268,1337
269,679
270,4421
271,271
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,1625
280,2550
281,7979
282,7979
283,7979
284,7979
285,7979
286,7979
287,7979
288,7979
289,289
290,290
291,291
292,521
293,293
294,294
295,295
296,296
297,297
298,4424
299,299
300,300
301,301
302,302
303,302
304,305
305,305
306,306
307,307
308,308
309,309
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,313
318,318
319,319
320,5268
321,321
322,322
323,4447
324,17482
325,325
326,325
327,325
328,325
329,325
330,4447
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,1041
340,340
341,341
342,342
343,343
344,7180
345,3179
346,7178
347,7178
348,348
349,349
350,2147
351,351
352,352
353,353
354,1770
355,355
356,356
357,3430
358,358
359,359
360,360
361,361
362,367
363,1735
364,364
365,365
366,366
367,367
368,7956
369,7956
370,370
371,371
372,372
373,14475
374,19880
375,1573
376,376
377,2997
378,378
379,920
380,380
381,381
382,382
383,383
384,384
385,385
386,5047
387,387
388,388
389,389
390,389
391,4031
392,4031
393,393
394,394
395,395
396,2454
397,397
398,2454
399,399
400,400
401,401
402,402
403,3046
404,404
405,9399
406,6722
407,6722
408,408
409,409
410,410
411,411
412,5431
413,9991
414,414
415,208
416,416
417,417
418,5880
419,17161
420,21187
421,17206
422,18466
423,424
424,424
425,424
426,426
427,17084
428,17084
429,5648
430,3768
431,3768
432,2690
433,1155
434,434
435,4809
436,2926
437,5880
438,417
439,417
440,417
441,19357
442,3253
443,4031
444,20802
445,3546
446,1358
447,125
448,448
449,449
450,450
451,679
452,452
453,453
454,454
455,5240
456,456
457,457
458,458
459,458
460,6797
461,6797
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,417
477,5880
478,478
479,125
480,480
481,481
482,482
483,483
484,484
485,485
486,486
487,487
488,488
489,7437
490,5732
491,4792
492,5732
493,493
494,494
495,493
496,493
497,497
498,498
499,499
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
510,510
511,511
512,512
513,513
514,514
515,515
516,516
517,8081
518,518
519,519
520,520
521,521
522,522
523,523
524,524
525,525
526,182
527,1735
528,2725
529,1735
530,2725
531,1735
532,1735
533,1136
534,2695
535,2695
536,2695
537,5007
538,538
539,539
540,5542
541,541
542,542
543,543
544,544
545,545
546,546
547,547
548,548
549,549
550,548
551,549
552,1599
553,554
554,554
555,555
556,558
557,558
558,558
559,5019
560,560
561,561
562,569
563,1465
564,564
565,565
566,566
567,567
568,568
569,569
570,570
571,571
572,572
573,573
574,574
575,575
576,576
577,579
578,578
579,579
580,579
581,581
582,582
583,583
584,584
585,585
586,4408
587,6932
588,6700
