alpha_u,alpha_i,ndcg,hit,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcghead@10,ndcgmid@10
0.3,0.01,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.3,0.05,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.3,0.1,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.5,0.01,0.2248,0.4423,0.9513,333.1639,0.705,0.9661,0.0016,0.1794,0.0438
0.5,0.05,0.2243,0.4423,0.9513,333.1639,0.705,0.9661,0.0016,0.179,0.0437
0.5,0.1,0.2238,0.4423,0.9513,333.1639,0.705,0.9661,0.0017,0.1786,0.0436
0.7,0.01,0.2178,0.425,0.9603,311.716,0.6993,0.9718,0.002,0.1739,0.0419
0.7,0.05,0.2101,0.4063,0.9614,293.8671,0.7035,0.9724,0.0023,0.1682,0.0397
0.7,0.1,0.208,0.4063,0.9614,293.8671,0.7035,0.9724,0.0024,0.1665,0.0392
0.9,0.01,0.1876,0.365,0.9518,266.8588,0.7284,0.9666,0.0029,0.1519,0.0328
0.9,0.05,0.1759,0.3403,0.9391,256.3893,0.7459,0.959,0.0031,0.1441,0.0287
0.9,0.1,0.1638,0.3403,0.9391,256.3893,0.7459,0.959,0.0034,0.1352,0.0253
0.99,0.01,0.1336,0.2785,0.8789,239.4547,0.7869,0.9207,0.0038,0.1162,0.0136
0.99,0.05,0.1191,0.2395,0.7973,232.7607,0.8096,0.8662,0.0039,0.1085,0.0067
0.99,0.1,0.1054,0.2395,0.7973,232.7607,0.8096,0.8662,0.0048,0.0951,0.0054
