alpha_u,alpha_i,ndcg,hit,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcghead@10,ndcgmid@10
0.3,0.01,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.3,0.05,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.3,0.1,0.2294,0.4583,0.8938,358.8958,0.7336,0.9314,0.0013,0.1832,0.045
0.5,0.01,0.2264,0.4477,0.9467,347.0105,0.7117,0.9633,0.0016,0.1809,0.0439
0.5,0.05,0.226,0.4477,0.9467,347.0105,0.7117,0.9633,0.0016,0.1806,0.0438
0.5,0.1,0.2257,0.4477,0.9467,347.0105,0.7117,0.9633,0.0017,0.1804,0.0436
0.7,0.01,0.2224,0.4383,0.9558,339.7418,0.7067,0.9689,0.002,0.1782,0.0422
0.7,0.05,0.2182,0.4288,0.9579,334.5381,0.708,0.9702,0.0023,0.1757,0.0403
0.7,0.1,0.2167,0.4288,0.9579,334.5381,0.708,0.9702,0.0023,0.1746,0.0398
0.9,0.01,0.206,0.4095,0.9527,328.0292,0.7205,0.967,0.0029,0.1685,0.0345
0.9,0.05,0.2004,0.399,0.9432,325.8732,0.729,0.9613,0.0031,0.1658,0.0315
0.9,0.1,0.1923,0.399,0.9432,325.8732,0.729,0.9613,0.0034,0.1606,0.0283
0.99,0.01,0.1784,0.3738,0.902,322.8892,0.7483,0.9358,0.0037,0.1545,0.0202
0.99,0.05,0.1726,0.3587,0.8505,321.8568,0.7587,0.9037,0.0038,0.1527,0.0161
0.99,0.1,0.1642,0.3587,0.8505,321.8568,0.7587,0.9037,0.0047,0.1445,0.0149
