alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.2281,,352.3926,0.7342,0.9288,0.0012,0.045,0.1819,0.2507,0.2317,0.1948
1.0,-1,0.2257,,332.4992,0.7162,0.9391,0.0014,0.0467,0.1777,0.2492,0.2294,0.1911
2.0,-1,0.2208,,310.8584,0.6984,0.9466,0.0015,0.0481,0.1712,0.2441,0.2246,0.1863
3.0,-1,0.2131,,288.1545,0.6814,0.9521,0.0017,0.0485,0.163,0.2369,0.217,0.1776
4.0,-1,0.1993,,262.2109,0.6694,0.9554,0.0019,0.0471,0.1504,0.2238,0.2031,0.1638
5.0,-1,0.1754,,226.2092,0.6745,0.9495,0.0018,0.0421,0.1315,0.203,0.1789,0.1373
6.0,-1,0.1343,,169.0426,0.7162,0.917,0.0016,0.0333,0.0994,0.1595,0.1363,0.103
1.0,0,0.2217,,316.9951,0.7032,0.9433,0.0015,0.0477,0.1726,0.2443,0.2256,0.1875
2.0,0,0.2108,,282.5237,0.6767,0.9532,0.0017,0.0489,0.1602,0.2337,0.2145,0.1766
3.0,0,0.1914,,242.273,0.6594,0.9573,0.0019,0.0476,0.1418,0.2132,0.1944,0.1605
4.0,0,0.1585,,184.7914,0.6677,0.9542,0.0021,0.0427,0.1138,0.1793,0.1592,0.1358
5.0,0,0.1051,,99.451,0.7296,0.9208,0.002,0.0343,0.0688,0.117,0.1008,0.1062
6.0,0,0.0552,,37.9772,0.8205,0.825,0.0016,0.0244,0.0292,0.0538,0.0486,0.0763
1.0,1,0.2199,,320.5363,0.7067,0.9407,0.0014,0.0471,0.1715,0.2412,0.2238,0.187
2.0,1,0.2114,,300.1784,0.6919,0.9467,0.0015,0.0475,0.1624,0.2326,0.2151,0.1792
3.0,1,0.2018,,281.904,0.6837,0.9475,0.0016,0.0474,0.1528,0.2214,0.2047,0.1734
4.0,1,0.1911,,263.3094,0.679,0.9494,0.0017,0.0468,0.1426,0.2084,0.1931,0.1677
5.0,1,0.1799,,243.7581,0.676,0.9508,0.0017,0.046,0.1322,0.1953,0.1805,0.1629
6.0,1,0.1697,,225.6164,0.674,0.9506,0.0017,0.0453,0.1227,0.183,0.169,0.1587
