,cohens_d
0,-2.295687490837381
1,-2.410262087772778
2,-1.865176531121596
3,-2.493809947959192
4,-2.621168207541888
5,-2.1304722875690127
6,-2.321534987524136
7,-2.3207772632674972
8,-2.755199347567977
9,-2.4634089198721085
10,-1.9486413387167232
11,-2.0607470743064478
12,-2.3655991415991653
13,-1.8505083205859096
14,-2.6053509574973246
15,-2.0953774325781622
16,-2.4066655386341305
17,-1.1715469743217641
18,-2.422015393220753
19,-1.906042827106518
20,-2.0247074106483804
21,-2.185741998909772
22,-2.6702744024108522
23,-2.2158398959121026
24,-1.7298097592418868
25,0.6557068858247308
26,-2.17785781074673
27,-2.15782286490377
28,-1.7339531799641719
29,-2.1868930077397164
30,-1.8764735018812544
31,-2.162113352086282
32,-1.407058394724787
33,-2.5928004542417513
34,-2.4758349359639102
35,-2.353124802580818
36,-2.793412959040553
37,-1.9295498618068088
38,-1.912117659364454
39,-2.186208872327143
40,-1.9513756835830327
41,-1.70145682813638
42,-2.3303974534150758
43,-1.3479184264953763
44,-2.207086375486071
45,-2.3009731580272486
46,-2.042539770597134
47,-2.4675442287307767
48,-2.0775874522790923
49,0.21249584682346156
50,-2.351015452959067
51,-2.5622130271930086
52,-2.7981249780668525
53,-2.3044969172064094
54,-2.450846076861335
55,-2.733386489822653
56,-2.7746490692417427
57,-1.8746455418877221
58,-2.2900512607861843
59,-2.0790442565884675
60,-1.7733492122634817
61,-1.7927585816415725
62,-2.4868350150996665
63,-2.683000724410558
64,-2.4682297858120488
65,-1.6649012344142624
66,-2.6680602498034665
67,-1.8806248863207182
68,-1.5687984107818758
69,-1.5224737761812184
70,-2.8271387078484906
71,-2.3845439730611933
72,-2.2542308633647825
73,-1.4059768246229398
74,-1.9058134088654843
75,-2.094713955368224
76,-2.0880995745998243
77,-1.9500611458224308
78,-2.4174246146816016
79,-2.8045994468303506
80,-2.454751030586163
81,-2.3804901006414574
82,-2.7395521255767594
83,-1.475858116957435
84,-1.8774086368356673
85,-2.431617040629282
86,-2.679799495678916
87,-2.300520859349928
88,-2.3271093478099254
89,-2.520866092760637
90,-2.3724366758734727
91,-1.9495125328356668
92,-1.8654131698968133
93,-1.8451044367130753
94,-3.078720168858877
95,-2.9158029455620955
96,-2.017444618906852
97,-2.6254265757463586
98,-2.5945455442662597
99,-2.7515238568769185
100,-2.208903977597209
101,-2.1713186576946395
102,-2.138343668861962
103,-1.9245073559097567
104,-1.9527504343279924
105,-2.809391798237747
106,-2.89716327549039
107,-2.4280774872004236
108,-1.6919346985992523
109,-1.7345113033125619
110,-1.7513718168697894
111,-1.858809696632441
112,-2.7125705790394457
113,-2.1110565671425836
114,-2.037607698114526
115,-1.6846433410214725
116,-2.781078220029419
117,-2.162868837020472
118,-2.442946310484651
119,-2.614033826416682
120,-3.0775920509468078
121,-2.0530039260368698
122,-2.55871375117335
123,-2.804672939072222
124,-2.5093631644602015
125,-1.9516129993012061
126,-1.5915036792570043
127,-2.3863507963177617
128,-2.116687234661626
129,-2.203795926177498
130,-0.9095872698656036
131,-2.3473985042783476
132,-2.546699485648357
133,-2.0817601450699046
134,-1.6813539320344104
135,-3.128980389064808
136,-2.0999016735723526
137,-2.1940553231343736
138,-2.5358390231139043
139,-2.588637411515285
140,-2.6904921804095254
141,-1.917777241302978
142,-2.6757567525487924
143,-2.6842322160231036
144,-2.1354539607479333
145,-2.260285619374348
146,-2.920329643009477
147,-1.9055362748070532
148,-2.0679876063150826
149,-2.650726131608979
150,-2.2092890893045194
151,-2.390601531818687
152,-2.0616312388567737
153,-2.742528490371106
154,-2.5489888582384532
155,-2.231820133035017
156,-1.968755563836758
157,-2.2058123500456723
158,-2.1390234838484954
159,-2.0225269194879885
160,-1.6556041378069593
161,-1.716892085170631
162,-2.391941534536468
163,-1.6877484005248378
164,-1.6067554556303605
