,mean,sd
0,-0.4626979,1.0394199
1,-0.6976085,0.69075096
2,0.33182743,0.5455192
3,-0.4568787,0.88325894
4,0.23143665,0.582138
5,-3.6028275,1.6921334
6,-1.0888042,0.8945863
7,-0.052747425,0.63266015
8,-0.31081414,0.75100124
9,-1.5977695,0.7711681
10,-0.011708688,0.6923762
11,-0.017992279,0.65753776
12,-1.4693298,1.0221233
13,0.17326778,0.6305761
14,-1.9180379,0.8791298
15,-1.6980846,0.9090904
16,-0.103212655,0.65057975
17,-4.3447304,0.7944391
18,0.17059551,0.68802625
19,0.4911972,0.52715665
20,0.18790182,0.58981603
21,-0.6336381,0.7019628
22,-1.0901221,0.92600936
23,-0.42122293,0.65868664
24,-1.2716968,0.73468167
25,-2.1554906,0.994823
26,-1.3528038,0.6813701
27,-0.55054384,0.7599639
28,-2.0018852,1.0040096
29,-0.30739102,0.7725072
30,0.013119017,0.576391
31,-0.009703409,0.71255034
32,-0.8858269,0.685356
33,-0.056378096,0.6797424
34,-1.5580626,0.8325178
35,-0.52680284,0.7724786
36,0.08330433,0.6091038
37,-0.5702703,0.69724965
38,-0.7012923,0.7837971
39,-2.6111097,1.4741977
40,-0.3641621,0.52955955
41,-4.499587,0.8026597
42,-0.3932123,0.60800487
43,-0.6246357,0.96638554
44,-1.4145819,0.8735282
45,-0.60114074,0.8450636
46,0.16979168,0.6790554
47,-0.034220662,0.70262516
48,-2.6657445,1.3545972
49,-1.7609437,0.9281164
50,-0.2684375,0.86622214
51,-0.9036848,0.74209017
52,-0.063189566,0.6141756
53,-0.68918794,0.68416435
54,-0.46716797,0.6342703
55,0.2838094,0.57811874
56,-1.0302197,0.8237647
57,-0.95713496,0.7820533
58,-1.6329805,0.81621474
59,-0.5167778,0.70470196
60,-2.3328292,0.8284722
61,0.25185573,0.6418142
62,-2.888286,0.9583832
63,-0.06519713,0.6822672
64,-1.8262554,0.8487146
65,-0.124441795,0.56506205
66,-1.240896,1.109129
67,-0.5906802,0.65198535
