,mean,sd
0,-7.7375584,1.7242643
1,-4.6731668,1.0102979
2,-3.804051,0.7102439
3,-5.698488,1.5029011
4,-5.593257,1.5367976
5,-4.0920076,0.8659763
6,-5.7323995,1.2744689
7,-6.131235,1.3494617
8,-5.4843574,1.4309285
9,-5.0487666,0.997955
10,-4.1496077,0.893829
11,-8.579728,1.891265
12,-5.4416113,1.324701
13,-5.1035457,1.3244455
14,-5.421732,1.2849442
15,-5.5880113,1.4211295
16,-5.195469,1.4585897
17,-9.029738,2.104485
18,-5.321422,1.3395748
19,-4.32042,0.9147693
20,-6.2809205,1.3085487
21,-7.1297717,1.5424839
22,-6.10158,1.5633963
23,-5.7534695,1.3704896
24,-4.645018,1.1387429
25,0.40048233,1.6386876
26,-5.4959035,1.252619
27,-5.4995384,1.1667796
28,-6.733425,1.7412066
29,-5.764243,1.2189957
30,-6.715276,1.7000403
31,-5.2547436,1.2908356
32,-4.496504,0.89297354
33,-5.5022607,1.5214902
34,-6.0576806,1.6933144
35,-4.934769,1.3156346
36,-6.0114174,1.3554329
37,-5.6093264,1.3375776
38,-4.5640635,0.97305197
39,-5.9634576,1.2815485
40,-6.3818493,1.6348855
41,-7.733037,1.8816795
42,-5.2461305,1.2692951
43,-5.3860435,1.0556468
44,-9.737775,2.2137508
45,-5.8470793,1.2565289
46,-4.371067,0.98066974
47,-4.9613414,1.1709989
48,-6.825294,1.6315243
49,0.07113637,1.9774886
50,-5.9592075,1.1363344
51,-5.431529,1.3327372
52,-7.7021985,1.6973126
53,-5.073288,1.4315904
54,-5.8161244,1.4064453
55,-6.629317,1.792069
56,-6.2223597,1.4182668
57,-5.9506288,1.1839123
58,-5.458988,1.3370963
59,-6.855531,1.6805515
60,-4.2596846,0.8360695
61,-4.2965484,0.9047635
62,-5.9079075,1.2029982
63,-5.9513936,1.6001682
64,-6.8391695,1.5457377
65,-4.9249334,1.204926
66,-7.395808,1.7004919
67,-5.8711705,1.4463817
68,-3.4515035,0.77099663
69,-3.9957886,0.90431756
70,-6.1138477,1.5899466
71,-5.838357,1.4608301
72,-6.4629784,1.4498497
73,-7.0793004,1.3668365
74,-4.8916717,1.0062027
75,-4.303314,1.0628158
76,-4.884972,0.9351104
77,-6.0018506,1.3657762
78,-5.4038014,1.5387275
79,-5.063261,1.5171994
80,-7.167694,1.4821079
81,-5.327902,1.3811235
82,-5.8772416,1.5055207
83,-7.6150804,1.7326307
84,-3.9646146,1.0921007
85,-5.874559,1.2652829
86,-5.5268407,1.6139615
87,-6.2379456,1.3558577
88,-5.9264345,1.5074246
89,-6.554104,1.5872772
90,-6.836794,1.3429471
91,-6.7143946,1.4336455
92,-6.033138,1.4638395
93,-3.4223206,0.67203933
94,-6.2643404,1.5018321
95,-6.0630126,1.5360646
96,-4.9344044,1.1694199
97,-6.1653643,1.6416079
98,-6.586183,1.5438997
99,-5.8566933,1.2724268
100,-6.3027205,1.3480597
101,-4.7135267,1.0889055
102,-5.243057,1.3464788
103,-5.709276,1.4750057
104,-4.1306334,0.8271864
105,-5.5644875,1.5897285
106,-4.179196,1.0640795
107,-4.3452406,1.0148041
108,-3.9047558,0.9806835
109,-4.2682433,0.9108348
110,-6.0630565,1.7270123
111,-3.7046802,0.8447733
112,-6.42811,1.6533312
113,-4.2857375,1.0942184
114,-4.7164407,0.9451393
115,-7.5864186,1.5700105
116,-6.095102,1.4122803
117,-6.4276958,1.5459793
118,-6.388761,1.9018779
119,-5.1717353,1.1529503
120,-5.810222,1.4752067
121,-5.72734,1.3280743
122,-5.97641,1.3727208
123,-5.1390867,1.3220025
124,-5.4655113,1.2756186
125,-5.9644556,1.2417835
126,-4.5185375,1.0041332
127,-6.127195,1.6112133
128,-5.1854568,1.3227121
129,-6.2998204,1.6285503
130,0.5779106,1.4662877
131,-8.1418295,1.7195007
132,-5.5193315,1.4827579
133,-4.0432234,1.043717
134,-5.2589107,1.2336619
135,-6.113066,1.4355463
136,-7.461461,1.7220668
137,-6.577092,1.5249903
138,-6.1077247,1.7607652
139,-5.2177277,1.4026707
140,-5.1301966,1.3099552
141,-6.0307426,1.4944063
142,-6.2058277,1.3660263
143,-5.4273267,1.3609335
144,-4.1444597,0.8638239
