,mean,sd
0,-0.53335047,0.9247577
1,-0.68441755,0.7000797
2,0.32668364,0.5637812
3,-0.1498373,0.9253501
4,0.047418624,0.5493488
5,-2.7127323,1.7860563
6,-0.91696393,0.80237013
7,0.3112734,0.6603013
8,0.12716517,0.6997764
9,-0.5126755,0.8443574
10,-0.5741537,0.7548851
11,0.07684517,0.73823696
12,-1.6698978,1.0214006
13,-0.0702592,0.64873624
14,-1.1004754,0.842011
15,-1.0623597,0.9267382
16,0.108879045,0.6861653
17,-2.8715203,0.7659443
18,-0.12630554,0.75557715
19,-0.2520554,0.61006004
20,-0.3706028,0.68459725
21,-0.21918721,0.67193943
22,0.16151424,0.91796535
23,-0.561918,0.7589112
24,-0.6920314,0.771665
25,-1.4057406,0.9959591
26,-1.2417623,0.7776885
27,-0.5944136,0.6625608
28,-0.5657962,0.82166857
29,-0.34606683,0.84933454
30,-0.4084489,0.66234833
31,0.26790044,0.7040472
32,-0.6616629,0.7601495
33,-0.2641473,0.62314427
34,-0.6634152,0.86297786
35,-0.045772668,0.84488165
36,0.341915,0.58481973
37,-0.22699787,0.7712644
38,0.13906679,0.85640717
39,-2.07608,1.6123838
40,-0.1752556,0.6090068
41,-3.0490272,0.8605398
42,0.11122013,0.630831
43,-0.2711686,1.1301423
44,-1.1303039,0.8281307
45,-0.49678868,0.8216565
46,0.15536654,0.6823474
47,0.23111752,0.6522391
48,-1.6062094,1.5035584
49,-0.17697832,1.1030394
50,-0.68796176,0.8284375
51,-0.73853606,0.74345297
52,-0.1135137,0.64127904
53,-0.10820635,0.70626235
54,0.067210644,0.6664744
55,0.15932694,0.6274063
56,-0.9922635,0.7975661
57,-0.59298605,0.79767495
58,-0.3410478,0.8810152
59,-0.20679194,0.78068966
60,-1.5127906,0.8205491
61,-0.12049805,0.7334531
62,-1.2330811,0.916317
63,-0.21225324,0.7367294
64,-0.977509,0.8813976
65,-0.2779392,0.59703547
66,-1.2046925,1.0297741
67,-0.5266651,0.69400454
68,0.34921646,0.7225417
69,-0.96539503,0.8258
70,-0.4249634,0.6412443
71,-1.2507025,1.0318705
72,-0.24662834,0.64646757
73,-0.25681493,0.8771748
74,-0.41826543,0.5952371
75,-0.2605114,0.67501754
76,-1.697875,0.97240883
77,-0.115122214,0.7044723
78,-0.41299665,0.7918041
79,-2.9946907,1.6320387
80,-2.341121,0.8870943
81,-0.8788869,0.8399902
82,-0.5325798,0.7853159
83,-1.9730902,2.618272
84,-3.0131464,0.95058256
85,-0.50974065,0.9010371
86,-0.19513328,0.6965723
87,0.37182525,0.5191657
88,-0.8331921,0.6754929
89,-0.48506624,0.6756619
90,-0.57983875,0.8169011
91,-2.8718426,0.89225066
92,-0.48524773,0.7211989
93,0.2622775,0.8035432
94,-1.0196838,1.0589242
95,-2.4691694,0.76980186
96,-2.3124092,0.86484665
97,-0.65347457,0.892847
98,-2.402077,0.7457914
99,-0.5621843,0.9265376
100,-1.0849208,0.8342178
101,-0.65235156,0.8887664
102,-1.7519708,1.4084845
103,-2.9945214,0.9238736
104,-0.58909315,0.6438492
105,-0.019227838,0.7883703
106,-1.6234242,0.94954556
107,-0.3895929,0.7293019
108,-0.06970832,0.6311056
109,-0.1702874,0.78978807
110,-3.0302124,0.89784694
111,-0.274481,0.70937836
112,-0.6830219,0.712099
113,-0.6075386,0.8062561
114,0.31892508,0.63878447
115,-0.5645254,0.8182826
116,0.1860802,0.72828156
117,0.2714973,0.62765235
118,-0.53163636,0.74832696
119,-1.4990004,0.91130584
120,-0.53976065,0.868127
121,-0.48243645,0.7118997
122,-0.30854785,0.87494457
123,-0.29812062,0.71922296
124,-0.35976005,0.8263119
125,-0.27853915,0.7258957
126,-0.21956621,0.6552075
127,-0.8446361,0.84670925
128,-1.4051477,0.89108765
129,0.27294612,0.75082946
130,-0.8576047,0.66442996
131,0.06298211,0.8005469
132,-0.13112436,0.74338984
133,-0.4131472,0.87244105
134,-0.3981466,0.8829506
135,-0.9035562,0.84659445
136,-0.07391455,0.6844513
137,-0.5107867,0.730918
138,-1.0339783,0.9333947
139,-0.14210886,0.7818684
140,0.28678972,0.7422679
141,-1.0687172,0.83548194
142,-2.5241394,0.8851111
143,0.14773029,0.7253691
144,-0.32045546,0.6734964
145,-0.87077135,0.831
146,-2.1443734,1.5150901
147,-0.24106148,0.7363365
148,-1.088157,0.97374916
149,-0.5270866,0.8548444
150,-1.3495471,0.8098948
151,0.10235086,0.648626
152,-1.0716381,0.8810512
153,0.22684613,0.6982887
154,-2.7246118,0.8396443
155,-0.10995966,0.6682956
156,0.2121825,0.70059586
157,-0.84047925,0.8974317
158,-0.90357244,0.79092896
159,-0.25968087,0.72332203
160,-2.644077,0.86659795
161,-0.16334246,0.5925464
162,-2.6119072,0.74510217
163,-1.1682272,0.8644346
164,-0.36006707,0.64188814
165,-0.6762614,0.69511765
166,-1.2685207,0.8973737
167,-0.1926828,0.7086336
168,-3.0842743,2.35998
169,0.195671,0.72408664
170,-0.101051785,0.6742847
171,0.03213445,0.6731554
172,-2.8929565,0.88072985
173,-1.4517789,0.88395417
174,-0.5819605,0.6662747
175,-0.5716288,0.7241286
176,-0.6463948,0.64689016
177,-0.09428408,0.8584592
178,0.13633256,0.66602045
179,0.13260622,0.5603128
180,-0.18019627,0.828331
181,-0.2459002,0.8426558
182,-2.2392328,0.82682467
183,-2.9599314,0.86953133
184,-0.812658,1.4678571
185,0.4686261,0.58965904
186,0.17802668,0.7104638
187,-2.8769135,0.78520566
188,-0.9616937,0.9012836
189,-0.4486152,0.6483809
190,-0.019745795,0.7344883
191,-0.33831215,0.67914647
192,-0.18733427,0.6177523
193,-0.15478477,0.7401416
194,-0.088029206,0.60733515
195,-1.3679363,0.9036915
196,-0.27303398,0.90294856
197,-0.81054217,0.89783925
198,0.03932059,0.73900133
199,-0.18602413,0.8285931
200,-0.16670635,0.794523
201,-0.541734,0.7071345
202,-0.2202156,0.7182442
203,-0.6969689,0.7121082
204,-0.2198036,0.82064736
205,-3.1364212,0.9183591
206,-0.8313991,0.8785015
207,0.088443756,0.57459676
208,-1.493882,0.89797264
209,-0.9924125,0.8038763
210,-2.9223065,0.8886985
211,-1.0557274,0.8036919
212,-0.8444562,0.8473823
213,-2.6947875,0.85895854
214,-2.8857114,0.9199817
215,-0.1539715,0.57372266
216,-0.21524571,0.72793806
217,-2.55981,0.8863976
218,-2.296174,0.88172597
219,-0.9590731,0.7626652
220,-2.6578808,0.8129532
221,-0.16277362,0.7225441
222,-0.088464946,0.5818883
223,-0.64233536,0.81110907
224,-2.9442334,0.8819523
225,-0.1653571,0.82015216
226,-0.47026187,0.6650033
227,-0.45734224,0.73098445
228,-0.49678886,0.7559216
229,-1.0519595,0.79036635
230,-1.0215905,1.078184
231,-0.19295937,0.66778123
232,-1.2949913,0.82918036
233,-0.060634412,0.76142424
234,-0.07485625,0.8005098
235,-0.08839276,0.72739905
236,-0.13227853,0.6979053
237,-2.9504113,0.97634083
238,-0.48460373,0.83136946
239,-0.34463134,0.7099541
240,-0.9865891,0.7330016
241,0.34147164,0.57643116
242,-0.76580584,0.75705564
243,0.04261855,0.7143275
244,-0.9211372,0.93535024
245,-1.0425892,0.8723486
246,-0.5713421,0.84340197
247,-1.2687296,0.842611
248,-0.99921143,0.8937598
249,-0.83601624,0.9039618
250,-0.56569266,0.702651
251,-0.20616177,0.74009633
252,-2.14016,1.4948798
253,-0.1818034,0.61110353
254,-2.7129176,0.782733
255,-2.7767944,0.8276585
256,0.007876114,0.83275557
257,-0.011991198,0.85475636
258,-0.010415566,0.9222556
259,-0.23428284,0.6803254
260,-0.097408146,0.7508546
261,-0.7384354,0.896762
262,-0.40393558,0.7428997
263,-2.6485162,0.88789845
264,-2.7468839,0.868465
265,-0.29076153,0.7607044
266,0.27541175,0.72719675
267,-0.03289185,0.75157654
268,-2.8457105,0.8226308
269,-2.6861737,0.80395377
270,0.15335968,0.5957288
271,-0.38529527,0.74776137
272,-1.3638337,0.88091654
273,-0.18460567,0.8122622
274,-0.2247477,0.6648303
275,0.23543495,0.6206911
276,-1.0176964,1.2034369
277,-1.6074351,0.9071042
278,-0.62033826,0.7424416
279,-0.7593779,0.72762203
280,-1.7264752,0.8905335
281,-0.4577336,1.0763603
282,-0.842734,0.7665618
283,-0.6328165,0.8874039
284,0.2138779,0.68023723
285,-0.4942662,0.7332018
286,-2.698444,0.7687819
287,-0.53538805,0.8253971
288,-2.660702,0.72840077
289,-0.5039711,0.64810264
290,-0.34562024,0.84011894
291,-0.8727121,0.85598963
292,0.019999987,0.6168043
293,-2.4304137,0.8150316
294,-0.5369524,0.7636912
295,0.001017423,0.8316485
296,-0.8258894,0.7499955
297,-0.39995566,0.6971102
298,-1.085549,0.8542015
299,-2.9103553,0.78185934
300,-0.442605,0.96983325
301,-2.5476055,0.76645815
302,-1.2537996,0.87705886
303,-0.6122399,0.8253079
304,-0.44604626,0.77027655
305,-0.698553,0.8779449
306,-0.8796347,0.75733113
307,-2.7893708,0.8631147
308,-0.034745228,1.071845
309,0.06409775,0.58623594
310,0.14781913,0.7234818
311,0.14663465,0.7818465
312,-0.319707,0.6743648
313,-0.56406415,0.73268646
314,-0.19914475,0.7069845
315,-0.20541783,0.7234686
316,-2.5917275,0.93540883
317,0.07451223,0.58115447
318,-0.30865094,0.6785442
319,-2.657387,0.88960946
320,-0.42177022,0.87129575
321,0.1158025,0.6268775
322,-0.9451254,0.8247936
323,-0.796215,0.7379728
324,-2.5971537,0.8972483
325,-1.3816162,0.86226714
326,-0.9750219,0.8523627
327,-2.7126594,0.7869804
328,-0.47012442,0.77642953
329,-2.6442323,0.7883811
330,-0.36364838,0.8488355
331,-0.04807891,1.0507425
332,-0.6380722,0.8748179
333,-3.2307608,0.9240615
334,-0.08376381,0.66913193
335,-0.22910075,0.890854
336,-2.546162,0.8234277
337,-0.87739104,0.8474305
338,-0.9495507,0.8317427
339,-1.2549601,0.9284245
340,-1.027018,0.75772303
341,-0.061673097,0.813723
342,-0.27693683,0.6685189
343,-1.462384,1.1967942
344,-0.11240114,0.64703846
345,-0.3163392,0.7444471
346,0.07598379,0.83272046
347,-0.16203731,0.69435567
348,-2.1567512,0.76584196
349,0.28449795,0.60297483
350,0.029408641,0.59331155
351,-0.19980435,0.7838325
352,-2.6326566,0.809552
353,0.020352533,0.68314916
354,-1.0728172,0.81903034
355,-1.6072879,1.3268881
356,-0.00992158,0.7259261
357,-0.058639098,0.65618956
358,-0.86999774,0.87946963
359,-0.36945876,0.6293688
360,-1.5154985,0.9534418
361,-0.45671883,0.7727423
362,-1.079836,0.95123094
363,-1.9805108,0.708457
364,-0.87653273,0.8304524
365,-1.6868416,1.6621239
366,-1.738719,0.96219295
367,-2.836482,0.91227746
368,-0.64499366,0.77148765
369,-0.90522116,0.8586886
370,-0.36424395,0.6417365
371,-0.14728975,0.8239579
372,-2.9544234,0.84553677
373,-0.25628608,0.70279264
374,-0.4555176,0.7730761
375,-0.48277894,0.7373068
376,-1.1759326,1.6585498
377,0.013737243,0.6643367
378,-0.44440323,0.5345788
379,-1.1724154,0.90859824
380,0.040720567,0.6686396
381,-2.1095796,1.6260548
382,-0.36655852,0.7606902
383,-2.3581057,0.79792446
384,-0.1471398,0.7911755
385,-0.85878426,0.83780575
386,-2.5510378,0.98261327
387,-0.7544958,0.7786581
388,-2.304644,0.79361147
389,-0.19760022,0.74197584
390,-0.60602295,0.72532254
391,-0.361949,0.7128017
392,-0.9605031,0.79331136
393,-0.40386844,0.79152834
394,-0.15636878,0.75197464
395,-1.0144709,0.82028097
396,-1.4710318,0.9579973
397,0.009613743,0.8195356
398,0.019810056,0.7512725
399,-0.20039661,0.70509374
400,-1.5192004,0.8493818
401,-0.58811384,0.85381895
402,-0.2778254,0.6966686
403,0.083190024,0.7334122
404,0.5834171,0.8902933
405,-0.57386434,0.7541713
406,0.35883567,0.73181695
407,-1.1604401,0.92698926
408,-0.53787506,0.7559084
409,-0.26800656,0.80237234
410,-0.14377993,0.72724795
411,0.13682574,0.71583307
412,-2.7254264,0.851967
413,-1.1151228,1.3066361
414,-0.9090183,0.84145665
415,-0.02832149,0.66445434
416,-3.0055773,0.7889274
417,-0.4635309,0.6987607
418,-0.73209184,0.8631817
419,-1.1927527,1.2122549
420,-2.0514607,0.73678815
421,0.25488836,0.5641184
422,-2.8394384,0.82342464
423,0.36312595,0.64141333
424,-1.3126917,0.96765095
425,-0.22490177,0.7275298
426,0.06609218,0.7115576
427,-0.45194957,0.76216877
428,-0.19576953,0.751355
429,-0.07902442,0.6299743
430,-1.0859668,0.7817113
431,-0.35765454,0.7074321
432,-1.1700635,0.86209077
433,-0.56741434,0.78246325
434,-0.15640473,0.76640356
435,0.19894223,0.7654552
436,-0.7470978,0.84744424
437,-0.09956159,0.6088046
438,-0.8203224,0.8774549
439,-0.20079392,0.69832206
440,-0.78839755,0.86358714
441,-0.03146194,0.73493165
442,0.37618473,0.6047754
443,-0.38870898,0.7441274
444,-0.24270298,0.8145187
445,0.3954473,0.6814624
446,-0.22530478,0.82564753
447,-0.16771111,0.73691964
448,-0.34918937,0.82312995
449,-0.06451992,0.69894856
450,-0.25979954,0.65005237
451,-0.5001379,0.67630863
452,-0.25859717,0.6453659
453,-1.4873023,1.5756199
454,-2.8664477,0.8574781
455,-1.933458,1.0055366
456,-1.8515936,1.4090598
457,-0.72231925,0.70754594
458,-0.37905875,0.82074803
459,-2.1650896,0.706717
460,-1.2688177,1.4526595
461,-2.325433,0.74681526
462,-0.06017329,0.7743963
463,0.08506445,0.68094766
464,-0.82047683,0.7885533
465,-2.907732,0.88045764
466,-0.7735208,0.89527386
467,-0.431036,0.845333
468,0.40263078,0.70848626
469,-2.5229518,0.894087
470,-1.3259381,1.0866712
471,-0.3503911,0.7768952
472,-1.2196018,0.98893714
473,-0.21916576,0.8196542
474,-0.92354035,0.8694284
475,-0.4314841,0.8691764
476,-1.4794992,1.4557426
477,-1.1825653,0.8788109
478,-0.5393368,0.74710464
479,-0.71987146,0.7540273
480,-0.13082886,0.8635766
481,-1.3118664,0.82165325
482,-2.4802485,0.83083314
483,-0.21012978,0.53546995
484,0.261499,0.69559324
485,-2.873932,0.87716097
486,-0.6556671,0.8347874
487,-0.050793953,0.83966434
488,-1.5223256,1.5552108
489,-0.009609349,0.7295509
490,-1.167814,0.8443125
491,0.09731174,0.69090885
492,-0.73190117,0.7758659
493,0.013307851,0.7742735
494,-0.48611167,0.81253135
495,-0.69484466,0.7464527
496,0.022746406,0.6854154
497,-0.653614,0.9211753
498,-0.49965653,0.5886504
499,-0.8756111,0.84573525
500,-1.1859901,1.0099326
501,-0.46998298,0.7218193
502,-1.1468512,0.8165016
503,-1.2372113,0.85988617
504,-2.7071137,0.77218103
505,-0.2172408,0.73232764
506,-2.288715,0.90044
507,-1.2908632,0.9496036
508,-0.78573394,0.70509005
509,0.2735363,0.81168264
510,-0.81541175,0.8329988
511,-0.8446054,0.7649663
512,-0.8234607,0.7469912
513,-0.46635956,0.8036755
514,-0.34202546,0.7467401
515,-0.032848794,0.8234402
516,-0.09909762,0.83487684
517,-0.85360885,0.9097847
518,-0.5029276,0.71680915
519,-0.59452826,0.81913906
520,-0.196976,0.6965738
521,-0.8341887,0.8583762
522,-0.20233406,0.6525755
523,-1.0636008,1.15215
524,-1.0126189,0.815023
525,-2.8331845,0.81996375
526,-2.4529502,0.7959778
527,-2.4684675,0.8520102
528,-1.0939727,0.91614485
529,-0.17965256,0.6228718
530,-0.6257873,0.8185282
531,-1.0755258,0.82369983
532,-0.20474072,0.70596814
533,0.26996943,0.62424815
534,-0.36668408,0.7373744
535,0.28640598,0.63614625
536,-0.5450907,0.76756924
537,-0.6835565,0.81772685
538,-0.10873989,0.80673313
539,-0.03009629,0.56095046
540,-0.91529864,0.85718596
541,0.028813692,0.670209
542,-0.47961676,0.71091396
543,-0.82665545,0.7901401
544,-0.26925907,0.87968636
545,-0.7473793,0.8043976
546,-0.57731175,0.71037096
547,-0.88957644,0.7586522
548,0.5359238,0.9501555
549,0.14144665,0.7400819
550,-0.76999635,0.79010916
551,-2.8070462,0.83761907
552,-0.7210061,0.8732109
553,0.06500295,0.7174265
554,-0.087074645,0.58759654
555,0.32942605,0.7448146
556,-1.4001938,0.90355784
557,-0.5076503,0.6825324
558,-0.34313118,0.6729024
559,-0.6845757,0.7666088
560,-1.3886142,0.9187865
561,-0.5104875,0.7834374
562,-0.53228986,0.78968
563,-1.0216174,0.7773032
564,-0.6343164,0.8208388
565,-0.8204452,0.76755464
566,-2.8237057,0.8304574
567,-0.10320398,0.74011356
568,-0.054570094,0.5403293
569,-0.40687802,0.75750333
570,-1.4301845,1.2830058
571,0.48783356,0.7675009
572,-1.4829727,1.2981199
573,-0.46973038,0.9160869
574,-0.32672706,0.86533123
575,0.15042001,0.7758731
576,0.3237085,0.5507425
577,-0.2629328,0.7212804
578,-0.09705987,0.95039815
579,-0.83701897,0.83049005
580,-0.56292635,0.8437807
581,-0.24921,0.78837174
582,0.08129546,0.6384313
583,0.14699961,0.71406806
584,0.13425921,0.76987296
585,-1.0526907,0.7986341
586,-1.265521,1.0385822
587,-2.9577363,0.9155336
588,-0.62530065,0.7711728
589,-1.4096981,0.97499764
590,0.30135983,0.5769595
591,-0.8963792,0.7382994
592,-0.9805365,0.86280566
593,-0.29671752,0.6718361
594,-1.6900249,2.258884
595,-0.5298333,0.76959157
596,-1.0703058,0.90415144
597,-0.46614206,1.3864872
598,-2.705431,0.7950462
599,-3.0280921,0.90516454
600,0.44369492,0.76867616
601,0.055513393,0.8010912
602,-0.08640442,0.7510126
603,-0.3537704,0.72609234
604,-0.5350995,0.8283179
605,-0.31776178,0.7821925
606,-0.8593745,0.84320295
607,-0.8220813,0.7493213
608,-1.7290019,1.0575217
609,-1.116182,0.8790929
610,-0.21578594,0.596655
611,0.38199463,0.7406917
612,-0.4181863,0.75840795
613,-0.81062543,0.85633856
614,-1.2097262,0.9176333
615,0.22266985,0.8051562
616,-1.0221536,0.8492079
617,-0.13335393,0.7262426
618,-0.9415542,0.66151416
619,-0.24403723,0.75383663
620,-2.5533097,0.8108691
621,-0.36586925,1.0027918
622,-0.0142119955,0.57636994
623,-0.17140281,0.6475164
624,-0.31073982,0.61468494
625,-0.97249573,0.7303822
626,-0.62058526,0.9282812
627,-0.31650504,0.6805045
628,-2.8235962,0.8813326
629,-0.8794901,0.96374387
630,-0.6847575,0.7150913
631,-0.6012079,0.8139399
632,-0.0734525,0.6236518
633,-1.2028676,0.83910704
634,-1.4423884,0.9310562
635,-0.11852356,0.9533503
636,-1.3626248,0.85769445
637,0.267183,0.7730285
638,-0.5224624,0.7992954
639,-0.41375756,0.77067685
640,-1.46513,0.8930485
641,-0.3512005,0.7510105
642,-0.64964235,0.74500597
643,-0.6017349,0.74418426
644,-1.255241,0.8076348
645,-0.9671024,0.851659
646,-0.86772645,0.85803634
647,-0.94810766,0.9175291
648,-0.7547204,0.81762606
649,-0.10280432,0.7644389
650,-0.41831547,0.8679078
651,-1.6527444,1.4761239
652,-0.49429306,0.71294934
653,0.3142044,0.7113314
654,-0.92685914,0.8271727
655,-2.6763728,0.87735236
656,-1.066288,0.88315445
657,-0.5688251,0.8152375
658,-2.642163,0.85122186
659,-0.45104486,0.8209659
660,-0.70662534,0.857057
661,-0.9163811,0.78035223
662,-2.7936523,0.84334946
663,-0.6911992,0.76944417
664,-1.6218027,1.0639242
665,-0.09643691,0.76495117
666,-2.5472543,0.87747383
667,-2.5477564,0.7978446
668,-0.42888588,0.79479337
669,0.09469615,0.57744074
670,-2.6842077,0.918552
671,-0.22432008,0.7146755
672,-1.820221,0.8883327
673,-0.8659485,0.75050807
674,-0.31843403,0.64644814
675,0.39850068,0.81459683
676,-0.3233735,0.7470619
677,-0.28080925,0.8354234
678,-2.83586,0.80887663
679,-1.219142,0.8710469
680,0.102516584,0.6659255
681,-1.6032754,1.0782241
682,0.15201403,0.66800576
683,-1.3243392,0.72755706
684,-1.6443238,0.8966781
685,-1.5317016,0.9423639
686,0.05275563,0.8732438
687,-2.8421874,0.85387
688,-1.2166191,0.8571156
689,-0.42744914,0.76497537
690,-0.857578,0.8880436
691,0.16045041,0.71037763
692,-2.19419,0.85908073
693,-1.1727438,0.86564314
694,-1.0582261,0.9729873
695,-0.6661635,0.72897637
696,-0.82865053,0.8695277
697,-0.2740641,0.6684011
698,-2.7309844,0.89507896
699,-0.12956972,0.78387064
700,-1.0369787,0.8027175
701,-1.5463402,1.4049145
702,-2.5421112,0.9296137
703,-0.3772534,0.75290847
704,-0.13979088,0.71412903
705,-0.052816898,0.6123067
706,-0.8283741,0.8224457
707,-1.0399295,1.268946
708,-0.43079048,0.842822
709,-0.85993904,0.7899214
710,-0.63050056,0.8178427
711,-0.120072946,0.80186814
712,0.14553927,0.77520335
713,-2.6974735,0.8439745
714,0.12575758,0.6307869
715,-1.6049631,0.9051086
716,-0.49117377,0.79326767
717,-0.61458033,0.8108643
718,-0.040800914,0.80002433
719,-0.83458513,0.7805904
720,-2.6135035,0.7615633
721,0.14963855,0.69142884
722,0.045245714,0.67692554
723,-0.5334971,0.7479425
724,-0.9763378,0.79011333
725,-1.7067636,0.93274397
